int	int	bool	int[]
PKEY1	PKEY2		
nID	装备ID	是否随机词条	指定词条
gamePlayId	accessoryTemplateId	randomEntry	entrys
130	100011111		
130	100011121		
130	100011131		
130	100021111		
130	100021121		
130	100021131		
130	100031111		
130	100031121		
130	100031131		
130	100034111		
130	100034121		
130	100034131		
130	100041111		
130	100041121		
130	100041131		
130	100045111		
130	100045121		
130	100045131		
130	100051111		
130	100051121		
130	100051131		
130	100051211		
130	100051221		
130	100051231		
130	100091111		
130	100091121		
130	100091131		
130	100092111		
130	100092121		
130	100092131		
130	100094111		
130	100094121		
130	100094131		
130	100121111		
130	100121121		
130	100121131		
130	100122211		
130	100122221		
130	100122231		
130	100124111		
130	100124121		
130	100124131		
130	100125111		
130	100125121		
130	100125131		
130	100125211		
130	100125221		
130	100125231		
