int	enum.ArmedPartsType	string	int	int[]	int[]	bool	enum.PropertyGradeType[]	int[]	enum.EntryRandomType	int[][]	int[][]	enum.EntryType[]	bool	enum.CurrencyType	int	int[]	int[]	int	LangText
PKEY1	芯片-Chip-0,枪管-Barrel-1,枪托-butt-2,瞄准镜-Sight-3,弹夹-Magazine-4						External|External		词条随机-Entry-1,类型随机-Type-2			External		External					
道具ID	配件类型	配件模型	对象槽位ID	武装ID	关联武装部件ID	是否随机词条评级	词条评级列表	词条评级权重	目标类型	词条个数	词条列表	词条类型列表	是否可研发	研发消耗货币类型	研发消耗货币数量	研发消耗道具类型	研发消耗道具数量	研发消耗时间	配件类型描述
ID	armedPartsType	armedPartsModel	partsSlotId	mechaPartsId	mechaPartsIds	randomPropertyGrade	propertyGrades	propertyGradeWeights	type	weights	entryIds	entryTypes	canCraft	craftCostCurrencyType	craftCostCurrencyCount	craftCostItemTypes	craftCostItemCounts	craftCostTime	armedPartsTypeDesc
200001				100030302		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10321111,1		1	101	10	920001,920002,920003	1,1,1	1800	配件
200002						1	1,2,3,4,5	10,20,30,20,10	1	1,1	10321121,1	1	1	101	20	920001,920002,920003	1,1,1	1800	配件
100011111	1	M1双枪枪管2		100010101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10111111,1		1	101	10	920001,920002,920003	1,1,1	1800	强化身管
100011121	2	M1双枪瞄准器		100010101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10111121,1		1	101	10	920001,920002,920003	1,1,1	1800	改良火控
100011131	5	M1双枪弹夹2		100010101		1	1,2,3,4,5	10,20,30,20,10	1	2,1	10111131,1|10111132,1		1	101	10	920001,920002,920003	1,1,1	1800	弹匣改装
100021111	1	M2主武器1枪头2		100020101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10211111,1		1	101	10	920001,920002,920003	1,1,1	1800	强化身管
100021121	2	M2主武器1瞄准镜2		100020101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10211121,1		1	101	10	920001,920002,920003	1,1,1	1800	改良火控
100021131	5	M2主武器1强化1		100020101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10211131,1		1	101	10	920001,920002,920003	1,1,1	1800	弹匣改装
100022111		M2手武器刀2				1	1,2,3,4,5	10,20,30,20,10	1	0,1	10111111,1		1	101	10	920001,920002,920003	1,1,1	1800	配件
100022121		M2手武器刀把喷口				1	1,2,3,4,5	10,20,30,20,10	1	0,1	10111111,1		1	101	10	920001,920002,920003	1,1,1	1800	配件
100022131		M2手武器增幅装置				1	1,2,3,4,5	10,20,30,20,10	1	0,1	10111111,1		1	101	10	920001,920002,920003	1,1,1	1800	配件
100031111	1	M3主武器1枪头2		100030101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10311111,1		1	101	10	920001,920002,920003	1,1,1	1800	强化身管
100031121	2	M3主武器瞄准镜1		100030101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10311121,1		1	101	10	920001,920002,920003	1,1,1	1800	改良火控
100031131	3	M3主武器1弹夹2		100030101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10311131,1		1	101	10	920001,920002,920003	1,1,1	1800	供能升级
100034111	1	M3特武二1炮头2		100030401,100030402,100030403		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10341111,1		1	101	10	920001,920002,920003	1,1,1	1800	强化身管
100034121	3	M3特武二1瞄准镜2		100030401,100030402,100030403		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10341121,1		1	101	10	920001,920002,920003	1,1,1	1800	供能升级
100034131	6	M3特武二1弹夹2		100030401,100030402,100030403		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10341131,1		1	101	10	920001,920002,920003	1,1,1	1800	特殊弹药
100041111	1	M4主武器1枪管2		100040101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10411111,1		1	101	10	920001,920002,920003	1,1,1	1800	强化身管
100041121	2	M4主武器1瞄准镜1		100040101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10411121,1		1	101	10	920001,920002,920003	1,1,1	1800	改良火控
100041131	5	M4主武器1弹夹1		100040101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10411131,1		1	101	10	920001,920002,920003	1,1,1	1800	弹匣改装
100045111	1	M4加农炮炮头2		100040501		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10451111,1		1	101	10	920001,920002,920003	1,1,1	1800	强化身管
100045121	2	M4加农炮精准设备1		100040501		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10451121,1		1	101	10	920001,920002,920003	1,1,1	1800	改良火控
100045131	6	M4加农炮弹夹1		100040501		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10451131,1		1	101	10	920001,920002,920003	1,1,1	1800	特殊弹药
100051111	1	M5主武器1枪管2		100050101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10511111,1		1	101	10	920001,920002,920003	1,1,1	1800	强化身管
100051121	2	M5主武器1瞄准镜1		100050101		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10511121,1		1	101	10	920001,920002,920003	1,1,1	1800	改良火控
100051131	5	M5主武器1弹夹2		100050101		1	1,2,3,4,5	10,20,30,20,10	1	2,1	10511131,1|10511132,1		1	101	10	920001,920002,920003	1,1,1	1800	弹匣改装
100051211	1	M5主武器2枪头2		100050102		1	1,2,3,4,5	10,20,30,20,10	1	1,1	10512111,1		1	101	10	920001,920002,920003	1,1,1	1800	强化身管
