int	int	int	int	int[]	int[]	int
PKEY1						
ID	通行证ID	通行证等级	解锁奖励所需BP经验值	普通奖励奖励ID（用|分割）	高级奖励  [物品ID,物品数量]（物品之间用 ,分割）	循环奖励
ID	type	level	exp	normalRewards	advanceRewards	loopReward
1000	1	0	4000		43	
1001	1	1	4000	41	55	
1002	1	2	4000	41	42	
1003	1	3	4000	41	42	
1004	1	4	4000	41	42	
1005	1	5	4000	41	42	
1006	1	6	4000	41	42	
1007	1	7	4000	41	42	
1008	1	8	4000	41	42	
1009	1	9	4000	41	42	
1010	1	10	4000	41	42	
1011	1	11	4000	41	42	
1012	1	12	4000	41	42	
1013	1	13	4000	41	42	
1014	1	14	4000	41	42	
1015	1	15	4000	41	42	
1016	1	16	4000	41	42	
1017	1	17	4000	41	42	
1018	1	18	4000	41	42	
1019	1	19	4000	41	42	
1020	1	20	4000	41	42	
1021	1	21	4000	41	42	
1022	1	22	4000	41	42	
1023	1	23	4000	41	42	
1024	1	24	4000	41	42	
1025	1	25	4000	41	42	
1026	1	26	4000	41	42	
1027	1	27	4000	41	42	
1028	1	28	4000	41	42	
1029	1	29	4000	41	42	
1030	1	30	4000	41	42	
1031	1	31	4000	41	42	
1032	1	32	4000	41	42	
1033	1	33	4000	41	42	
1034	1	34	4000	41	42	
1035	1	35	4000	41	42	
1036	1	36	4000	41	42	
1037	1	37	4000	41	42	
1038	1	38	4000	41	42	
1039	1	39	4000	41	42	
1040	1	40	4000	41	42	
1041	1	41	4000	41	42	
1042	1	42	4000	41	42	
1043	1	43	4000	41	42	
1044	1	44	4000	41	42	
1045	1	45	4000	41	42	
1046	1	46	4000	41	42	
1047	1	47	4000	41	42	
1048	1	48	4000	41	42	
1049	1	49	4000	41	42	
1050	1	50	4000	41	42	
1051	1	51	4000	41	42	
1052	1	52	4000	41	42	
1053	1	53	4000	41	42	
1054	1	54	4000	41	42	
1055	1	55	4000	41	42	
1056	1	56	4000	41	42	
1057	1	57	4000	41	42	
1058	1	58	4000	41	42	
1059	1	59	4000	41	42	
1060	1	60	4000	41	42	
1061	1	61	4000	41	42	
1062	1	62	4000	41	42	
1063	1	63	4000	41	42	
1064	1	64	4000	41	42	
1065	1	65	4000	41	42	
1066	1	66	4000	41	42	
1067	1	67	4000	41	42	
1068	1	68	4000	41	42	
1069	1	69	4000	41	42	
1070	1	70	4000	41	42	
1071	1	71	4000	41	42	
1072	1	72	4000	41	42	
1073	1	73	4000	41	42	
1074	1	74	4000	41	42	
1075	1	75	4000	41	42	
1076	1	76	4000	41	42	
1077	1	77	4000	41	42	
1078	1	78	4000	41	42	
1079	1	79	4000	41	42	
1080	1	80	4000	41	42	
1081	1	81	4000	41	42	
1082	1	82	4000	41	42	
1083	1	83	4000	41	42	
1084	1	84	4000	41	42	
1085	1	85	4000	41	42	
1086	1	86	4000	41	42	
1087	1	87	4000	41	42	
1088	1	88	4000	41	42	
1089	1	89	4000	41	42	
1090	1	90	4000	41	42	
1091	1	91	4000	41	42	
1092	1	92	4000	41	42	
1093	1	93	4000	41	42	
1094	1	94	4000	41	42	
1095	1	95	4000	41	42	
1096	1	96	4000	41	42	
