int	string	string	int[]	int[][]	int[][]	int[][]	enum.EBattleRewardTarget	enum.EBattleRewardLimit	int	int[]	int[]	int
PKEY1							Player-1,Camp-2	Player-1,Camp-2,Battle-3				
奖励ID	标题	描述	条件	条件参数（每个条件参数定义不一样，可以为空）	条件达成数量	条件计数重置类型（0：不重置；1：死亡时重置；2：条件参数不满足时重置；3：奖励没达成时重置；4：奖励达成时重置）	发放对象（1：个人；2：阵营）	限制方式（1：个人；2：阵营；3：全局）	限制数量	奖励类型（1：勋章；2：积分；3：大招能量）	奖励参数（勋章直接配ID，积分配数量）	是否生效
Id	Name	Desc	ConditionIds	ConditionParams	ConditionCounts	ConditionResetTypes	Target	LimitType	LimitCount	RewardTypes	RewardParams	Enable
1	击杀	达成%d次标准击杀	1001		1,9999		1	1	-1	2	100	1
2	助攻	达成%d次参与击杀	1022		1,9999		1	1	-1	2	25	1
3	终极技能击杀	完成%d次终极技能击杀	1017		1,9999		1	1	-1	2	75	0
4	强袭装甲击杀	完成%d次强袭装甲击杀	1018		1,9999		1	1	-1	2	200	0
5	战术道具击杀	完成%d次战术道具击杀	1019		1,9999		1	1	-1	2	200	0
6	双杀	完成%d次多杀	1020	2	1		1	1	-1	2	100	1
7	三杀	完成%d次多杀	1020	3	1		1	1	-1	2	200	1
8	狂暴	完成%d次以上多杀	1020	4	1,9999		1	1	-1	2	300	1
9	连杀I	连杀次数达到%d	1021	2	1		1	1	-1	2	50	1
10	连杀II	连杀次数达到%d	1021	5	1		1	1	-1	2	100	1
11	连杀III	连杀次数达到%d	1021	8	1		1	1	-1	2	200	1
12	超神	连杀次数达到%d	1021	8	1		1	1	1	2	9001	0
13	第一滴血	单据游戏内首次达成%d次标准击杀	1001		1		1	3	1	1	9003	0
14	终止连杀I	完成%d次标准击杀，目标拥有连杀I状态（条件参数：目标被杀时连杀次数）	2004	2	1,9999		1	1	-1	2	50	1
15	终止连杀II	完成%d次标准击杀，目标拥有连杀II状态（条件参数：目标被杀时连杀次数）	2004	5	1,9999		1	1	-1	2	100	1
16	终止连杀III	完成%d次标准击杀，目标拥有连杀III状态（条件参数：目标被杀时连杀次数）	2004	8	1,9999		1	1	-1	2	200	1
17	终止超神	完成%d次标准击杀，目标拥有超神状态（条件参数：目标被杀时连杀次数）	2004	8	1,9999		1	1	-1	2	200	0
18	来一打	单次连续上交%d个以上狗牌（玩法）（条件参数：单次上交的狗牌数）	3001	12,9999	1,9999		1	1	-1	1	9607	0
19	占领专家	单次占据中不离开区域并至少击杀%d名以上玩家（玩法）	3002		3		1	1	1	1	9609	0
20	弑君者	击杀当前击杀排名第%d玩家（条件参数：个人击杀排名）	1023	1	0		1	1	-1	1	9007	0
21	战场亡灵	死亡次数排名第%d（条件参数：个人死亡次数排名）	4001	1	1		1	1	1	1	9016	0
22	众矢之的	承受伤害排名第%d（条件参数：个人承受伤害排名）	4002	1	1		1	1	1	1	9018	0
23	伤害爆炸	造成伤害排名第%d（条件参数：个人造成伤害排名）	4003	1	1		1	1	1	1	9019	0
24	王牌机师	KD排名第%d（条件参数：个人KD排名）	4004	1	1		1	1	1	1	9022	0
25	击坠王III	击杀排名第%d（条件参数：个人击杀排名）	4005	1	1		1	1	1	1	9623	0
26	MVP	个人积分排名第%d，个人击杀排名第%d（条件参数：1、个人积分排名；2、个人击杀排名）	4006,4005	1|1	1|1		1	1	1	1	9627	0
27	被击杀	达成%d次被标准击杀	1024		19999		1	1	-1	3	1	0
28	最后一击	游戏单局的最后一次击杀	1025		1		1	1	1	1	9004	0
29	复仇	完成标准击杀时，自己身上有WhoKillMe标记效果（条件参数：固定为1）	1027	1	1,9999		1	1	-1	1	9036	0
30	救星	完成标准击杀时，目标身上有ForceIHurt标记效果（条件参数：固定为2）	1026	2	1,9999		1	1	-1	1		0
31	技高一筹	完成标准击杀时，目标身上有WhoIHurt标记效果，自己身上有贫血效果（条件1026参数固定为3，条件5001参数：0,25)	1001,1026,5001	1,9999|3|0,24	1,9999|1|1,9999	1|1,3,4|1,2	1	1	-1	1	9034	0
32	你瞅啥	完成标准击杀时，目标身上有LockFire标记效果（条件1026参数：固定为4)	1026	4	1,9999		1	1	-1	1	9630	0
33	生存大师	在一条命中，承受总HP的200%尚未死亡（条件参数：hp百分比）	1201	200,9999	1	1	1	1	-1	1	9013	0
34	还有谁	击杀敌方玩家每人1次	6001	1	1		1	1	1	1	9009	0
35	便当王	被敌方玩家每人击杀1次	6002	1	1		1	1	1	1	9631	0
36	死神	在一条命中，击杀敌方玩家每人1次	6003	1	1	1	1	1	-1	1	9632	0
