int	string	string
PKEY1		
nID	配置文件路径	描述
nID	path	desc
1	BattleSettings	战斗配置
2	UnAllowState	禁止状态配置
3	visionbuff/SkillUIConfigFile	战斗技能UI配置
4	UILockSettings	战斗UI锁定配置
5	NPC/NPC_Crystal/BeLocked	被锁定特效
6	TraceLine/@M12_BeatBackLightB3	龙渊暴甲后击退段
7	BuildingDamage/Mineral_Doodad_CamouflageMarkBuff	隐身捡矿标记buff
8	NPC/NPC_6v6Defense/NPC_6v6Defense_Cube	6v6攻防充能npc
9	NPC/NPC_6v6Defense/Mineral_Doodad_6v6Defense_Red	红方Doodad
10	NPC/NPC_6v6Defense/Mineral_Doodad_6v6Defense_Blue	蓝方Doodad
11	NPC/NPC_6v6Defense/Mineral_Interact_6v6Defense_Red	红方Doodad交互组件
12	NPC/NPC_6v6Defense/Mineral_Interact_6v6Defense_Blue	蓝方Doodad交互组件
13	NPC/NPC_6v6Defense/NPC_6v6Defense_Cube_MoveComponent	充能NPC移动组件
14	NPC/NPC_6v6Defense/6v6Defense_Move	充能npc移动路径
15	Mecha/M2/M2_Skill_Change/M2_Skill_Sp1_Cg/M2_Skill_Sp1_Cg	恩赫里亚_特武1_换装
16	NPC/NPC_6v6Defense/Buff_6v6Defense_Active	充能车激活buff
17	NPC/NPC_6v6Defense/Buff_6v6Defense_FastHoming	归位加速buff
18	Mecha/M2/M2_Skill_Change/M2_Skill_Sp1_Cg/M2_Skill_Sp1_ShieldBuff	恩赫里亚_特武1_换装_图标表现置红buff
19	Mecha/M2/M2_Skill_Change/M2_Skill_Sp1_Cg/M2_Skill_Sp1_Cg_PassiveSkillDef	恩赫里亚_特武1_换装_被动
20	Mecha/M2/M2_Skill_Change/M2_Skill_Sp1_Cg/M2_SKill_Sp1_Cg_Buff	恩赫里亚_特武1_换装_流光表现buff
21	NPC/AirShip/Move/MoveDefinition/AirShip_MoveComponent	移动模块
22	NPC/AirShip/Move/MoveDefinition/AirShip_FlyMove	飞行移动
23	NPC/NPC_6v6Defense/Mineral_Item_6v6Defense	道具组件
24	Mecha/M2/M2_Skill_Change/M2_Skill_Sp1_Cg/M2_Skill_Sp1_Cg_Shield	恩赫里亚_特武1_换装_护盾
25	NPC/NPC_6v6Defense/Buff_6v6Defense_LightPost_Red1	光柱buff-红1
26	NPC/NPC_6v6Defense/Buff_6v6Defense_LightPost_Red2	光柱buff-红2
27	NPC/NPC_6v6Defense/Buff_6v6Defense_LightPost_Red3	光柱buff-红3
28	NPC/NPC_6v6Defense/Buff_6v6Defense_LightPost_Blue1	光柱buff-蓝1
29	NPC/NPC_6v6Defense/Buff_6v6Defense_LightPost_Blue2	光柱buff-蓝2
30	NPC/NPC_6v6Defense/Buff_6v6Defense_LightPost_Blue3	光柱buff-蓝3
31	NPC/AirShip/Move/MoveDefinition/AirShip_NormalMove	NormalMove
32	NPC/NPC_6v6Defense/Buff_6v6Defense_Invincible	6v6攻防无敌buff
33	NPC/NPC_6v6Defense/Buff_6v6Defense_Toward1	向1号阵营移动buff
34	NPC/NPC_6v6Defense/Buff_6v6Defense_Toward2	向2号阵营移动buf
35	BuildingDamage/Scene_TDS/Scene_TDS_BagItemForce1	势力1炸弹道具
36	BuildingDamage/Mineral_Item	矿物道具
37	BuildingDamage/Scene_TDS/Scene_TDS_BagItemForce2	势力2炸弹道具
38	NPC/AirShip/Skill/Airship_Skill1_Shooting	Skill1_Shooting
39	NPC/AirShip/Skill/Airship_Skill1_Bullet	Skill1_Bullet
40	Mecha/M4/M4_Change/M4_Skill_Sp2_Cg/M4_SkillB_Sp2_Cg	移动堡垒_主技能
41	Mecha/M4/M4_Change/M4_Skill_Sp2_Cg/M4_SkillB_Sp2_Cg_PreloadBuff	移动堡垒_预搭载buff
42	Mecha/M4/M4_Change/M4_Skill_Sp2_Cg/M4_SkillB_Sp2_Cg_LoadBuff	移动堡垒_搭载buff
43	Mecha/M4/M4_Change/M4_Skill_Sp2_Cg/M4_SkillB_Sp2_Cg_Buff	移动堡垒_变身buff
44	BuildingDamage/Mineral_Interact_KeepPress5	KeepPress5秒
45	BuildingDamage/Mineral_Interact_Press0	Press0秒
46	BuildingDamage/Mineral_Interact_Press5	Press5秒
47	BuildingDamage/Mineral_Doodad_KeepPress5	Doodad_KeepPress5秒
48	BuildingDamage/Mineral_Doodad_Press0	Doodad_Press0
49	BuildingDamage/Mineral_Doodad_Press5	Doodad_Press5
50	Mecha/M4/M4_Change/M4_Skill_Sp2_Cg/M4_SkillB_Sp2_Cg_Doodad	移动堡垒_载具组件doodad
51	Mark/attackMark	进攻标记
52	Mark/gatherMark	集合标记
53	Mark/supportMark	支援标记
54	Mark/retreatMark	撤退标记
55	Mark/MarkHurtComponent	通用标记伤害组件
56	Mark/attackMarkComponent	进攻标记组件
57	Mark/gatherMarkComponent	集合标记组件
58	Mark/retreatMarkComponent	通用标记组件
59	Mark/supportMarkComponet	通用标记组件
60	Mark/PenetratingComponent	通用标记穿透组件
61	Mark/MarkMoveComponent	通用标记移动组件
62	Mark/attentionMark	留意标记
63	Mark/attentionMarkComponent	留意标记组件
64	Mark/goforwardMark	前进标记
65	Mark/goforwardMarkComponent	前进标记组件
66	Mark/defenseMark	防守标记
67	Mark/defenseMarkComponent	防守标记组件
68	Mecha/M2/M2_Skill_Change/M2_Skill_Sp2_Cg/M2_Skill_Sp2_Cg	恩赫里亚_特武2_换装1
69	NPC/NT/NT_Skill1_Shooting	NT_Skill1_Shooting
70	Mecha/M5/M5_Skill_Change/M5_Skill_Sp2_Cg/M5_Skill_Sp2_Cg	鸣神特武2_换装1_主技能
71	Mecha/M5/M5_Skill_Change/M5_Skill_Sp2_Cg/M5_Skill_Sp2_Cg_Projectile_Son	鸣神特武2_换装1_子弹儿子
72	Mecha/M5/M5_SkillB1_Sp1/M5_SkillB1_Sp1	鸣神_特武1_换装1_主技能
73	Mecha/M1_202201/M1_SkillA1/M1_Reload	矛隼_换弹
74	Mecha/M5/M5_Skill_Change/M5_Skill_Sp3_Cg/M5_Skill_Sp3_Cg	鸣神_特武3_换装1_主技能
75	Mecha/M12/M12_Reload	赤霄_换弹
76	Mecha/M2/M2_SkillA2/M2_Reload	恩赫里亚_换弹
77	Mecha/M4/M4_SkillA1/M4_Reload	三角龙_换弹
78	Mecha/M4/M4_Change/M4_Skill_Sp2_Cg/M4_SkillB_Sp2_Cg_Component	移动堡垒_载具组件Component
79	Level/Misizhiyan/MobilePlatform/MobilePlatform_P_Building_RedArea_6tds1	开合门1
80	Mecha/M3/M3_SkillA1/M3_Reload	龙渊_换弹
81	BuildingDamage/Multi_Stage/Doodad1_BrokenBigC	C区大型油罐Doodad
82	NPC/NPC_EnergyCube/NPC_EnergyCube_SkillComponent	技能组件
83	NPC/NPC_EnergyCube/NPC_EnergyCube_Push6v6_Red	红色方推车
84	Mecha/Common/Shock	震屏
85	SceneBuff/Scene_NpcRuins	炮台NT1死亡废墟
