int	string	uint	uint	string
FUnique()				PKEY1
排行，按性能高到低排序	显卡名字	天梯分	天梯分	清洗后的显卡名
Index	gpu_name	g3d_mark	g2d_mark	gpu_detail_collected
1	GeForce RTX 4090	39205	1325	geforce rtx 4090
2	GeForce RTX 4080	35018	1283	geforce rtx 4080
3	Radeon RX 7900 XTX	30565	1217	radeon rx 7900 xtx
4	GeForce RTX 3090 Ti	29839	1215	geforce rtx 3090 ti
5	Radeon RX 6950 XT	28965	1000	radeon rx 6950 xt
6	Radeon RX 7900 XT	27507	1179	radeon rx 7900 xt
7	GeForce RTX 3080 Ti	27339	1087	geforce rtx 3080 ti
8	GeForce RTX 3080 Ti	27339	1087	geforce gtx 3080ti
9	GeForce RTX 3080 Ti	27339	1087	geforce rtx 3080ti
10	GeForce RTX 3080 Ti	27339	1087	geforec rtx 3080ti
11	GeForce RTX 3090	26817	1036	geforce rtx 3090
12	GeForce RTX 3090	26817	1036	geforce gtx 3090
13	GeForce RTX 3090	26817	1036	geforce rtx 3090 ventus 3x 24g oc
14	GeForce RTX 3090	26817	1036	nvdia geforce rtx 3090
15	GeForce RTX 3080 12GB	26752	1088	geforce rtx 3080 12gb
16	Radeon RX 6900 XT	26551	1068	radeon rx 6900 xt
17	GeForce RTX 3080	25319	1035	geforce rtx 3080
18	GeForce RTX 3080	25319	1035	igame geforce rtx 3080 vulcan 10g
19	GeForce RTX 3080	25319	1035	nvdia gefrce rtx 3080 16g
20	Radeon RX 6800 XT	24431	1051	radeon rx 6800 xt
21	Radeon RX 6800 XT	24431	1051	rx 6800 xt
22	GeForce RTX 3070 Ti	23736	1045	geforce rtx 3070 ti
23	GeForce RTX 3070 Ti	23736	1045	geforce rtx 3070ti 8g
24	RTX A5000	23489	1044	rtx a5000
25	RTX A5500	22734	751	rtx a5500
26	GeForce RTX 3070	22402	994	geforce rtx 3070
27	GeForce RTX 3070	22402	994	geforce gtx 3070
28	GeForce RTX 3070	22402	994	geforec rtx 3070
29	RTX A6000	22079	854	rtx a6000
30	GeForce RTX 2080 Ti	21891	942	geforce rtx 2080 ti
31	GeForce RTX 2080 Ti	21891	942	asus-strix-geforce rtx2080ti
32	GeForce RTX 2080 Ti	21891	942	geforce gtx 2080 ti
33	GeForce RTX 2080 Ti	21891	942	geforce gtx 2080ti
34	GeForce RTX 2080 Ti	21891	942	geforce rtx 2080ti
35	GeForce RTX 2080 Ti	21891	942	geforce rtx 2080ti 11gb
36	GeForce RTX 2080 Ti	21891	942	geforcertx2080ti
37	GeForce RTX 2080 Ti	21891	942	rog-strix-rtx 2080ti
38	Radeon RX 6850M XT	21792	860	radeon rx 6850m xt
39	Radeon RX 6800	21617	987	radeon rx 6800
40	RTX A4500	20854	990	rtx a4500
41	NVIDIA A10	20591	1111	a10
42	Radeon RX 6750 XT	20571	948	radeon rx 6750 xt
43	GeForce RTX 3060 Ti	20518	993	geforce rtx 3060 ti
44	GeForce RTX 3060 Ti	20518	993	geforce gtx 3060ti
45	GeForce RTX 3060 Ti	20518	993	geforce rtx 3060 ti 8g
46	GeForce RTX 3060 Ti	20518	993	geforce rtx 3060ti
47	GeForce RTX 3060 Ti	20518	993	geforec rtx 3060ti
48	GeForce RTX 3080 Ti Laptop GPU	20484	858	geforce rtx 3080 ti laptop
49	TITAN RTX	19853	831	titan rtx
50	TITAN RTX	19853	831	geforce titan v rtx
51	TITAN RTX	19853	831	titan rtx 24g
52	Quadro GV100	19616	923	quadro gv100
53	Quadro RTX 8000	19572	845	quadro rtx 8000
54	GeForce RTX 2080 SUPER	19551	932	geforce rtx 2080 super
55	GeForce RTX 2080 SUPER	19551	932	geforce gtx 2080s
56	GeForce RTX 2080 SUPER	19551	932	geforce gtx 2080super
57	GeForce RTX 2080 SUPER	19551	932	geforce rtx 2080 super 8g
58	GeForce RTX 2080 SUPER	19551	932	geforce rtx 2080s
59	GeForce RTX 2080 SUPER	19551	932	geforce rtx 2080super
60	GeForce RTX 2080 SUPER	19551	932	geforcertx2080super
61	Radeon RX 6700 XT	19488	979	radeon rx 6700 xt
62	TITAN V	19435	836	titan v
63	NVIDIA TITAN Xp	19218	943	titan xp
64	Quadro RTX 6000	19177	813	quadro rtx 6000
65	RTX A4000	19138	963	rtx a4000
66	Radeon PRO W6800	19097	909	radeon pro w6800
67	Radeon RX 6700	18975	902	radeon rx 6700
68	TITAN Xp COLLECTORS EDITION	18898	923	titan xp collectors edition
69	GeForce RTX 2080	18784	916	geforce rtx 2080
70	GeForce RTX 2080	18784	916	geforce gtx 2080
71	GeForce RTX 2080	18784	916	geforce rtx 2080 11g
72	GeForce RTX 2080	18784	916	geforce rtx 2080 11gb
73	GeForce RTX 2080	18784	916	geforcertx2080
74	NVIDIA A10G	18724	530	a10g
