int	enum.CurrencyType[]	int[]	int[]	DropGroup[].int	DropGroup[].int	DropGroup[].bool	DropGroup[].enum.DropGroupType[]	DropGroup[].int[]	DropGroup[].int[]	DropGroup[].int[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].int[][]	DropGroup[].int	DropGroup[].int	DropGroup[].bool	DropGroup[].enum.DropGroupType[]	DropGroup[].int[]	DropGroup[].int[]	DropGroup[].int[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].int[][]	DropGroup[].int	DropGroup[].int	DropGroup[].bool	DropGroup[].enum.DropGroupType[]	DropGroup[].int[]	DropGroup[].int[]	DropGroup[].int[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].bool[]	DropGroup[].int[][]
PKEY1	路网信用币-Gold-101,芯石-Diamond-102,舰长经验-PilotExp-103,BP经验-BPExp-104,芯石原矿-EIC-105						|道具-Item-1,货币-Currency-2,武装-Arms-3,配件-Parts-4												|External												|External								
产出ID	掉落货币列表	货币最小数量	货币最大数量	产出组1概率	产出组1产出数量	产出组1是否重复	产出组1类型	产出组1道具	产出组1各道具数量	产出组1各道具权值(-1则必然掉落)	产出组1各道具是否计入系统可获取上限	产出组1各道具是否计入周上限	产出组1武装是否随机词条	产出组1武装是否随机插槽数量	产出组1机甲默认武装配件槽	产出组2概率	产出组2产出数量	产出组2是否重复	产出组2类型	产出组2道具	产出组2各道具数量	产出组2各道具权值(-1则必然掉落)	产出组2各道具是否计入系统可获取上限	产出组2各道具是否计入周上限	产出组2武装是否随机词条	产出组2武装是否随机插槽数量	产出组2机甲默认武装配件槽	产出组3概率	产出组3产出数量	产出组3是否重复	产出组3类型	产出组3道具	产出组3各道具数量	产出组3各道具权值(-1则必然掉落)	产出组3各道具是否计入系统可获取上限	产出组3各道具是否计入周上限	产出组3武装是否随机词条	产出组3武装是否随机插槽数量	产出组3机甲默认武装配件槽
productId	dropCurrencyTypes	dropCurrencyMinCounts	dropCurrencyMaxCounts	dropGroups.probability	dropGroups.count	dropGroups.allowDuplicate	dropGroups.types	dropGroups.ItemTypes	dropGroups.ItemCounts	dropGroups.ItemProbability	dropGroups.ItemRecordSystem	dropGroups.ItemRecordWeek	dropGroups.ItemIsEntryRandom	dropGroups.ItemIsSlotsNumRandom	dropGroups.ItemDefaultSlots	dropGroups.probability	dropGroups.count	dropGroups.allowDuplicate	dropGroups.types	dropGroups.ItemTypes	dropGroups.ItemCounts	dropGroups.ItemProbability	dropGroups.ItemRecordSystem	dropGroups.ItemRecordWeek	dropGroups.ItemIsEntryRandom	dropGroups.ItemIsSlotsNumRandom	dropGroups.ItemDefaultSlots	dropGroups.probability	dropGroups.count	dropGroups.allowDuplicate	dropGroups.types	dropGroups.ItemTypes	dropGroups.ItemCounts	dropGroups.ItemProbability	dropGroups.ItemRecordSystem	dropGroups.ItemRecordWeek	dropGroups.ItemIsEntryRandom	dropGroups.ItemIsSlotsNumRandom	dropGroups.ItemDefaultSlots
-1																																							
1				1000	2		1,1	1001,100001	1,100	10,10	0,0	0,0	0,0	0,0	0|0																								
2				1000	6		1,1,1,1,1,1	1001,1002,1001,1001,1001,1001	1,2,3,4,5,6	10,10,10,10,10,10	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0|0|0|0|0|0																								
3				1000	1		1	1001	2	10	0	0	0	0	0																								
4	104	100	100	1000	1		1	1003	1	10	0	0	0	0	0																								
5	104	500	500	1000	1		1	1004	1	10	0	0	0	0	0																								
6				1000	1		1	1005	5	10	0	0	0	0	0																								
7				1000	4		1,1,1,1	1005,1005,1005,1005	1,2,3,4	10,10,10,10	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0|0|0|0																								
8				1000	1		1	1006	1	10	0	0	0	0	0																								
9				1000	1		1	1006	2	10	0	0	0	0	0																								
10				1000	1		1	1006	3	10	0	0	0	0	0																								
11				1000	1		1	1006	4	10	0	0	0	0	0																								
12				1000	1		1	1006	5	10	0	0	0	0	0																								
13				1000	1		1	1006	6	10	0	0	0	0	0																								
14				1000	1		1	1006	7	10	0	0	0	0	0																								
15				1000	1		1	1006	8	10	0	0	0	0	0																								
16				1000	1		1	1006	9	10	0	0	0	0	0																								
17				1000	1		1	1006	10	10	0	0	0	0	0																								
18				1000	1		1	1007	1	10	0	0	0	0	0																								
19				1000	1		1	1007	2	10	0	0	0	0	0																								
20				1000	1		1	1007	3	10	0	0	0	0	0																								
21				1000	1		1	1007	4	10	0	0	0	0	0																								
22				1000	1		1	1007	5	10	0	0	0	0	0																								
23				1000	1		1	1007	6	10	0	0	0	0	0																								
24				1000	1		1	1007	7	10	0	0	0	0	0																								
25				1000	1		1	1007	8	10	0	0	0	0	0																								
26				1000	1		1	1007	9	10	0	0	0	0	0																								
27				1000	1	1	1,1,1	100005,100005,100005	20,50,100	100,50,20	0,0,0	0,0,0	0,0,0	0,0,0	0|0|0	0	1		1,1	67,68	1,1	50,50	0,0	0,0	0,0	0,0	0|0	200	1	1	1,1,1	100005,100005,100005	20,50,100	100,50,20	0,0,0	0,0,0	0,0,0	0,0,0	0|0|0
28				1000	1		1,1,1,1,1,1,1,1	6001001,6001002,200047,200048,6001003,6001004,6001005,6001006	1,1,1,1,1,1,1,1	40,40,1,1,40,40,40,40	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0|0|0|0|0|0|0|0	500	1	0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	76,77,78,79,80,81,200011,200012,200013,200014,200015,200016,200017,200018,200019,200020,200021,200022	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	150,75,25,150,75,25,150,75,25,150,75,25,150,75,25,150,75,25	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	80	1		1,1,1,1,1,1,1	200040,200041,200042,200043,200044,200045,200046	1,1,1,1,1,1,1	50,50,50,50,50,50,50	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0|0|0|0|0|0|0
29				1000	1		1	119	1	-1	0	0	0	0	0																								
30				1000	1		1	6001002	1	-1	0	0	0	0	0																								
31				1000	1		1	6001001	1	-1	0	0	0	0	0																								
32				1000	1		1	116	1	100	0	0	0	0	0																								
33				1000	1	1	1	116	1	100	0	0	0	0	0																								
34				1000	1	1	1	120	1	100	0	0	0	0	0																								
35				1000	1	1	1	62	1	100	0	0	0	0	0																								
36				1000	1		1,1,1,1,1,1,1	200040,200041,200042,200043,200044,200045,200046	1,1,1,1,1,1,1	50,50,50,50,50,50,50	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0|0|0|0|0|0|0	1000	1		1,1,1,1,1,1,1,1,1,1,1,1	200026,200027,200028,200029,200030,200031,200032,200033,200034,200035,200036,200037	1,1,1,1,1,1,1,1,1,1,1,1	100,25,100,25,100,25,100,25,100,25,100,25	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0|0|0|0|0|0|0|0|0|0|0|0	1000	1		1	100005	500	10	0	0	0	0	0
37				1000	1		2	104	1000	10	0	0	0	0	0																								
38				1000	1		2	104	2000	1	0	0	0	0	0																								
39				1000	1		2	104	1000	1	0	0	0	0	0																								
40				1000	1		2	104	4000	1	0	0	0	0	0																								
41				1000	1		1	58	1	1	0	0	0	0	0																								
42				1000	2		1,1	59,63	1,1	1,1	0,0	0,0	0,0	0,0	0|0																								
43				1000	4		1,1,1,1	200024,200051,200052,200038	1,1,1,1	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0|0|0|0																								
44				1000	1	1	1	200025	1	100	0	0	0	0	0																								
45				1000	1		1	100005	1	10	0	0	0	0	0																								
46				1000	1		1,1,1,1,1,1,1,1	100010101,100010201,100010202,100010301,100010302,100010401,100010501,100010502	1,1,1,1,1,1,1,1	10,10,10,10,10,10,10,10	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0|0|0|0|0|0|0|0																								
47				1000	1		1,1,1,1,1,1,1,1,1	100020101,100020102,100020103,100020201,100020301,100020502,100020401,100020402,100020501	1,1,1,1,1,1,1,1,1	10,10,10,0,10,10,10,10,10	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0|0|0|0|0|0|0|0|0																								
