int	int	bool	bool
PKEY1	PKEY2		
nID	装备ID	是否随机词条	是否随机配件槽数量
gamePlayId	equipId	randomEntry	randomAccessorySlotCount
130	100010101		
130	100010201		
130	100010202		
130	100010301		
130	100010302		
130	100010401		
130	100010501		
130	100010502		
130	100020101		
130	100020102		
130	100020103		
130	100020201		
130	100020202		
130	100020301		
130	100020302		
130	100020401		
130	100020402		
130	100020501		
130	100020502		
130	100030101		
130	100030102		
130	100030201		
130	100030202		
130	100030301		
130	100030302		
130	100030303		
130	100030401		
130	100030501		
130	100040101		
130	100040201		
130	100040301		
130	100040302		
130	100040401		
130	100040402		
130	100040501		
130	100040502		
130	100050101		
130	100050102		
130	100050201		
130	100050202		
130	100050301		
130	100050302		
130	100050401		
130	100050402		
130	100050403		
130	100050501		
130	100070101		
130	100070201		
130	100070301		
130	100070401		
130	100070501		
130	100090101		
130	100090102		
130	100090103		
130	100090201		
130	100090202		
130	100090203		
130	100090301		
130	100090302		
130	100090401		
130	100090402		
130	100090501		
130	100090502		
130	100090503		
130	100120101		
130	100120102		
130	100120201		
130	100120202		
130	100120203		
130	100120301		
130	100120401		
130	100120402		
130	100120501		
130	100120502		
