uint	uint	uint	int	int	int	int	int	int	int	int	int	int	int
PKEY1													
序号	奖池ID	道具ID	道具数量	道具权重	最少抽取次数	最大抽取次数	最大获得个数	组	组抽中CD	组内差值	提升保底权重阈值	额外权重提升	价值
Index	PoolID	ItemID	ItemCount	Weight	MinTimes	MaxTimes	nCount	GroupID	CdTimes	Difference	AddTime	AddWeight	Value
1	1	931001	1	2	0	9999	9999						1000
38	2	100010202	1	5	0	80	9999	1001	0	0	60	8	10000
39	2	100020102	1	5	0	80	9999	1001	0	0	60	8	10000
40	2	100020402	1	5	0	80	9999	1001	0	0	60	8	10000
41	2	100040502	1	5	0	80	9999	1001	0	0	60	8	10000
42	2	100120102	1	5	0	80	9999	1001	0	0	60	8	10000
43	2	100010202	1	5	0	80	9999	1001	0	0	60	8	10000
44	2	100011111	1	1	9	9	9999	1002	0	2			1000
45	2	100011121	1	1	9	9	9999	1002	0	2			1000
46	2	100011131	1	1	9	9	9999	1002	0	2			1000
47	2	100021111	1	1	9	9	9999	1002	0	2			1000
48	2	100021121	1	1	9	9	9999	1002	0	2			1000
49	2	100021131	1	1	9	9	9999	1002	0	2			1000
50	2	100031111	1	1	9	9	9999	1002	0	2			1000
51	2	100031121	1	1	9	9	9999	1002	0	2			1000
52	2	100031131	1	1	9	9	9999	1002	0	2			1000
53	2	58	1	174	0	9999	9999						100
54	2	59	1	174	0	9999	9999						100
55	2	63	1	174	0	9999	9999						100
56	2	61	1	174	0	9999	9999						100
57	2	64	1	174	0	9999	9999						100
58	2	100011111	1	2	0	9999	9999						1000
59	2	100011121	1	2	0	9999	9999						1000
60	2	100011131	1	2	0	9999	9999						1000
61	2	100021111	1	2	0	9999	9999						1000
62	2	100021121	1	2	0	9999	9999						1000
63	2	100021131	1	2	0	9999	9999						1000
64	2	100031111	1	2	0	9999	9999						1000
65	2	100031121	1	2	0	9999	9999						1000
66	2	100031131	1	2	0	9999	9999						1000
