int	string	DoodadPair[].int	DoodadPair[].int	DoodadPair[].int	DoodadPair[].int	DoodadPair[].int	DoodadPair[].int	DoodadPair[].int	DoodadPair[].int	DoodadPair[].int	DoodadPair[].int
PKEY1											
道具编号	备注	数量	DoodadID	数量	DoodadID	数量	DoodadID	数量	DoodadID	数量	DoodadID
ID	Des	pair.Num	pair.DoodadID	pair.Num	pair.DoodadID	pair.Num	pair.DoodadID	pair.Num	pair.DoodadID	pair.Num	pair.DoodadID
16	切分测试道具	1	600002								
17	战术道具	1	201101								
18	NPC狗牌	1	101211								
62	爆破模式势力2炸弹	1	97								
76	小芯片·攻击	1	618								
77	中芯片·攻击	1	618								
78	大芯片·攻击	1	618								
79	小芯片·生命	1	622								
80	中芯片·生命	1	622								
81	大芯片·生命	1	622								
101	复活信标	1	110101								
102	全图侦查	1	110102								
103	补偿积分	150	110103	250	210101	500	210102	750	210103		
104	护盾充能	1	110104								
105	雷达干扰	1	110105								
106	地毯式轰炸	1	110106								
107	子母弹	1	110107								
108	追踪照射	1	110108								
109	战术核弹	1	110109								
110	喷口干扰弹	1	110110								
111	强袭A	1	110111								
112	强袭B	1	110112								
113	战术飞弹	1	110113								
114	应急立场盾	1	110114								
115	精确导弹空袭	1	110115								
116	矿物道具	1	700104								
117	能量	1	619102								
119	宝石	1	111010120								
120	86炸弹	1	86								
100005	晶体核心	1	111010126								
200010	晶体引擎	1	111010126								
200011	小芯片·移速	1	623								
200012	中芯片·移速	1	623								
200013	大芯片·移速	1	623								
200014	小芯片·能量	1	621								
200015	中芯片·能量	1	621								
200016	大芯片·能量	1	621								
200017	小芯片·护盾	1	619								
200018	中芯片·护盾	1	619								
200019	大芯片·护盾	1	619								
200020	小芯片·回能	1	620								
200021	中芯片·回能	1	620								
200022	大芯片·回能	1	620								
200025	核心运输模式	1	401								
200026	稀有芯片·攻击	1	618								
200027	史诗芯片·攻击	1	618								
200028	稀有芯片·生命	1	622								
200029	史诗芯片·生命	1	622								
200030	稀有芯片·移速	1	623								
200031	史诗芯片·移速	1	623								
200032	稀有芯片·能量	1	621								
200033	史诗芯片·能量	1	621								
200034	稀有芯片·护盾	1	619								
200035	史诗芯片·护盾	1	619								
200036	稀有芯片·回能	1	620								
200037	史诗芯片·回能	1	620								
200040	矛隼装备包	1	869								
200041	恩赫里亚装备包	1	870								
200042	龙渊装备包	1	871								
200043	三角龙装备包	1	872								
200044	鸣神装备包	1	873								
200045	德拉姆装备包	1	874								
200046	赤霄装备包	1	875								
200047	芯片扩展插槽	1	877								
200048	装置扩展插槽	1	863								
200049	精英级别箱子	1	889								
200054	佣金订单：通缉	1	930								
6001001	修理机器人	1	111010122								
6001002	喷射助推器	1	111010124								
6001003	EIC干扰弹	1	111010124								
6001004	全局追踪无人机	1	111010124								
6001005	自曝装置	1	111010124								
6001006	驾驶员解限器	1	111010124								
610041002	佣金订单：护送	1	1062								
610041003	佣金订单：保护	1	1144								
610041004	佣金订单：占领	1	1705								
610041005	佣金订单：探索	1	1706								
610041006	佣金订单：寻找	1	1707								
610041007	佣金订单：采集	1	1708								
610041008	佣金订单：对话	1	1709								
610041009	佣金订单：防守	1	1710								
610041010	佣金订单：却敌	1	1711								
610041011	佣金订单：实验	1	1712								
610041012	佣金订单：拆迁	1	1713								
