int	string	enum.ItemShowType	enum.ItemShowPerspective	enum.UIItemShowType	enum.UIItemVisibleType	int
PKEY1		UI-Image-0,贴花-Decal-1,模型-Model-2,成就图案-AchievementPattern-3,徽章-Badge-4,称号-Title-5	静态相机-Static-0,贴花相机-Decal-1,模型相机-Model-2	普通道具-Normal-1,机甲部件-MechaPart-2,机甲-Mecha-3,贴花-Decal-4,成就图案-AchievementPattern-5	不屏蔽-Visible-0,包内屏蔽-VisibleInEditor-1,屏蔽-Invisible-2	
道具ID	预设路径	奖励展示类型	镜头类型	UI道具展示类型	道具屏蔽类型	UI道具展示图标ID
id	prefabPath	showType	cameraType	uiItemShowType	uiItemVisibleType	uiItemShowIconId
58		0	0			
59		0	0			
61		0	0			
63		0	0			
64		0	0			
69						
70						
71						
72						
73						
74						
76						
77						
78						
79						
80						
81						
116						
1001						
1002						
1003						
1004						
1005						
1006						
1007		0	0			
100001						
100002						
100003						
100004						
100005						
200001		0		2	0	
200002		0		2	0	
200003						
200004						
200005						
200010						
200011						
200012						
200013						
200014						
200015						
200016						
200017						
200018						
200019						
200020						
200021						
200022						
200024		0	0	3		20144
200026						
200027						
200028						
200029						
200030						
200031						
200032						
200033						
200034						
200035						
200036						
200037						
200038	Assets/Art/UI/Dynamic/DIYIcon/PatternIcon/UIDIY_PatternIcon_Ele_28.png	1	1	2		20023
200039		0	0			
200040						
200041						
200042						
200043						
200044						
200045						
200046						
200047						
200048						
200049						
200050						
200051	Assets/Art/UI/Dynamic/PlayerCardBg/UIPlayerCardBg_L_01.png	3	1	5		20163
200052		5	1	5		
200053	Assets/Art/UI/Dynamic/AchieveIcon/UIAchieveIcon_02.png	4	1	5		20028
200054						
200055						
220005		0	0			
600001	Assets/Art/UI/Dynamic/DIYIcon/PatternIcon/UIDIY_PatternIcon_Geo_1.png	1	1	4		20145
600002	Assets/Art/UI/Dynamic/DIYIcon/PatternIcon/UIDIY_PatternIcon_Geo_2.png	1	1	4		20146
611001	Assets/Art/UI/Dynamic/Achievement/BigIcon/UIAchieveIcon_02.png	4	1	5		40002
611002	Assets/Art/UI/Dynamic/Achievement/BigIcon/UIAchieveIcon_03.png	4	1	5		40005
611003	Assets/Art/UI/Dynamic/Achievement/BigIcon/UIAchieveIcon_04.png	4	1	5		40008
611004	Assets/Art/UI/Dynamic/Achievement/BigIcon/UIAchieveIcon_05.png	4	1	5		40011
611005	Assets/Art/UI/Dynamic/Achievement/BigIcon/UIAchieveIcon_09.png	4	1	5		40014
611006	Assets/Art/UI/Dynamic/Achievement/BigIcon/UIAchieveIcon_07.png	4	1	5		40017
611007	Assets/Art/UI/Dynamic/Achievement/BigIcon/UIAchieveIcon_08.png	4	1	5		40020
612001	Assets/Art/UI/Dynamic/PlayerCardBg/UIPlayerCardBg_L_01.png	3	1	5		40026
612002	Assets/Art/UI/Dynamic/PlayerCardBg/UIPlayerCardBg_L_05.png	3	1	5		40028
612003	Assets/Art/UI/Dynamic/PlayerCardBg/UIPlayerCardBg_L_06.png	3	1	5		40030
612004	Assets/Art/UI/Dynamic/PlayerCardBg/UIPlayerCardBg_L_03.png	3	1	5		40032
612005	Assets/Art/UI/Dynamic/PlayerCardBg/UIPlayerCardBg_L_02.png	3	1	5		40034
612006	Assets/Art/UI/Dynamic/PlayerCardBg/UIPlayerCardBg_L_04.png	3	1	5		40036
613001		5	1	5		
613002		5	1	5		
613003		5	1	5		
