int	LangText	enum.ItemType	enum.ItemQuality	enum.BagType	bool	int	int	bool	float	int	float	float	DateTime	DateTime	bool	uint	uint[][]	float	float	string	ItemUse[].enum.EditorItemUseType	ItemUse[].string[]	enum.UseTargetType	int[]	enum.BindingType	bool	bool	int	LangText	string	string	string	int	float	bool	bool	bool	bool	int	string[]	bool	string	enum.BagJumpType	bool	enum.UIItemIconType	bool	int	int	int[]	float	bool
PKEY1		战术-Battle-1,任务-Task-2,零件-ArmedParts-3,货币-Currency-4,武装-MechaParts-5,芯片-Core-6,机甲-Mecha-7	White-1,Green-2,Blue-3,Purple-4	External																	|使用技能-Skill-1,货币加成-CurrencyAddition-2,驾驶员经验道具-PilotExp-3,舰长经验道具-MasterExp-4,获得货币-CurrencyItem-5,芯片-Chip-6,掉落道具-DropItem-7,获得机甲-AddMecha-8,获得DIY素材-AddDiyMaterial-9,获得BUFF-AddBuff-10,扩容背包-AddGridCount-11,接取任务-GetQuest-12		账号-user-1,角色-player-2		None-1,Account-2,Mecha-3																		无-None-0,驾驶员-Pilot-1,研发材料-Develop-2		普通-Normal-1,称号-Title-2,徽章-Badge-3,背景大图-BigBg-4,贴花-Decal-5						
道具编号	道具名称	类型	品质	背包页	是否可以堆叠	最大叠加数量	最大可拥有的数量	是否可以丢弃	冷却时间(-1表示不限制)	冷却类型	类型冷却时间	有效时间(-1表示不限制)	开始生效日期	结束生效日期	(进入背包时)是否自动使用	技能	技能组	死亡掉落概率	死亡掉落数量(%)	模型	道具使用方法1.使用技能	道具使用参数	道具使用目标类型	可以使用的机甲	绑定类型	是否可出售	是否可邮寄	价格	道具简单描述	详细描述	背景故事	补充说明	BuffId	Buff持续时间	是否可以带出战场	是否可以使用	出售是否计入周上限	出售是否计入系统获取上限	丢弃道具doodad配置id	副标题	客户端是否展示	仓库跳转标题	仓库跳转类型	是否可上交易	道具图标类型	是否可以在场景里使用	小图标ID	大图标ID	UI展示的技能	局内道具使用CD	是否可快捷装备
id	name	type	quality	bagPageType	stackable	maxNumOfStack	maxNumOwned	canGiveUp	coolDownTime	typeCoolDown	typeCoolDownTime	effectiveTime	beginEffectiveDate	endEffectiveDate	isAutoUse	skillId	skillGroup	dropOnDeathProbability	dropCountPercent	modelPath	itemUse.useType	itemUse.useParam	useTargetType	usableMechas	bindingType	sellable	mailable	price	simpleDescription	detailedDescription	backGround	supplementaryInstruction	buffId	buffDurationTime	canTakeAway	canUse	isWeekLimit	isSystemLimit	doodadDefinition	titles	isShowInClient	bagJumpTitle	bagJumpType	canOnShelf	iconType	canUseInWar	smallIconId	bigIconId	uiSkills	warItemCD	canQuickEquip
58	测试道具1	1	2	1	1	-1	-1	1	-1			-1									1		1		2	1		100	测试用道具							0				稀有,,			0		1		20002				
59	舰长经验药	1	2	1	1	-1	-1	1	-1			-1									4	100	1		2	1		100	使用后可以获得100点舰长经验							1				稀有,,					1		20002				
61	钻石点券道具	1	1	1	1	-1	-1	1	-1			-1									5	102,100,0,0	1		1				使用后获得100钻石	使用后获得100钻石						1				普通,,					1		20002				
63	舰长经验加成卡 x1.3	1	1	1	1	-1	-1	1	-1			-1									2	103,30,4	1		1				舰长经验加成卡，使用后可以在对局结束时获得舰长经验加成							1				普通,,					1		20002				
64	金币加成卡 x1.5	1	1	1	1	-1	-1	1	-1			-1									2	101,50,4	1		1				金币加成卡，使用后可以在对局结束时获得金币加成							1				普通,,					1		20002				
69	掉落道具	1	1	1	1	-1	-1	1	-1			-1			1						7	1001	1		1				固定获得3个道具							1				普通,,					1		20002				
70	掉落道具2	1	1	1	1	-1	-1	1	-1			-1			1						7	1002	1		1				随机获得金币100~1000个金币							1				普通,,					1		20002				
71	掉落道具3	1	1	1	1	-1	-1	1	-1			-1			1						7	1003	1		1				同时获得BP经验、舰长经验、金币和钻石							1				普通,,					1		20002				
72	掉落道具4	1	1	1	1	-1	-1	1	-1			-1			1						7	1005	1		1				从各种经验药、加成卡、点券道具中随机获得3种道具							1				普通,,					1		20002				
73	掉落道具5	1	1	1	1	-1	-1	1	-1			-1			1						7	1008	1		1				从驾驶员经验道具、舰长经验道具和钻石点券道具中重复随机出100个							1				普通,,					1		20002				
74	掉落道具6	1	1	1	1	-1	-1	1	-1			-1			1						7	1009	1		1				90%概率获得驾驶员经验道具 10%概率获得舰长经验道具							1				普通,,					1		20002				
76	实用芯片·攻击	6	1	2	0	1	6	1	-1			-1									6		1		1	0			较为实用的机载芯片，可适当改善机甲的攻击性能。										618	攻击力,,					1		20006	20006			
77	强化芯片·攻击	6	1	2	0	1	3	1	-1			-1									6		1		1				对回路做过适当强化的芯片，可有效提升机甲的攻击性能。										618	攻击力,最大安装3个,					1		20006	20006			
78	高敏芯片·攻击	6	2	2	0	1	2	1	-1			-1									6		1		1				使用高敏材料制成的芯片组，令机甲的攻击性能得到充分发挥。										618	攻击力,最大安装2个,					1		20006	20006			
79	实用芯片·框架	6	1	2	0	1	6	1	-1			-1									6		1		1				较为实用的机载芯片，可调整机甲的框架受力状况。						0				622	框架强度,,					1		20007	20007			
80	强化芯片·框架	6	1	2	0	1	3	1	-1			-1									6		1		1				对回路做过适当强化的芯片，可高效调节机甲的框架受力状况。										622	框架强度,最大安装3个,					1		20007	20007			
