int	LangText	enum.ItemType	enum.ItemQuality	enum.BagType	bool	int	int	bool	float	int	float	float	DateTime	DateTime	bool	uint	uint[][]	float	float	ItemUse[].enum.EditorItemUseType	ItemUse[].string[]	enum.UseTargetType	int[]	enum.BindingType	bool	bool	int	int	float	bool	bool	bool	bool	int	bool	string	enum.BagJumpType	bool	bool	int	int	int[]	float	bool	int
PKEY1		战术-Battle-1,任务-Task-2,零件-ArmedParts-3,货币-Currency-4,武装-MechaParts-5,芯片-Core-6,机甲-Mecha-7	White-1,Green-2,Blue-3,Purple-4	External																|使用技能-Skill-1,货币加成-CurrencyAddition-2,驾驶员经验道具-PilotExp-3,舰长经验道具-MasterExp-4,获得货币-CurrencyItem-5,芯片-Chip-6,掉落道具-DropItem-7,获得机甲-AddMecha-8,获得DIY素材-AddDiyMaterial-9,获得BUFF-AddBuff-10,扩容背包-AddGridCount-11,接取任务-GetQuest-12		账号-user-1,角色-player-2		None-1,Account-2,Mecha-3													无-None-0,驾驶员-Pilot-1,研发材料-Develop-2								
道具编号	道具名称	类型	品质	背包页	是否可以堆叠	最大叠加数量	最大可拥有的数量	是否可以丢弃	冷却时间(-1表示不限制)	冷却类型	类型冷却时间	有效时间(-1表示不限制)	开始生效日期	结束生效日期	(进入背包时)是否自动使用	技能	技能组	死亡掉落概率	死亡掉落数量(%)	道具使用方法1.使用技能	道具使用参数	道具使用目标类型	可以使用的机甲	绑定类型	是否可出售	是否可邮寄	价格	BuffId	Buff持续时间	是否可以带出战场	是否可以使用	出售是否计入周上限	出售是否计入系统获取上限	丢弃道具doodad配置id	客户端是否展示	仓库跳转标题	仓库跳转类型	是否可上交易	是否可以在场景里使用	小图标ID	大图标ID	装备BUFF	局内道具使用CD	是否可快捷装备	初始可邮寄次数(堆叠道具不生效)
id	name	type	quality	bagPageType	stackable	maxNumOfStack	maxNumOwned	canGiveUp	coolDownTime	typeCoolDown	typeCoolDownTime	effectiveTime	beginEffectiveDate	endEffectiveDate	isAutoUse	skillId	skillGroup	dropOnDeathProbability	dropCountPercent	itemUse.useType	itemUse.useParam	useTargetType	usableMechas	bindingType	sellable	mailable	price	buffId	buffDurationTime	canTakeAway	canUse	isWeekLimit	isSystemLimit	doodadDefinition	isShowInClient	bagJumpTitle	bagJumpType	canOnShelf	canUseInWar	smallIconId	bigIconId	equipBuffs	warItemCD	canQuickEquip	mailableNum
58	测试道具1	1	2	1	1	-1	-1	1	-1			-1								1		1		2	1		100				0						0			20002					
59	舰长经验药	1	2	1	1	-1	-1	1	-1			-1								4	100	1		2	1		100				1									20002					
61	钻石点券道具	1	1	1	1	-1	-1	1	-1			-1								5	102,100,0,0	1		1							1									20002					
63	舰长经验加成卡 x1.3	1	1	1	1	-1	-1	1	-1			-1								2	103,30,4	1		1							1									20002					
64	金币加成卡 x1.5	1	1	1	1	-1	-1	1	-1			-1								2	101,50,4	1		1							1									20002					
69	掉落道具	1	1	1	1	-1	-1	1	-1			-1			1					7	1001	1		1							1									20002					
70	掉落道具2	1	1	1	1	-1	-1	1	-1			-1			1					7	1002	1		1							1									20002					
71	掉落道具3	1	1	1	1	-1	-1	1	-1			-1			1					7	1003	1		1							1									20002					
72	掉落道具4	1	1	1	1	-1	-1	1	-1			-1			1					7	1005	1		1							1									20002					
73	掉落道具5	1	1	1	1	-1	-1	1	-1			-1			1					7	1008	1		1							1									20002					
74	掉落道具6	1	1	1	1	-1	-1	1	-1			-1			1					7	1009	1		1							1									20002					
76	实用芯片·攻击	6	1	2	0	1	6	1	-1			-1								6		1		1	0									618						20006	20006				
77	强化芯片·攻击	6	1	2	0	1	3	1	-1			-1								6		1		1										618						20006	20006				
78	高敏芯片·攻击	6	2	2	0	1	2	1	-1			-1								6		1		1										618						20006	20006				
79	实用芯片·框架	6	1	2	0	1	6	1	-1			-1								6		1		1						0				622						20007	20007				
80	强化芯片·框架	6	1	2	0	1	3	1	-1			-1								6		1		1										622						20007	20007				
81	高敏芯片·框架	6	2	2	0	1	2	1	-1			-1								6		1		1										622						20007	20007				
116	矿物	1	1	1	1	1	1	0	-1			-1			0			0	0	1		1																		1	1				
1001	测试道具	1	1	1	1	-1	-1	1	-1			-1								1		1		1						1										20010					
1002	测试道具2	1	1	1	1	-1	-1	1	-1			-1								1		1		1																1					
1003	每日任务道具	1	1	2	1	-1	-1	1	-1			-1								2		1		1																20002					
1004	每周任务道具	1	2	2	1	-1	-1	1	-1			-1								2		1		1																20002					
1005	主线任务道具	1	1	2	1	-1	-1	1	-1			-1								2		1		1																20002					
1006	BP奖励道具	1	1	2	1	-1	-1	1	-1			-1								2		1		1																20002					
1007	舰长升级奖励道具	1	1	2	1	-1	-1	1	-1			-1								3	100	1		1							1									20002					
100001	路网信用币	1	1	1	1	100	100	1	-1			-1								1		1		1																20011					
100002	芯石	1	1	1	1	1	1		-1			-1								1		1		1																20012					
100003	舰长经验	1	1	1	1	1	1		-1			-1										1		1																20002					
100004	BP经验	1	1	1	1	1	1		-1			-1										1		1																20002					
100005	芯石原矿	4	1	1	1	9999	99999		-1			-1										1		1										111010126				1		80006	80006				
200001	强化枪管1型	3	1	1	0	1	1000	1	-1			-1								1		1		1																20045					
200002	强化枪管2型	3	1	1	0	1	1000	1	-1			-1								1		1		1																20045					
200003	武装物资签收单	1	4	1	1	-1	-1		-1			-1			1					7	63	1		1																20015					
200004	配件物资签收单	1	4	1	1	-1	-1		-1			-1			1					7	64	1		1																20015					
200005	追加配件签收单	1	4	1	1	-1	-1		-1			-1			1					7	65	1		1																20015					
200010	晶体引擎	1	1	0	0	1	9999		-1			-1								7	36	1		1							1									20016	20016				
200011	实用芯片·机动	6	1	2	0	1	6	1	-1			-1								6		1		1						0				623						20017	20017				
200012	强化芯片·机动	6	1	2	0	1	3	1	-1			-1								6		1		1										623						20017	20017				
200013	高敏芯片·机动	6	2	2	0	1	2	1	-1			-1								6		1		1										623						20017	20017				
200014	实用芯片·功率	6	1	2	0	1	6	1	-1			-1								6		1		1						0				621						20018	20018				
200015	强化芯片·功率	6	1	2	0	1	3	1	-1			-1								6		1		1										621						20018	20018				
200016	高敏芯片·功率	6	2	2	0	1	2	1	-1			-1								6		1		1										621						20018	20018				
200017	实用芯片·护盾	6	1	2	0	1	6	1	-1			-1								6		1		1						0				619						20019	20019				
200018	强化芯片·护盾	6	1	2	0	1	3	1	-1			-1								6		1		1										619						20019	20019				
200019	高敏芯片·护盾	6	2	2	0	1	2	1	-1			-1								6		1		1										619						20019	20019				
200020	实用芯片·供能	6	1	2	0	1	6	1	-1			-1								6		1		1						0				620						20020	20020				
200021	强化芯片·供能	6	1	2	0	1	3	1	-1			-1								6		1		1										620						20020	20020				
200022	高敏芯片·供能	6	2	2	0	1	2	1	-1			-1								6		1		1										620						20020	20020				
200024	恩赫里亚	1	1	1	1	-1	-1		-1			-1								1		1		1																20022					
200026	特制芯片·攻击	6	3	2	0	1	1	1	-1			-1								6		1		1										618						20006	20006				
200027	解限芯片·攻击	6	4	2	0	1	1	1	-1			-1								6		1		1										618						20006	20006				
200028	特制芯片·框架	6	3	2	0	1	1	1	-1			-1								6		1		1										622						20007	20007				
200029	解限芯片·框架	6	4	2	0	1	1	1	-1			-1								6		1		1										622						20007	20007				
200030	特制芯片·机动	6	3	2	0	1	1	1	-1			-1								6		1		1										623						20017	20017				
200031	解限芯片·机动	6	4	2	0	1	1	1	-1			-1								6		1		1										623						20017	20017				
200032	特制芯片·功率	6	3	2	0	1	1	1	-1			-1								6		1		1										621						20018	20018				
200033	解限芯片·功率	6	4	2	0	1	1	1	-1			-1								6		1		1										621						20018	20018				
200034	特制芯片·护盾	6	3	2	0	1	1	1	-1			-1								6		1		1										619						20019	20019				
200035	解限芯片·护盾	6	4	2	0	1	1	1	-1			-1								6		1		1										619						20019	20019				
200036	特制芯片·供能	6	3	2	0	1	1	1	-1			-1								6		1		1										620						20020	20020				
200037	解限芯片·供能	6	4	2	0	1	1	1	-1			-1								6		1		1										620						20020	20020				
200038	漆黑星辰	1	1	1	1	1	1		-1			-1								1		1		1																20023					
200039	测试赤霄研发配置	7	1	1	1	-1	-1		-1			-1			1					8	61004	1		1							1									20024					
200040	武装箱·矛隼	1	2	0	0	1	99	1	-1			-1			0			0	0	7	46	1						111010129	1	1	1			869						101	101				
200041	武装箱·恩赫里亚	1	2	0	0	1	99	1	-1			-1			0			0	0	7	47	1						111010129	1	1	1			870						102	102				
200042	武装箱·龙渊	1	2	0	0	1	99	1	-1			-1			0			0	0	7	48	1						111010129	1	1	1			871						103	103				
200043	武装箱·三角龙	1	2	0	0	1	99	1	-1			-1			0			0	0	7	49	1						111010129	1	1	1			872						104	104				
200044	武装箱·鸣神	1	2	0	0	1	99	1	-1			-1			0			0	0	7	50	1						111010129	1	1	1			873						105	105				
200045	武装箱·德拉姆	1	2	0	0	1	99	1	-1			-1			0			0	0	7	51	1						111010129	1	1	1			874						109	109				
200046	武装箱·赤霄	1	2	0	0	1	99	1	-1			-1			0			0	0	7	52	1						111010129	1	1	1			875						112	112				
200047	芯片扩展插槽	1	1	0	0	1	3	1	-1			-1			1					11	2,1	1		1							1			877					1	20025	20025				
200048	装置挂接单元	1	1	0	0	1	3	1	-1			-1			1					11	0,1	1		1							1			863					1	20026	20026				
200049	精英级别箱子	1	2	0	0	1	99	0	-1			-1			1			0	0	7	59	1						111010129	1	1	0			889					1	20009	20009				
200050	任务获得删除doodad道具	1	1	1	1	-1	-1		-1			-1			1							1		1							0								1						
200051	追星者的雄飞	1	1	1	1	-1	-1	1	-1			-1										1		1																40026					
200052	不斩败者	1	1	1	1	-1	-1	1	-1			-1										1		1																20027					
200053	徽章_测试	1	1	1	1	-1	-1	1	-1			-1										1		1																20028					
200054	佣金订单：通缉	1	2	0	0	1	1	1	-1			-1			1					12	344	1		1							1			930					1	20029	20029				
200055	启动推车玩法	2	1	1	1	9999	9999		-1			-1			0							1		1							0														
220005	驾驶员升级消耗道具	1	1	1	1	-1	-1	1	-1			-1										1		1	1		1													20030					
600001	徽章贴花奖励1	1	2	1	1	-1	-1		-1			-1			1					9	2,1	1		1											1					20031					
600002	徽章贴花奖励2	1	3	1	1	-1	-1		-1			-1			1					9	2,2	1		1											1					20032					
611001	长空徽章	1	1	1	1	-1	-1	1	-1			-1										1		1																40002					
611002	骑士徽章	1	1	1	1	-1	-1	1	-1			-1										1		1																40005					
611003	玄甲徽章	1	1	1	1	-1	-1	1	-1			-1										1		1																40008					
611004	战车徽章	1	1	1	1	-1	-1	1	-1			-1										1		1																40011					
611005	梓弓徽章	1	1	1	1	-1	-1	1	-1			-1										1		1																40014					
611006	战鼓徽章	1	1	1	1	-1	-1	1	-1			-1										1		1																40017					
611007	烁金徽章	1	1	1	1	-1	-1	1	-1			-1										1		1																40020					
612001	密斯之眼	1	1	1	1	-1	-1	1	-1			-1										1		1																40026					
612002	日落尘沙	1	1	1	1	-1	-1	1	-1			-1										1		1																40028					
612003	边境山脉	1	1	1	1	-1	-1	1	-1			-1										1		1																40030					
612004	芯石之争	1	1	1	1	-1	-1	1	-1			-1										1		1																40032					
612005	复苏纪元	1	1	1	1	-1	-1	1	-1			-1										1		1																40034					
612006	启航时刻	1	1	1	1	-1	-1	1	-1			-1										1		1																40036					
613001	新人舰长	1	1	1	1	-1	-1	1	-1			-1										1		1																20027					
613002	奇迹之子	1	1	1	1	-1	-1	1	-1			-1										1		1																20027					
613003	王牌机师	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613004	破局者	1	1	1	1	-1	-1	1	-1			-1										1		1																20027					
613005	孤胆英雄	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613006	命定克星	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613007	幻影对阵师	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613008	钢铁咆哮	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613009	战术格挡家	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613010	格斗家	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613011	精英僚机	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613012	战场主宰	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613013	哀悼者	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613014	驱逐王	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613015	战局终结者	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613016	终局胜者	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613017	决胜先锋	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613018	雷霆之师	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613019	求生大师	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613020	完美收割者	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613021	不屈勇者	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613022	必胜先手	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613023	无尽怒涛	1	2	1	1	-1	-1	1	-1			-1										1		1																20027					
613024	无尽雷霆	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
613025	战争机器	1	3	1	1	-1	-1	1	-1			-1										1		1																20027					
