int	int[]
PKEY1	
机甲ID	部位ID列表
ID	partIDs
10001	100010101,100010201,100010301,100010401,100010501,100010601,100010701,100010801,100010901,100011001
10002	100020101,100020201,100020301,100020401,100020501,100020601,100020701,100020801,100020901,100021001
10003	100030101,100030201,100030301,100030401,100030501,100030601,100030701,100030801,100030901,100031001
10004	100040101,100040201,100040301,100040401,100040501,100040601,100040701,100040801,100040901,100041001
10005	100050101,100050201,100050301,100050401,100050501,100050601,100050701,100050801,100050901,100051001
10007	100070101,100070201,100070301,100070401,100070501,100070601,100070701,100070801,100070901,100071001
10009	100090101,100090201,100090301,100090401,100090501,100090601,100090701,100090801,100090901,100091001
10012	100120101,100120201,100120301,100120401,100120501,100120601,100120701,100120801,100120901,100121001
61004	610040101,610040201,610040301,610040401,610040501,610040601,610040701,610040801,610040901,610041001
