int	string	LangText	int	int	int	int	int	uint[]	uint[]	uint[]	uint[]	uint[]	string[]	string	int	string[]	int	bool	int	int[]	int[]	int[]	int[]	int[]	int[][]	enum.MechaSlotsType	Slots[].int[]	Slots[].int	Slots[].int[]	Slots[].int	Slots[].int[]	Slots[].int	Slots[].int[]	Slots[].int	bool	enum.CurrencyType	int	int[]	int[]	int	int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	PartMechaProperty[].int	PartMechaProperty[].int	PartMechaProperty[].int	PartMechaProperty[].int	PartMechaProperty[].int	PartMechaProperty[].int	string	int	string	int
PKEY1																										External										External																																							
机甲部件序号	策划的备注	部件名	所属机甲	所属机甲插槽	格纳库图标排序	重量	品质\n1:白\n2:绿\n3:蓝\n4:紫	技能列表（添加技能）	技能列表（删除技能）	技能ID（图标读取）	被动技能列表（添加技能）	被动技能列表（删除技能）	模型路径	描述	所属子插槽	模型表id	重量	是否隐藏部件	零件槽位个数	零件槽位一	零件槽位二	零件槽位三	零件槽位四	词条列表	配件槽数量随机权重	机甲插槽类型	1号配件槽道具列表	1号配件槽随机权重	2号配件槽道具列表	2号配件槽随机权重	3号配件槽道具列表	3号配件槽随机权重	4号配件槽道具列表	4号配件槽随机权重	是否可研发	研发消耗货币类型	研发消耗货币数量	研发消耗道具类型	研发消耗道具数量	研发消耗时间	属性数量	武装属性ID1	武装属性基础值1	武装属性下限1	武装属性上限1	武装属性ID2	武装属性基础值2	武装属性下限2	武装属性上限2	武装属性ID3	武装属性基础值3	武装属性下限3	武装属性上限3	武装属性ID4	武装属性基础值4	武装属性下限4	武装属性上限4	武装属性ID5	武装属性基础值5	武装属性下限5	武装属性上限5	武装属性ID6	武装属性基础值6	武装属性下限6	武装属性上限6	机甲属性Id1	机甲属性修改值1	机甲属性Id2	机甲属性修改值2	机甲属性Id3	机甲属性修改值3	部件标签	部件标签图标	完整武装预制路径	图标资源ID
id	chName	name	mechaID	slot	garageOrder	weight	quality	skillIds	skillIdsDel	newSkillIds	passiveSkillids	passiveSkillidsDel	modelPaths	description	subSlot	moduleList	weightCost	isHide	sparePartSlotCount	sparePartSlot1Ids	sparePartSlot2Ids	sparePartSlot3Ids	sparePartSlot4Ids	EntryList	SlotsNumRandomWeight	Type	slots.ItemList	slots.RandomWeight	slots.ItemList	slots.RandomWeight	slots.ItemList	slots.RandomWeight	slots.ItemList	slots.RandomWeight	canCraft	craftCostCurrencyType	craftCostCurrencyCount	craftCostItemTypes	craftCostItemCounts	craftCostTime	equipPropertyCount	equipProperties.id	equipProperties.baseValue	equipProperties.min	equipProperties.max	equipProperties.id	equipProperties.baseValue	equipProperties.min	equipProperties.max	equipProperties.id	equipProperties.baseValue	equipProperties.min	equipProperties.max	equipProperties.id	equipProperties.baseValue	equipProperties.min	equipProperties.max	equipProperties.id	equipProperties.baseValue	equipProperties.min	equipProperties.max	equipProperties.id	equipProperties.baseValue	equipProperties.min	equipProperties.max	partMechaProperties.id	partMechaProperties.changeValue	partMechaProperties.id	partMechaProperties.changeValue	partMechaProperties.id	partMechaProperties.changeValue	partTagDesc	partTagIconId	fullPrefabPath	iconId
100010101	矛隼默认，LB	“雨燕”速射炮	10001	1	1	0		10110101,10110103		10110101,10110103						M1_MainWeapon_1									1,0|2,0|3,100	1	100011111	100	100011121	100	100011131	100			1	101	200	910001,910011,910014,910016	5,5,5,5	600	6	1	2000	0	10000	4	5500	0	10000	6	7000	0	10000	7	8000	0	10000	19	7000	0	10000	12	5000	0	10000	25	2000							Assets/Art/Characters/Players/M1/P_M1_HandWeapon_1_R_LOD0_Complete.prefab	20035
100010102	矛隼换装1，LB	连射机枪	10001	1	1	0		1909		1909						M1_MainWeapon_2										1									1	101	200	910001,910011,910014,910016	5,5,5,5	600	6	1	2000	0	10000	4	5500	0	10000	6	7000	0	10000	7	8000	0	10000	19	7000	0	10000	12	5000	0	10000	25	2000							Assets/Art/Characters/Players/M1/P_M1_HandWeapon_2_L_LOD0.prefab	20029
100010201	矛隼默认，RB	“胡蜂”轻型导弹	10001	2	1	0		10120701,10120706		10120701,10120706						M1_SubWeapon_1										2									1	101	200	910004,910011,910014,910016	5,5,5,5	600	6	1	4000	0	10000	4	5500	0	10000	9	7000	0	10000	14	7500	0	10000	19	5000	0	10000	12	1500	0	10000	25	2000							Assets/Art/Characters/Players/M1/P_M1_BackMissile_1_LOD0.prefab	20036
100010202	矛隼换装1，RB	“山猫”火箭发射器	10001	2	2	0		10120901,10120904		10120901,10120904						M1_SubWeapon_2										2									1	101	200	910004,910011,910014,910016	5,5,5,5	600	6	1	5500	0	10000	4	5500	0	10000	9	7000	0	10000	14	1500	0	10000	19	2500	0	10000	12	1000	0	10000	25	2000							Assets/Art/Characters/Players/M1/P_M1_BackMissile_2_LOD0.prefab	20002
100010301	矛隼默认，特武1	“全视之眼”侦查模块	10001	3	1	0		10120101,1768		10120101,1768						M1_SpecialWeapon1_1										3									1	101	200	910007,910012,910014,910015	5,5,5,5	600	3	19	4000	0	10000	10	6500	0	10000	11	4500	0	10000													12	1000	13	1000					Assets/Art/Characters/Players/M1/P_M1_HeadRadar_1_LOD0.prefab	20182
100010302	矛隼换装1，特武1	“啄木鸟”维修无人机	10001	3	2	0		10180150		10180150						M1_SpecialWeapon1_2										3									1	101	200	910008,910012,910013,910015	5,5,5,5	600	4	19	4000	0	10000	5	6000	0	10000	20	3500	0	10000	11	4500	0	10000																	Assets/Art/Characters/Players/M1/P_M1_UavBase_1_L_LOD0.prefab	20038
100010401	矛隼默认，特武2	“瓦尔文”战术变形系统	10001	4	1	0		10180201		10180201						M1_SpecialWeapon2_1										4									1	101	200	910009,910011,910015,910016	5,5,5,5	600	2	19	7500	0	10000	25	8000	0	10000																									Assets/Art/Characters/Players/M1/P_M1_BackWing_1_LOD0.prefab	20039
