int	LangText	int[]	int[]	int	int
PKEY1					
属性Id	属性名称	武装子属性列表	雷达图子属性列表	武装界面权重	雷达图权重
ID	name	equipViewSonProperties	radarSonProperties	equipViewWeight	radarWeight
1	结构强度			1	1
2	实弹防御			1	1
3	能量防御			1	1
4	爆破防御			1	1
5	近战防御			1	1
6	引擎功率			1	1
7	引擎供能			1	1
8	护盾强度			1	1
9	护盾供能			1	1
10	火控锁定范围			1	1
11	火控性能			1	1
12	雷达处理能力			1	1
13	雷达感应距离			1	1
14	预警监控距离			1	1
15	回转速度			1	1
16	地面移速			1	1
17	地面加速性能			1	1
18	地面极速			1	1
19	地面加速能耗			1	1
20	空中移速			1	1
21	空中加速性能			1	1
22	空中极速			1	1
23	空中加速能耗			1	1
24	起飞性能			1	1
25	远程武装（雷达图属性）			1	1
26	近战武装（雷达图属性）			1	1
27	防御武装（雷达图属性）			1	1
101	基础属性	1,2,3,4,5,6,7,8,9			
102	火控雷达	10,11,12,13,14			
103	机动能力	15,16,17,18,19,20,21,22,23,24			
201	装甲强度		1,2,3,4,5,8,9		
202	火控精度		10,11,12,13,14		
203	地面机动		15,16,17,18,19,6,7		
204	空中机动		15,20,21,22,23,24,6,7		
205	远程武装		25		
206	近战武装		26		
207	防御武装		27		
