int	int	int	LangText	int
PKEY1	PKEY2			
机甲ID	插槽编号（1--255）\n同一机甲内Slot不可重复	插槽类型\n1：专属武器\n2：身体部件\n3：特殊武器\n4：通用挂件	插槽名	默认部件
MechaID	Slot	SlotType	SlotName	DefaultPart
10001	1	1	主武器	100010101
10001	2	1	副武器	100010201
10001	3	1	武装1	100010301
10001	4	1	武装2	100010401
10001	5	1	武装3	100010501
10001	6	1	头部	100010601
10001	7	1	手臂	100010701
10001	8	1	身躯	100010801
10001	9	1	腿部	100010901
10001	10	1	背部	100011001
10002	1	1	主武器	100020101
10002	2	1	副武器	100020201
10002	3	1	武装1	100020301
10002	4	1	武装2	100020401
10002	5	1	武装3	100020501
10002	6	1	头部	100020601
10002	7	1	手臂	100020701
10002	8	1	身躯	100020801
10002	9	1	腿部	100020901
10002	10	1	背部	100021001
10003	1	1	主武器	100030101
10003	2	1	副武器	100030201
10003	3	1	武装1	100030301
10003	4	1	武装2	100030401
10003	5	1	武装3	100030501
10003	6	1	头部	100030601
10003	7	1	手臂	100030701
10003	8	1	身躯	100030801
10003	9	1	腿部	100030901
10003	10	1	背部	100031001
10004	1	1	主武器	100040101
10004	2	1	副武器	100040201
10004	3	1	武装1	100040301
10004	4	1	武装2	100040401
10004	5	1	武装3	100040501
10004	6	1	头部	100040601
10004	7	1	手臂	100040701
10004	8	1	身躯	100040801
10004	9	1	腿部	100040901
10004	10	1	背部	100041001
10005	1	1	主武器	100050101
10005	3	1	武装1	100050301
10005	4	1	武装2	100050401
10005	5	1	武装3	100050501
10005	6	1	头部	100050601
10005	7	1	手臂	100050701
10005	8	1	身躯	100050801
10005	9	1	腿部	100050901
10005	10	1	背部	100051001
10007	1	1	主武器	100070101
10007	2	1	副武器	100070201
10007	3	1	武装1	100070301
10007	4	1	武装2	100070401
10007	5	1	武装3	100070501
10007	6	1	头部	100070601
10007	7	1	手臂	100070701
10007	8	1	身躯	100070801
10007	9	1	腿部	100070901
10007	10	1	背部	100071001
10009	1	1	主武器	100090101
10009	2	1	副武器	100090201
10009	3	1	武装1	100090301
10009	4	1	武装2	100090403
10009	5	1	武装3	100090501
10009	6	1	头部	100090601
10009	7	1	手臂	100090701
10009	8	1	身躯	100090801
10009	9	1	腿部	100090901
10009	10	1	背部	100091001
10012	1	1	主武器	100120101
10012	2	1	副武器	100120201
10012	3	1	武装1	100120301
10012	4	1	武装2	100120401
10012	5	1	武装3	100120501
10012	6	1	头部	100120601
10012	7	1	手臂	100120701
10012	8	1	身躯	100120801
10012	9	1	腿部	100120901
10012	10	1	背部	100121001
61004	1	1	主武器	610040101
61004	2	1	副武器	610040201
61004	3	1	特殊武器1	610040301
61004	4	1	特殊武器2	610040401
61004	5	1	特殊武器3	610040501
61004	6	1	头部	610040601
61004	7	1	手臂	610040701
61004	8	1	身躯	610040801
61004	9	1	腿部	610040901
61004	10	1	背部	610041001
