int	int	string	bool	int[]
PKEY1				
AI模板ID	机甲模板Id	行为树路径	是否使用新行为树	武装部件方案
Id	MechaId	BTPath	UseNewBehaviorTree	MechaAIParts
10100	10001	MechaAI/M01	True	100010101,100010201,100010301,100010401,100010501,100010601,100010701,100010801,100010901,100011001
10101	10001	MechaAI/M01	True	100010101,100010202,100010302,100010401,100010502,100010601,100010701,100010801,100010901,100011001
10102	10001	MechaAI/M01	True	100010101,100010201,100010302,100010401,100010502,100010601,100010701,100010801,100010901,100011001
10200	10002	MechaAI/M02	True	100020101,100020201,100020301,100020401,100020501,100020601,100020701,100020801,100020901,100021001
10201	10002	MechaAI/M02	True	100020102,100020202,100020302,100020402,100020502,100020601,100020701,100020801,100020901,100021001
10202	10002	MechaAI/M02	True	100020102,100020201,100020302,100020401,100020501,100020601,100020701,100020801,100020901,100021001
10300	10003	MechaAI/M03	True	100030101,100030201,100030301,100030401,100030501,100030601,100030701,100030801,100030901,100031001
10301	10003	MechaAI/M03	True	100030102,100030202,100030303,100030401,100030501,100030601,100030701,100030801,100030901,100031001
10302	10003	MechaAI/M03	True	100030102,100030202,100030301,100030402,100030501,100030601,100030701,100030801,100030901,100031001
10400	10004	MechaAI/M04	True	100040101,100040201,100040301,100040401,100040501,100040601,100040701,100040801,100040901,100041001
10401	10004	MechaAI/M04	True	100040101,100040201,100040302,100040401,100040502,100040601,100040701,100040801,100040901,100041001
10402	10004	MechaAI/M04	True	100040101,100040201,100040301,100040402,100040501,100040601,100040701,100040801,100040901,100041001
10500	10005	MechaAI/M05	True	100050101,100050201,100050301,100050402,100050501,100050601,100050701,100050801,100050901,100051001
10501	10005	MechaAI/M05	True	100050102,100050202,100050301,100050402,100050501,100050601,100050701,100050801,100050901,100051001
10502	10005	MechaAI/M05	True	100050102,100050202,100050302,100050403,100050501,100050601,100050701,100050801,100050901,100051001
10900	10009	MechaAI/M09	True	100090101,100090201,100090301,100090401,100090501,100090601,100090701,100090801,100090901,100091001
10901	10009	MechaAI/M09	True	100090102,100090202,100090302,100090402,100090502,100090601,100090701,100090801,100090901,100091001
10902	10009	MechaAI/M09	True	100090103,100090203,100090302,100090403,100090503,100090601,100090701,100090801,100090901,100091001
11200	10012	MechaAI/M12	True	100120101,100120201,100120301,100120401,100120501,100120601,100120701,100120801,100120901,100121001
11201	10012	MechaAI/M12	True	100120102,100120203,100120301,100120402,100120502,100120601,100120701,100120801,100120901,100121001
11202	10012	MechaAI/M12	True	100120101,100120202,100120301,100120402,100120502,100120601,100120701,100120801,100120901,100121001
