int	LangText	string	string	string	enum.MechaEableInMode	string	string	enum.EMechaType	int	int	uint	uint	string	bool	int	enum.UIAimmingPointerType	bool	MechaSlot[].enum.MechaSlotsType	MechaSlot[].uint	MechaSlot[].bool	MechaSlot[].bool	MechaSlot[].int[]	MechaSlot[].bool	MechaSlot[].enum.MechaSlotsType	MechaSlot[].uint	MechaSlot[].bool	MechaSlot[].bool	MechaSlot[].int[]	MechaSlot[].bool	MechaSlot[].enum.MechaSlotsType	MechaSlot[].uint	MechaSlot[].bool	MechaSlot[].bool	MechaSlot[].int[]	MechaSlot[].bool	MechaSlot[].enum.MechaSlotsType	MechaSlot[].uint	MechaSlot[].bool	MechaSlot[].bool	MechaSlot[].int[]	MechaSlot[].bool	MechaSlot[].enum.MechaSlotsType	MechaSlot[].uint	MechaSlot[].bool	MechaSlot[].bool	MechaSlot[].int[]	MechaSlot[].bool	MechaSlot[].enum.MechaSlotsType	MechaSlot[].uint	MechaSlot[].bool	MechaSlot[].bool	MechaSlot[].int[]	MechaSlot[].bool	MechaSlot[].enum.MechaSlotsType	MechaSlot[].uint	MechaSlot[].bool	MechaSlot[].bool	MechaSlot[].int[]	MechaSlot[].bool	MechaSlot[].enum.MechaSlotsType	MechaSlot[].uint	MechaSlot[].bool	MechaSlot[].bool	MechaSlot[].int[]	MechaSlot[].bool	MechaSlot[].enum.MechaSlotsType	MechaSlot[].uint	MechaSlot[].bool	MechaSlot[].bool	MechaSlot[].int[]	MechaSlot[].bool	MechaSlot[].enum.MechaSlotsType	MechaSlot[].uint	MechaSlot[].bool	MechaSlot[].bool	MechaSlot[].int[]	MechaSlot[].bool	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	MechaProperty[].int	MechaProperty[].int[]	int
PKEY1					None-0,Editor-1,DevBuild-2,RelBuild-3			无-None-0,轻型机甲-Light-1,中型机甲-Middle-2,重型机甲-Heavy-3								Common-0,Circle-1,Triangle-2		|主武器-MainWeapon-1,副武器-SubWeapon-2,特殊武器1-SpecialWeapon1-3,特殊武器2-SpecialWeapon2-4,特殊武器3-SpecialWeapon3-5,头部-Head-6,手臂-Arm-7,身躯-Body-8,腿部-Leg-9,背部-Back-10						|External						|External						|External						|External						|External						|External						|External						|External						|External																																																								
序号	名称	英文名	展示编号	阵营	生效方式	图标路径	资源路径	机甲类型	硬电量	重量	配置文件ID	AI机甲配置	AI机甲备注	格纳库中是否显示	驾驶员模板ID	准心类型	是否默认获取	1号机甲插槽类型	1号机甲插槽默认武装/部位ID	1号机甲插槽默认武装是否随机词条	1号机甲插槽默认武装是否随机配件槽数量	1号机甲插槽指定配件槽	1号机甲插槽,是否启用	2号机甲插槽类型	2号机甲插槽默认武装/部位ID	2号机甲插槽默认武装是否随机词条	2号机甲插槽默认武装是否随机配件槽数量	2号机甲插槽指定配件槽	2号机甲插槽,是否启用	3号机甲插槽类型	3号机甲插槽默认武装/部位ID	3号机甲插槽默认武装是否随机词条	3号机甲插槽默认武装是否随机配件槽数量	3号机甲插槽指定配件槽	3号机甲插槽,是否启用	4号机甲插槽类型	4号机甲插槽默认武装/部位ID	4号机甲插槽默认武装是否随机词条	4号机甲插槽默认武装是否随机配件槽数量	4号机甲插槽指定配件槽	4号机甲插槽,是否启用	5号机甲插槽类型	5号机甲插槽默认武装/部位ID	5号机甲插槽默认武装是否随机词条	5号机甲插槽默认武装是否随机配件槽数量	5号机甲插槽指定配件槽	5号机甲插槽,是否启用	6号机甲插槽类型	6号机甲插槽默认武装/部位ID	6号机甲插槽默认武装是否随机词条	6号机甲插槽默认武装是否随机配件槽数量	6号机甲插槽指定配件槽	6号机甲插槽,是否启用	7号机甲插槽类型	7号机甲插槽默认武装/部位ID	7号机甲插槽默认武装是否随机词条	7号机甲插槽默认武装是否随机配件槽数量	7号机甲插槽指定配件槽	7号机甲插槽,是否启用	8号机甲插槽类型	8号机甲插槽默认武装/部位ID	8号机甲插槽默认武装是否随机词条	8号机甲插槽默认武装是否随机配件槽数量	8号机甲插槽指定配件槽	8号机甲插槽,是否启用	9号机甲插槽类型	9号机甲插槽默认武装/部位ID	9号机甲插槽默认武装是否随机词条	9号机甲插槽默认武装是否随机配件槽数量	9号机甲插槽指定配件槽	9号机甲插槽,是否启用	10号机甲插槽类型	10号机甲插槽默认武装/部位ID	10号机甲插槽默认武装是否随机词条	10号机甲插槽默认武装是否随机配件槽数量	10号机甲插槽指定配件槽	10号机甲插槽,是否启用	机甲属性Id1	机甲属性基础值1	机甲属性Id2	机甲属性基础值2	机甲属性Id3	机甲属性基础值3	机甲属性Id4	机甲属性基础值4	机甲属性Id5	机甲属性基础值5	机甲属性Id6	机甲属性基础值6	机甲属性Id7	机甲属性基础值7	机甲属性Id8	机甲属性基础值8	机甲属性Id9	机甲属性基础值9	机甲属性Id10	机甲属性基础值10	机甲属性Id11	机甲属性基础值11	机甲属性Id12	机甲属性基础值12	机甲属性Id13	机甲属性基础值13	机甲属性Id14	机甲属性基础值14	机甲属性Id15	机甲属性基础值15	机甲属性Id16	机甲属性基础值16	机甲属性Id17	机甲属性基础值17	机甲属性Id18	机甲属性基础值18	机甲属性Id19	机甲属性基础值19	机甲属性Id20	机甲属性基础值20	机甲属性Id21	机甲属性基础值21	机甲属性Id22	机甲属性基础值22	机甲属性Id23	机甲属性基础值23	机甲属性Id24	机甲属性基础值24	机甲属性Id25	机甲属性基础值25	是否新手机甲
ID	Name	Nickname	Showname	Camp	EnableInMode	IconPath	ResourcePath	MechaType	Electric	Weight	MechaConfigID	AIMechaConfigID	AIRemark	ShowInGarage	pilotTemplateID	AimmingPointerType	IsOrigin	mechaSlot.Type	mechaSlot.ID	mechaSlot.IsEntryRandom	mechaSlot.IsSlotsNumRandom	mechaSlot.DefaultSlots	mechaSlot.Enable	mechaSlot.Type	mechaSlot.ID	mechaSlot.IsEntryRandom	mechaSlot.IsSlotsNumRandom	mechaSlot.DefaultSlots	mechaSlot.Enable	mechaSlot.Type	mechaSlot.ID	mechaSlot.IsEntryRandom	mechaSlot.IsSlotsNumRandom	mechaSlot.DefaultSlots	mechaSlot.Enable	mechaSlot.Type	mechaSlot.ID	mechaSlot.IsEntryRandom	mechaSlot.IsSlotsNumRandom	mechaSlot.DefaultSlots	mechaSlot.Enable	mechaSlot.Type	mechaSlot.ID	mechaSlot.IsEntryRandom	mechaSlot.IsSlotsNumRandom	mechaSlot.DefaultSlots	mechaSlot.Enable	mechaSlot.Type	mechaSlot.ID	mechaSlot.IsEntryRandom	mechaSlot.IsSlotsNumRandom	mechaSlot.DefaultSlots	mechaSlot.Enable	mechaSlot.Type	mechaSlot.ID	mechaSlot.IsEntryRandom	mechaSlot.IsSlotsNumRandom	mechaSlot.DefaultSlots	mechaSlot.Enable	mechaSlot.Type	mechaSlot.ID	mechaSlot.IsEntryRandom	mechaSlot.IsSlotsNumRandom	mechaSlot.DefaultSlots	mechaSlot.Enable	mechaSlot.Type	mechaSlot.ID	mechaSlot.IsEntryRandom	mechaSlot.IsSlotsNumRandom	mechaSlot.DefaultSlots	mechaSlot.Enable	mechaSlot.Type	mechaSlot.ID	mechaSlot.IsEntryRandom	mechaSlot.IsSlotsNumRandom	mechaSlot.DefaultSlots	mechaSlot.Enable	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	mechaProperty.Id	mechaProperty.BaseValues	IsNoviceMecha
10001	矛隼	Falcon	UBP-R02T	EU	3		M1	1	300	0	10001	10001	好哥哥	1	110000	0	1	1	100010101	0	0		1	2	100010201	0	0		1	3	100010301	0	0		1	4	100010401	0	0		1	5	100010501	0	0		1	6	100010601	0	0		1	7	100010701	0	0		1	8	100010801	0	0		1	9	100010901	0	0		1	10	100011001	0	0		1	1	2000,2000	2	2000,2000	3	2000,2000	4	6000,6000	5	2000,2000	6	6000,6000	7	6400,6400	8	2100,2100	9	3000,3000	10	5000,7000	11	5000,7000	12	4000,5500	13	5000,5700	14	4000,5800	15	5000,2000	16	8000,6000	17	7500,6000	18	7500,5500	19	4000,4000	20	8000,9000	21	8500,9000	22	8500,9000	23	6000,6500	24	5500,5500			1
10002	恩赫里亚	Einherjar	UBP-A04S	EU	3		M2	1	300	0	10002	10002	好哥哥	1	110000	0	1	1	100020101	0	0		1	2	100020201	0	0		1	3	100020301	0	0		1	4	100020401	0	0		1	5	100020501	0	0		1	6	100020601	0	0		1	7	100020701	0	0		1	8	100020801	0	0		1	9	100020901	0	0		1	10	100021001	0	0		1	1	5000	2	2000	3	4000	4	8000	5	6000	6	4000	7	4400	8	3100	9	3000	10	5000	11	5000	12	4000	13	5000	14	4000	15	5000	16	8000	17	6500	18	6500	19	5000	20	4000	21	4500	22	4500	23	5500	24	5500			0
10003	龙渊	Longyuan	XHI-XG30-1	AS	3		M3	3	300	0	10003	10003	好哥哥	1	110000	0	1	1	100030101	0	0		1	2	100030201	0	0		1	3	100030301	0	0		1	4	100030401	0	0		1	5	100030501	0	0		1	6	100030601	0	0		1	7	100030701	0	0		1	8	100030801	0	0		1	9	100030901	0	0		1	10	100031001	0	0		1	1	6000,3000	2	6000,2000	3	4000,4000	4	10000,2000	5	6000,4000	6	5000,5000	7	5400,5400	8	4100,1100	9	3000,3000	10	5000,5000	11	5000,5000	12	4000,4000	13	5000,5000	14	4000,4000	15	5000,5000	16	3000,6000	17	2500,6000	18	4500,6500	19	2000,4000	20	4000,7000	21	4500,7000	22	4500,7000	23	4500,6500	24	4500,6500			1
10004	三角龙	Triceratops	SLM-M324C	PT	3		M4	3	300	0	10004	10004	好哥哥	1	110000	0	1	1	100040101	0	0		1	2	100040201	0	0		1	3	100040301	0	0		1	4	100040401	0	0		1	5	100040501	0	0		1	6	100040601	0	0		1	7	100040701	0	0		1	8	100040801	0	0		1	9	100040901	0	0		1	10	100041001	0	0		1	1	8500	2	6000	3	10000	4	10000	5	8000	6	6000	7	4400	8	6100	9	5000	10	6000	11	6000	12	4000	13	5000	14	4000	15	5000	16	3000	17	3500	18	3500	19	3000	20	2000	21	2500	22	2500	23	2500	24	3500			1
10005	鸣神	Narukami	KMA-D201	PT	3		M5	1	300	0	10005	10005	好哥哥	1	110000	0	1	1	100050101	0	0		1	2		0	0		0	3	100050301	0	0		1	4	100050401	0	0		1	5	100050501	0	0		1	6	100050601	0	0		1	7	100050701	0	0		1	8	100050801	0	0		1	9	100050901	0	0		1	10	100051001	0	0		1	1	4000	2	2000	3	4000	4	4000	5	2000	6	6000	7	6400	8	4100	9	3000	10	7000	11	7000	12	6000	13	6000	14	6000	15	5000	16	5000	17	6500	18	6500	19	4000	20	7000	21	6500	22	7500	23	4500	24	5500			0
10007	卢米纳尔	Luminar	NGL-XR30		3		M7	2	300	0	10007	10007	好哥哥	1	110000	0	1	1	100070101			1,2,3	1	2	100070201			1,2,3	1	3	100070301			1,2,3	1	4	100070401			1,2,3	1	5	100070501			1,2,3	1	6	100070601				1	7	100070701				1	8	100070801				1	9	100070901				1	10	100071001				1	1	5000	2	2000	3	8000	4	6000	5	4000	6	4000	7	4400	8	3100	9	3000	10	5000	11	5000	12	4000	13	5000	14	4000	15	5000	16	8000	17	6500	18	6500	19	5000	20	4000	21	4500	22	4500	23	5500	24	5500			0
10009	德拉姆	DeLaMu	NGS-X332F	PT	3		M9	3	300	0	10009	10009	好哥哥	1	110000	0	1	1	100090101	0	0		1	2	100090201	0	0		1	3	100090301	0	0		1	4	100090403	0	0		1	5	100090501	0	0		1	6	100090601	0	0		1	7	100090701	0	0		1	8	100090801	0	0		1	9	100090901	0	0		1	10	100091001	0	0		1	1	8500	2	6000	3	10000	4	4000	5	6000	6	6000	7	4400	8	6100	9	5000	10	6000	11	6000	12	4000	13	5000	14	4000	15	5000	16	3000	17	3500	18	3500	19	3000	20	2000	21	2500	22	2500	23	2500	24	3500			0
