int	string	string	int	string	enum.ETarget	enum.ELimitMode	int	string	string
PKEY1			EConvert(稀有-1,普通-2)		个人-Player-1,阵营-Camp-2	总共-InAll-1,每人-PerPlayer-2,每阵营-PerCamp-3			
勋章ID	标题文本	副标题文本	稀有度	获取说明	发放对象	限制方式	限制数量	广播文本	模型
MedalID	Title	Subtitle	Rarity	Description	Target	LimitMode	LimitQuantity	BroadcastText	ViewModel
9001	超神	全场最靓的仔	1	在一条命中，达成8次击杀	1	2	1		HUD_MedalIcon_K8
9002	五杀	真是high到不行	1	达成五杀	1	2	1		md9002
9003	第一滴血	第一滴血	1	单局游戏，第一次击杀	1	1	1		HUD_MedalIcon_FirstB
9004	最后一击	最后一击	2	单局游戏，最后一次击杀	1	1	1		HUD_MedalIcon_LastB
9005	毁灭打击	秒杀	2	在2秒内击杀敌对玩家目标并造成其50%总耐久以上伤害	1	1	-1		md9005
9006	三杀	三元一只，十元三只	2	达成三杀	1	1	-1		HUD_MedalIcon_TripleK
9007	弑君者	弑君者	2	击杀当前击杀排名第一玩家	1	1	-1		md9007
9008	明日之星	为什么你会这么熟练啊	2	对全部敌方玩家造成过伤害	1	2	1		md9008
9009	战场主宰	你们这是自寻死路	1	对全部敌方玩家进行过1次击杀	1	2	1		HUD_MedalIcon_Whoelse
9010	杂技高手	你这瓜保熟吗	2	在8秒内通过3种以上不同的攻击方式击杀玩家	1	1	-1		md9010
9011	二刀流	大锤80小锤40	2	在8秒内通过近战击杀2名玩家	1	1	-1		md9011
9012	幸存者	再苟一回	2	在HP低于10%时击杀敌对玩家	1	1	-1		md9012
9013	生存大师	正面上我	1	在一条命中，承受总耐久500%以上的伤害尚未死亡	1	2	1		HUD_MedalIcon_Survival
9014	无能狂怒	无能狂怒	2	命中率低于5%	1	2	1		md9014
9015	2887	2887	2	自杀次数最多	1	2	1		md9015
9016	战场亡灵	已经没什么好怕的了	2	死亡次数最多	1	2	1		HUD_MedalIcon_Ghost
9017	群众演员	可以帮我打马赛克吗	2	死于NPC次数最多	1	2	1		md9017
9018	众矢之的	我的身体已经残破不堪了	2	单局游戏承受伤害最多（实际承受伤害）	1	2	1		md9018
