int	enum.ETargetType	enum.ETriggerType	int	string
PKEY1	Player-1,Team-2,Camp-3,Force-4,All-5	StandarKill-1,BattleReward-2,Gameplay-3		
Id	广播目标类型\n\n备注：\n1：特定玩家（事件的触发的对象）\n2：特定小队（事件触发对象所在小队）\n3：特定阵营（事件触发对象所在阵营）\n4：特定势力（事件触发对象所在势力）\n5：所有玩家	触发类型\n\n备注：\n1：标准击杀事件时触发\n2：关联战斗奖励对应事件\n3：玩法流程相关	触发类型对应的参数\n\n备注：\n1：标准击杀，忽略\n2：战斗奖励相关，填奖励Id\n3：玩法流程相关的，忽略	文本模板
Id	TargetType	TriggerType	TriggerParam	Template
11010	1	3	0	你占领了[据点A名]据点
11020	4	3	0	红方占领了[据点A名]据点
11030	4	3	0	蓝方占领了[据点A名]据点
11040	5	3	0	游戏开始
11050	5	3	0	游戏结束
11060	5	3	0	[据点A名]据点已开启
11070	5	3	0	[据点A名]据点已关闭
10010	1	1	1	你击杀了[玩家B][头像B]
10020	5	1	1	[头像A][玩家A]击杀了[玩家B][头像B]
10030	1	2	2	你协助击杀了[玩家B][头像B]
10040	5	2	3	[头像A][玩家A]达成终极技能击杀
10050	5	2	4	[头像A][玩家A]达成强袭装甲击杀
10060	5	2	5	[头像A][玩家A]达成战术道具击杀
10070	5	2	6	[头像A][玩家A]双杀
10080	1	2	6	双杀
10090	5	2	7	[头像A][玩家A]三杀
10100	1	2	7	三杀
10110	5	2	8	[头像A][玩家A]已经狂暴
10120	1	2	8	狂暴
10130	5	2	9	[头像A][玩家A]达成连杀Ⅰ
10140	5	2	10	[头像A][玩家A]达成连杀Ⅱ
10150	5	2	11	[头像A][玩家A]达成连杀Ⅱ
10160	5	2	12	[头像A][玩家A]已经超神了
10170	5	2	13	第一滴血
10180	1	2	20	你成为了战场亡灵
10190	5	2	23	[头像A][玩家A]成为了王牌机师
10200	5	2	24	[头像A][玩家A]成为了击坠王
10210	5	2	25	[头像A][玩家A]成为了MVP
10220	5	2	28	最后一击
10230	1	2	29	完成复仇
	1	2	30	成为救星
10250	1	2	31	技高一筹
10260	1	2	32	你瞅啥？
10270	1	2	33	你成为了生存大师
10280	1	2	34	还有谁？
10290	1	2	35	便当王
10300	5	2	36	[头像A][玩家A]成为了死神
