int	string	string	int	int[]	int[]	string	string	float	int	float	int	int	int	int	float	float	int	int	float	float	int	int	int	bool	int	int	bool	int	int	int	int	int	int	int	float	bool	float	float	float	int	int	int	int	int	int	bool	bool	bool	bool	int	int	int	Vector3	Rect[]	float	Vector3	float	int	int	float	string	int[]	float	float	float	float	float	float	float	Vector3[][]	bool	string	bool	MechaTagLevel[].int	MechaTagLevel[].int	string	bool	bool	string[]	int[]	enum.NpcType	bool	bool	float	bool	enum.TeammateLockShowMode	float	enum.EntranceType	float	float	Vector3	float	float	float	Vector3	int[]	float[]	bool	int	int	bool	bool	bool	enum.UnitInteractivityType
PKEY1																																																																																	无-None-0,场景道具-SceneItem-1,场景Boss-SceneBoss-2,场景精英-SceneElite-3,场景杂兵-SceneMisc-4,玩家无人机-PlayerUav-5,玩家浮雷-PlayerMine-6					不显示-None-0,仅对创建者显示-OnlyCreater-1,对所有队友显示-Every-2		原地-none-0,自由落体-uniformAcceleration-1,直线-rectilinear-2																一直能被识别-Enable-0,不能被识别-Disable-1,可以被锁定时才能被识别-EnableWhenLocked-2
nID	模型配置路径	描述	该NPC配置文件ID	组件类型列表	组件模板列表	名字	英文名字	眼睛高度	最大生命值	濒临死亡最大生命值百分比	最大基础护盾值	最大黄盾	能量保底值	能量阈值，不允许该值小于能量保底值	当能量熔断时，能量恢复倍率	结束能量熔断结束后，多少秒恢复能量回复	能量护盾保底值	能量护盾阈值，不允许该值小于能量保底值	当能量护盾熔断时，能量护盾恢复倍率	结束能量护盾熔断结束后，多少秒恢复能量护盾回复	护盾值恢复间隔帧	每秒恢复多少能量护盾	每秒恢复多少黄盾	是否每次开启时黄盾为最大值	最大基础能量值	每秒恢复多少能量值	是否恢复能量	能量值恢复间隔帧	最大大招基础能量	每秒恢复多少大招能量值	大招能量值恢复间隔帧	死亡时扣除大招能量百分比	死亡时最少扣除多少大招能量	重量	多久没受伤害进入未受伤状态	是否忽略战斗状态	进入战斗状态前摇时间	脱战时长，多久进入脱战状态	加多少移动速度	锁定相关/锁定距离修正保护范围Min	锁定相关/锁定距离修正保护范围Max	锁定相关/锁定范围修正保护范围Min	锁定相关/锁定范围修正保护范围Max	锁定相关/锁定时间修正保护范围Min	锁定相关/锁定时间修正保护范围Max	锁定相关,不优先锁定	锁定相关,不能被锁定	锁定相关,不能被敌方识别	锁定相关,不能被友方识别	特殊雷达范围，一级雷达范围	特殊雷达范围，二级雷达范围	特殊雷达范围，三级雷达范围	受击中心点	物理弹道命中范围	物理弹道闪避时散布半径	物理弹道闪避时散布中心偏移	物理弹道闪避时着地机甲抬高	机甲强度	基础闪避概率	闪避触发间隔(秒)																Prefab Server	关闭物理模拟	关闭客户端加载	额外物理配置，下标从1开始	组件模板资源Id列表	NPC类型	Hud显示方向	Hud显示方向检测遮挡	多少秒未受到伤害，能量护盾开始回复	是否使用新行为树	队友识别框显示模式	入场时间	入场模式	刹车距离	刹车时间	出生偏移	刹车瞬间减速百分比	反冲距离	反冲时间	反冲瞬间速度	NPC入场buff	NPC入场buff维持时长	是否有锁定逻辑	战斗数据统计类型	每秒恢复多少生命值	是否免疫昏乱	是否免疫瘫痪	是否免疫引擎失效	是否能被交互组件识别
nID	viewTemplate	desc	configID	componentTypeList	componentTemplateIDList	customName	nickName	eyeHeight	maxHealth	dyingPercentPercentage	maxShield	maxYellowShield	energyGuaranteed	energyThreshold	energyRegenSpeedMulWhenFusing	energyRegenResumeTimeAfterFusing	energyShieldGuaranteed	energyShieldThreshold	shieldRegenSpeedMulWhenFusing	energyShieldRegenResumeTimeAfterFusing	shieldRegenTick	energyShieldRegen	yellowShieldRegen	fullYellowShieldWhenActive	maxEnergy	energyRegen	isRegenEnergy	energyRegenTick	maxUltimateEnergy	ultimateEnergyRegen	ultimateEnergyRegenTick	ultimateEnergyReduceWhenDead	minultimateEnergyReduceWhenDead	weight	noDamageTime	isIgnoreCombatState	enterCombatActionTime	outOfCombatDuration	moveSpeed	minLockDistanceFixRange	maxLockDistanceFixRange	minLockAreaFixRange	maxLockAreaFixRange	minLockTimeFixRange	maxLockTimeFirxRange	lowLockedPriority	unLockable	unIdentify	unIdentifyByFriend	Level1RadarRange	Level2RadarRange	Level3RadarRange	centerPoint	hitAreas	missRadius	missOffset	missOffsetForGrounded	antiPenetration	missRate	missInterval	AIBehaviacTree	AIUseNavMesh	AIApproachThrehold	AIViewAngle	AIViewRange	AILockRangeA	AILockRangeB	AIMaxAttackDistance	AISearchRange	AIUAVOffsetList	AIisAddTeamAgent	AITeamAgent	AIisUavNeedArrange	mechaTagLevels.Tag	mechaTagLevels.Level	prefabServer	closePhysicsSimulate	closeClientPhysicsLoad	externPhysicsConfig	componentDefinitionIdList	npcType	showDirection	showDirectionCheckBlock	energyRegenResumeTimeAfterAcceptDamage	npcUseNewTree	teammateLockShowMode	entranceTime	entranceType	brakeDistance	brakeTime	bornOffset	instantaneousBrakingPercent	recoilDistance	recoilTime	recoilStageVelocity	entranceBuffCofigs	entranceBuffTimes	enableLock	battleStatisticsMask	healthRegen	immuneConfused	immunePalsy	immuneEngineStop	interactivity
31	Mecha/NPC/EnergyCube_BigModel_DoublePush.model.asset	6v6推车_蓝方		10,25,12	26,7,1	推车		8	50000	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/Push6v6/NPC_EnergyCube_Push6v6	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_Truck_Server_01.prefab				159,82,156,191	1			0	False	1																		0
34	Mecha/NPC/NT1/NTView.model.asset	场景通用：转管机关炮		10,24	2,2	转管机关炮		8	5000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1		0	0	0	0	0	0					0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/NT/NT1_V1	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NT/NPC_NT1.prefab				135		1	1	0	False	1																		0
35	Mecha/NPC/NT1/NTView.model.asset	新手关：阉割版炮台		24,10	2,2	转管机关炮		8	10000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1		0	0	0	0	0	0					0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NT/NPC_NT1.prefab				135	4			0	False	1																		0
36	Mecha/NPC/NT1/NTView.model.asset	新手关：正常炮台		24,10	2,2	转管机关炮		8	10000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1		0	0	0	0	0	0					0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/TeachingLevel/NT_Teaching	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NT/NPC_NT1.prefab				135	4			0	False	1																		0
37	Mecha/NPC/NR2/NR2A_Body_1_SkinView.model.asset	新手关：勇士		10	29	勇士		8	7000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/TeachingLevel/NR2B_Teaching	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NR2B/NPC_NR2B.prefab				610180206	4	1	1	0	False	1																		0
38	Mecha/NPC/EnergyCube_BigModel_DoublePush.model.asset	6v6推车_红方		10,25,12	26,7,1	推车		8	50000	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/Push6v6/NPC_EnergyCube_Push6v6	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_Truck_Server_01.prefab				161,82,156,192	1			0	False	1																		0
39	Mecha/NPC/SM_Crystal_Add_1/SM_Crystal_Add_1_VariantView.model.asset	新手关：EIC矿晶				EIC矿晶		8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1		0	0	0	0	0	0	0	0			0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Crystal/Crystal	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/SM_Crystal_Add_1/SM_Crystal_Add_1.prefab					4			0	False	1																		0
