int	string	string	string
PKEY1			
ID	名称	描述	词条描述模板
ID	Name	Desc	descTemplate
2	atMaxLife	最大生命值	机体结构强度增加{0}
3	atMaxShield	最大能量护盾值	护盾强度增加{0}
4	atMaxExtraShield	最大额外护盾值	护盾强度增加{0}
5	atMaxEnergy	最大能量值	能量最大值增加{0}
6	atMaxUltimateEnergy	最大集气能量值	
7	atDamageResistantAmmo	抗性/实弹伤害抗性(0~100)	
8	atDamageResistantLight	抗性/能量伤害抗性(0~100)	
9	atDamageResistantBlast	抗性/爆破伤害抗性(0~100)	
10	atDamageResistantMelee	抗性/物理伤害抗性(0~100)	
11	atAttackLevel	硬直等级	
12	atEnergyShieldRegen	能量护盾恢复速度	能量护盾恢复速度{0}
13	atCounterRecover	计数器恢复速度(次每分钟)	
14	atMoveSpeed	水平移动速度	移动速度增加{0}
15	atVecMoveSpeed	竖直移动速度	
16	atDamage	输出方伤害	伤害增加{0}
17	atDamageReduction	被击方伤害减免	
18	atUltimateEnergyRecover	UltimateEnergy恢复速度	
19	atSkillCountRecover	技能使用次数的恢复速度	
20	atEnergyRecover	能量值恢复速度	能量回复增加{0}
21	atEnergyThreshold	能量阈值，不允许该值小于能量保底值	
22	atEnergyToShiledRatio	护盾转化比	
23	atEnergyGuaranteed	能量保底值	
24	atEnergyShieldRegenSpeedMulWhenFusing	能量护盾熔断时，能量护盾恢复倍率	
25	atOutOfTracingRate	脱离导弹锁定的概率(0~100)	
26	atRigidTimeReduction	减少硬直时间百分比(0~100)	
28	atPalsyTimeReduction	减少瘫痪时间百分比(0~100)	
29	atMaxIndentifyRangeChange	最大探知范围	
30	atIndentifyRangeChange	侦察识别范围	
31	atStandardSingleRadiusChange	标准信号范围	
32	atAbsoluteSingalRadiusChange	绝对信号范围	
34	atEnergyRegenSpeedMulWhenFusing	能量熔断时，能量恢复倍率	
35	atEnergyShieldGuaranteed	能量护盾保底值	
36	atEnergyShieldThreshold	能量护盾阈值，不允许该值小于能量护盾保底值	
37	atYellowShieldRegen	黄盾恢复速度	
38	atDamageResistantThermal	抗性/热能伤害抗性	
39	atDamageResistantNoneAttribute	抗性/无属性伤害抗性	
40	atDefenseAmmo	防御/实弹防御值	
41	atDefenseLight	防御/能量防御值	
42	atDefenseBlast	防御/爆破防御值	
43	atDefenseMelee	防御/物理防御值	
44	atDefenseThermal	防御/热能防御值	
45	atDefenseNoneAttribute	防御/无属性防御值	
46	atDefenseRatioAmmo	防御/实弹防御率	
47	atDefenseRatioLight	防御/能量防御率	
48	atDefenseRatioBlast	防御/爆破防御率	
49	atDefenseRatioMelee	防御/物理防御率	
50	atDefenseRatioThermal	防御/热能防御率	
51	atDefenseRatioNoneAttribute	防御/无属性防御率	
52	atLockDistanceFix	锁定距离修正百分比	
53	atLockAreaFix	锁定范围修正百分比	
54	atLockTimeFix	锁定时间修正百分比	
55	atYellowShieldAmmoAbsorb	黄盾/防御/实弹伤害吸收率	
56	atYellowShieldLightAbsort	黄盾/防御/能量伤害吸收率	
57	atYellowShieldBlastAbsort	黄盾/防御/爆破伤害吸收率	
58	atYellowShieldMeleeAbsort	黄盾/防御/物理伤害吸收率	
59	atYellowShieldThermalAbsort	黄盾/防御/热能伤害吸收率	
60	atYellowShieldNoneAttributeAbsort	黄盾/防御/无属性伤害吸收率	
61	atGravityAcceleration	重力加速度	
63	atMaxYellowShield	最大黄盾值	
64	atLogicalCameraRotateSpeed	逻辑镜头转速	
65	atVirtualCameraRotateSpeed	表现镜头转速	
66	atMechaWeight	重量	
67	atMechaBalance	平衡性(0~100)	
68	atEnergyExpend	耗能行为系数	
69	atIdentifyNum	最大识别数	
70	atSteathLevel	隐身等级	
71	atLockTargetBlockedDelay	锁定目标遮挡脱锁延时(百分比)	
72	atLockTargetOutOfAreaUnlockDelay	锁定目标超出距离脱锁延时(百分比)	
73	atLockTargetOutOfDistanceDelay	锁定目标超出准星范围脱锁延时(百分比)	
74	atLockTargetSwitchTargetDelay	锁定目标切换目标延时(百分比)	
76	atDisableJitterExRate	集弹率(0~10000)	
77	atRadarInductionRadiusChange	雷达感应范围	
78	atMissRate	子弹/闪避率(0~10000)	
82	atCantBePredictedRate	子弹/无法被预瞄的概率(0~10000)	
83	atBulletHitRate	子弹/物理弹道命中率(0~100)	
1001	atFlagSteath	是否隐身	
1002	atFlagIgnoreMove	是否忽略移动	
1005	atFlagImmobilizeAbilityMove	是否禁止移动技能	
1009	atFlagImmuneRigid	是否免疫硬直	
1010	atFlagSilence	是否被沉默	
1012	atFlagImmuneRepelled	冲击力/是否免疫击退	
1014	atFlagIgnoreOutofCombat	是否忽略脱战	
1015	atFlagForcedRecoverShield	是否直接回复护盾	
1016	atFlagInvulnerable	是否无敌	
1017	atFlagUnDead	是否不死	
1018	atFlagUnableLockTarget	是否被禁用了技能锁定	
1019	atFlagUltimateEnergyIgnore	是否忽略大招充能	
1020	atFlagNoCD	是否没有cd	
1021	atFlagCancelAutoRecoverShiled	是否取消护盾自动恢复	
1022	atFlagLocalHitRigid	是否本地受击硬直	
1023	atFlagPalsy	是否瘫痪	
1024	atFlagRegenEnergy	是否恢复能量	
1025	atFlagDisableEnergyShield	是否禁用能量盾	
1026	atFlagTaunt	是否嘲讽	
1027	atFlagEmp	是否电磁干扰	
1028	atFlagUnLockable	是否无法被锁定	
1029	atNonRotatable	是否不可转向	
1030	atNoMissExplosion	子弹/强制闪避时无空爆	
1032	atFlagImmuneMark	是否免疫扫描	
1033	atFlagHideInEnemyMap	是否在敌方地图中隐藏	
1034	atFlagImmuneLeanRigid	冲击力/是否免疫后仰	
1035	atFlagImmuneFalldown	冲击力/是否免疫击倒	
1036	atFlagUnIdentify	是否无法被识别	
1037	atViewNonRotatable	是否表现不可转向	
1501	atMIRBattleBehaviorA	最大识别范围-行为A	
1502	atMIRBattleBehaviorB	最大识别范围-行为B	
1503	atMIRBattleBehaviorC	最大识别范围-行为C	
1504	atMIRBattleBehaviorD	最大识别范围-行为D	
1505	atMIRBattleBehaviorE	最大识别范围-行为E	
1506	atMIRBattleBehaviorF	最大识别范围-行为F	
1507	atMIRBattleBehaviorG	最大识别范围-行为G	
1508	atMIRBattleBehaviorH	最大识别范围-行为H	
1509	atMIRBattleBehaviorI	最大识别范围-行为R	
1510	atMIRBattleBehaviorT	最大识别范围-行为J	
2001	atMIREnvironmentEffectA	最大识别范围-环境效果A	
2002	atMIREnvironmentEffectB	最大识别范围-环境效果B	
2003	atMIREnvironmentEffectC	最大识别范围-环境效果C	
2004	atMIREnvironmentEffectD	最大识别范围-环境效果D	
2005	atMIREnvironmentEffectE	最大识别范围-环境效果E	
2501	atIRBattleBehaviorA	侦察范围-行为A	
2502	atIRBattleBehaviorB	侦察范围-行为B	
2503	atIRBattleBehaviorC	侦察范围-行为C	
2504	atIRBattleBehaviorD	侦察范围-行为D	
2505	atIRBattleBehaviorE	侦察范围-行为E	
2506	atIRBattleBehaviorF	侦察范围-行为F	
2507	atIRBattleBehaviorG	侦察范围-行为G	
2508	atIRBattleBehaviorH	侦察范围-行为H	
2509	atIRBattleBehaviorI	侦察范围-行为R	
2510	atIRBattleBehaviorT	侦察范围-行为J	
3001	atIREnvironmentEffectA	侦察范围环境-效果A	
3002	atIREnvironmentEffectB	侦察范围环境-效果B	
3003	atIREnvironmentEffectC	侦察范围环境-效果C	
3004	atIREnvironmentEffectD	侦察范围环境-效果D	
3005	atIREnvironmentEffectE	侦察范围环境-效果E	
3501	atSSRBattleBehaviorA	标准信号范围-行为A	
3502	atSSRBattleBehaviorB	标准信号范围-行为B	
3503	atSSRBattleBehaviorC	标准信号范围-行为C	
3504	atSSRBattleBehaviorD	标准信号范围-行为D	
3505	atSSRBattleBehaviorE	标准信号范围-行为E	
3506	atSSRBattleBehaviorF	标准信号范围-行为F	
3507	atSSRBattleBehaviorG	标准信号范围-行为G	
3508	atSSRBattleBehaviorH	标准信号范围-行为H	
3509	atSSRBattleBehaviorI	标准信号范围-行为R	
3510	atSSRBattleBehaviorT	标准信号范围-行为J	
4001	atSSREnvironmentEffectA	标准信号范围-环境效果A	
4002	atSSREnvironmentEffectB	标准信号范围-环境效果B	
4003	atSSREnvironmentEffectC	标准信号范围-环境效果C	
4004	atSSREnvironmentEffectD	标准信号范围-环境效果D	
4005	atSSREnvironmentEffectE	标准信号范围-环境效果E	
4501	atASRBattleBehaviorA	绝对信号范围-行为A	
4502	atASRBattleBehaviorB	绝对信号范围-行为B	
4503	atASRBattleBehaviorC	绝对信号范围-行为C	
4504	atASRBattleBehaviorD	绝对信号范围-行为D	
4505	atASRBattleBehaviorE	绝对信号范围-行为E	
4506	atASRBattleBehaviorF	绝对信号范围-行为F	
4507	atASRBattleBehaviorG	绝对信号范围-行为G	
4508	atASRBattleBehaviorH	绝对信号范围-行为H	
4509	atASRBattleBehaviorI	绝对信号范围-行为R	
4510	atASRBattleBehaviorT	绝对信号范围-行为J	
5001	atASREnvironmentEffectA	绝对信号范围-环境效果A	
5002	atASREnvironmentEffectB	绝对信号范围-环境效果B	
5003	atASREnvironmentEffectC	绝对信号范围-环境效果C	
5004	atASREnvironmentEffectD	绝对信号范围-环境效果D	
5005	atASREnvironmentEffectE	绝对信号范围-环境效果E	
5501	atRIRBattleBehaviorA	雷达感应范围-行为A	
5502	atRIRBattleBehaviorB	雷达感应范围-行为B	
5503	atRIRBattleBehaviorC	雷达感应范围-行为C	
