int	int	int	int[]	enum.EntryNumType	string	string	enum.EntryType[]	int	float	bool	int[]	float	float[]	int[]	float	float	int	int	int	int	int	int	bool	int[]	string[]	float[][]	float[]	int[]	float[]	int[]	float[]	int[]	float[]	int[]	float[]	int[]
PKEY1				增减数值-AddValue-1,百分比数值-Percentage-2,设置数值-SetValue-3			武器伤害类-Damage-1,射程类-Range-2,锁定类-Lock-3,弹夹类-Clip-4,其他类-Other-5																													
序号	属性	技能作用类型	作用技能	数值类型	属性名称	描述	词条类型	随机权值	数值b	数值是否随机	数值c的范围	数值x	数值集合-a	数值集合权重	数值上限m	数值下限n	武装属性ID	武装属性下限	武装属性上限	机甲属性id	机甲属性下限	机甲属性上限	是否模板列表索引	模板列表	武装属性评分等级	武装属性评分上下限	SS数值集合-a	SS数值集合权重	S数值集合-a	S数值集合权重	A数值集合-a	A数值集合权重	B数值集合-a	B数值集合权重	C数值集合-a	C数值集合权重
ID	Prop	effectType	skillIDs	numType	Name	Desc	EntryTypes	RandomWeight	BValue	ValueRandom	CValueRange	XValue	AValues	AValueWeights	MValue	NValue	equipPropertyId	equipPropertyMin	equipPropertyMax	mechaPropertyId	mechaPropertyMin	mechaPropertyMax	isIndex	valueList	equipPropertyGradeLevel	equipPropertyGradeLimit	SSAvalues	SSAValueWeights	SAvalues	SAValueWeights	AAvalues	AAValueWeights	BAvalues	BAValueWeights	CAvalues	CAValueWeights
2	16	1		2	大世界强化芯片攻击加成1	伤害增加{0}		10	10																											
3	16	1		2	大世界强化芯片攻击加成2	伤害增加{0}		10	20																											
4	16	1		2	大世界强化芯片攻击加成3	伤害增加{0}		10	30																											
5	2	1		2	大世界强化芯片生命加成1	机体结构强度增加{0}			10																											
6	2	1		2	大世界强化芯片生命加成2	机体结构强度增加{0}			20																											
7	2	1		2	大世界强化芯片生命加成3	机体结构强度增加{0}			30																											
8	14	1		2	大世界强化芯片移速加成1	移动速度增加{0}			5																											
9	14	1		2	大世界强化芯片移速加成2	移动速度增加{0}			10																											
10	14	1		2	大世界强化芯片移速加成3	移动速度增加{0}			15																											
11	5	1		2	大世界强化芯片能量加成1	能量最大值增加{0}			10																											
12	5	1		2	大世界强化芯片能量加成2	能量最大值增加{0}			20																											
13	5	1		2	大世界强化芯片能量加成3	能量最大值增加{0}			30																											
14	3	1		2	大世界强化芯片护盾加成1	护盾强度增加{0}			10																											
15	3	1		2	大世界强化芯片护盾加成2	护盾强度增加{0}			20																											
16	3	1		2	大世界强化芯片护盾加成3	护盾强度增加{0}			30																											
17	20	1		2	大世界强化芯片回能加成1	能量回复增加{0}			5																											
18	20	1		2	大世界强化芯片回能加成2	能量回复增加{0}			10																											
19	20	1		2	大世界强化芯片回能加成3	能量回复增加{0}			15																											
20	27	1			加弹夹上限				5																											
21	26	1			充能上限				2																											
22	10027	2	14410101		对单个技能弹夹上限				25																											
23	16	1		2	大世界强化芯片攻击加成4	伤害增加{0}			45																											
24	16	1		2	大世界强化芯片攻击加成5	伤害增加{0}			60																											
25	2	1		2	大世界强化芯片生命加成4	机体结构强度增加{0}			45																											
26	2	1		2	大世界强化芯片生命加成5	机体结构强度增加{0}			60																											
27	14	1		2	大世界强化芯片移速加成4	移动速度增加{0}			22																											
28	14	1		2	大世界强化芯片移速加成5	移动速度增加{0}			30																											
29	5	1		2	大世界强化芯片能量加成4	能量最大值增加{0}			45																											
30	5	1		2	大世界强化芯片能量加成5	能量最大值增加{0}			60																											
31	3	1		2	大世界强化芯片护盾加成4	护盾强度增加{0}			45																											
32	3	1		2	大世界强化芯片护盾加成5	护盾强度增加{0}			60																											
33	20	1		2	大世界强化芯片回能加成4	能量回复增加{0}			22																											
34	20	1		2	大世界强化芯片回能加成5	能量回复增加{0}			30																											
45		1			新建																															
10001	2	1		1	驾驶员生命固定值		4,5		100000																											
10002	3	1		1	驾驶员护盾固定值				100																											
10003	12	1		1	驾驶员护盾回复				20																											
