int	enum.ECombinationType	int	int[]	LangText	enum.EQuestType	LangText	string	int[]	int[]	enum.EEndQuestDemandType	int[]	int[]	int[]	int	int[]	enum.EAcceptType	enum.ECompleteType	enum.ETimeLimitType	string	int[]	int	int	int	bool
PKEY1	无-None-0,与或关系-AndOr-1,多选关系-Multile-2,父子关系-FatAndSon-3,异步父子关系-AsynchFatAndSon-4				每日任务-Daily-0,每周任务-Weekly-1,主线任务-Main-2,支线任务-Branch-3,其他任务-Other-4,新手关卡任务-Teach-5,成就任务-Achievement-6,BP周任务-BpWeekTask-7,局内任务-InSide-8					无-EQDT_Null-0,击杀NPC-EQDT_KillNpc-1,击杀玩家-EQDT_KillPlayer-2,创建房间-EQDT_CreateRoom-3,多局累计造成伤害-EQDT_Damage-4,获取MVP-EQDT_GetMVP-5,获取胜利-EQDT_Win-6,单局伤害-EQDT_odd_Damage-7,单局击杀-EQDT_odd_Kill-8,单局KD比-EQDT_odd_KD-9,多局累计击杀+助攻-EQDT_KillAndAssist-10,多局累计运矿分数-EQDT_Ore-11,多局累计拦截分数-EQDT_Intercept-12,多局累计MVP和SVP-EQDT_GetVP-13,单局累计击杀+助攻-EQDT_odd_KillAndAssist-14,单局达成连杀次数-EQDT_odd_KillStreak-15,单局运矿分数-EQDT_odd_Ore-16,单局拦截分数-EQDT_odd_Intercept-17,未知-EQDT_odd_Count-18,累计拥有机甲-EQDT_Mecha_Count-19,舰长等级升级-EQDT_Captain_Upgrade-20,驾驶员等级升级-EQDT_Pilot_Upgrade-21,获取的武装总数量-EQDT_ArmsParts_count-22,累计组队获取胜利-EQDT_TeamMatching_Win-23,累计参与匹配次数-EQDT_Matching_Num-24,累计新获取机甲-EQDT_NEW_Mecha_Count-25,完成一血-EQDT_odd_FirstBlood-26,单局少于多少血量完成击杀条件-EQDT_odd_LessThanHP_KillPlayer-27,单局击坠之前累积承受伤害超过最大生命值-EQDT_odd_Damage_MoreThan_Healthy-28,单局击杀同一敌对玩家达到一定次数-EQDT_odd_Kill_SamePlayer-29,单局总伤害最高并且技能伤害最高，命中率达成条件-EQDT_odd_HighestDamageAndSkill-30,获得不在ID列表的驾驶员数量-EQDT_Pilot_Count-32,赛季BP等级-EQDT_Bp_level-33,赛季段位等级-EQDT_Rank_level-34,单局触发盾反次数-EQDT_Shiled_Counter_Count-35,单局触发拼刀次数-EQDT_Knife_Pooling_Count-36,击杀距离自身范围外的敌人次数-EQDT_odd_Long_Kill-37,单局助攻次数-EQDT_odd_Assist-38,单局累计击杀敌方鸣神无人机次数-EQDT_odd_Kill_Drone-39,技能击杀多名敌对玩家次数-EQDT_odd_Skill_Killl-40,累计达成团灭对方次数-EQDT_odd_Ace_Count-43,单局占领次数-EQDT_odd_Occupy-46,单局拆除次数-EQDT_odd_Dismantle-47,单局推进+干扰分数-EQDT_odd_Boost_And_Disturb-48,单局达成将敌方目标全部进行过1次击杀次数-EQDT_odd_Kill_All-56,进入加时赛阶段-EQDT_Overtime_Game-57,对方阵营获得分数小于等于x分数-EQDT_odd_EnemyScore_BelowScore-58,敌方成功占领据点个数小于等于x数-EQDT_odd_EnemyOccupy_BelowScore-59,单局敌方阵营拆除次数小于等于x数-EQDT_odd_EnemyDismantle_BelowScore-60,单局敌方阵营进度小于等于x百分比-EQDT_odd_EnemyProgress_BelowScore-61,单局游戏中完成数次solo敌对目标次数-EQDT_odd_Solo_Count-62,自身拿到全部人头-EQDT_odd_Get_All_KillNum-63,达成最后击杀导致获得胜利-EQDT_odd_Get_LastKill-64,加时赛自身拿到2个击杀赢得比赛达到次数-EQDT_odd_Overtime_And_Get_DoubleKill-65,小于等于X秒内结束比赛-EQDT_odd_Game_Less_SomeTime-66,对局未死亡-EQDT_odd_NoDeath-67,曾落后大于等于x分数-EQDT_odd_FallBehind-68,对局分数全程领先-EQDT_odd_ScoreLead-69,连续大于等于场数获得MVP完成次数-EQDT_odd_Continuous_MVP-70,获得等于次数连胜完成次数-EQDT_odd_Continuous_Win-71,连续等于场数获得战斗勋章完成次数-EQDT_odd_Continuous_GradeUp-72,完整密钥上传达到次数-EQDT_odd_Full_OreCount-73,自身与队友同时在上传密钥达到次数-EQDT_odd_MeanWhile_Ore-74,双方得分差未大于等于x分数-EQDT_odd_ScoreDifferenceLess-75,团队连续拾取大于等于个数矿且均成功开启上传，完成次数-EQDT_odd_Continuous_GetOre_And_UpSucceed-76,场内所有据点均被已方占领，完成次数-EQDT_odd_Capture_AllPos-77,己方阵营总的据点开启次数小于x次数-EQDT_odd_Pos_LessSomeTime-78,任意据点全程在已方占领下-EQDT_odd_AlwaysCapture_OnePos-79,成功拆除特殊炸弹-EQDT_odd_Defusing_special_Bombs-80,秒数内连续拆除个数炸弹，达到次数-EQDT_odd_SomeTime_Defusing_Bombs-81,单场比赛抢下全部三个据点-EQDT_odd_GetAllPos-82,飞行姿态未结束之前击杀大于等于指定名敌对玩家，完成次数-EQDT_odd_OnceFlyght_And_KillPlayer-83,单局累计扫描状态下击杀迷彩状态的敌对目标大于等于指定次数，完成次数-EQDT_odd_Scan_And_Kill_InvisiblePlayer-84,单局有效治疗效果累计达到指定值完成次数-EQDT_odd_Cure-85,狙击模式下连续大于等于枪均命中敌对玩家目标，完成次数-EQDT_odd_Continuous_HitPlayer-86,单局爆甲状态被击坠前累计击杀大于指定名敌对目标，完成次数-EQDT_odd_ArmorBurst_BeforeDeath_KillPlayer-87,购买指定赛季的会员达到次数-EQDT_Get_SeasonAdvance_Count-88,获得X及以上级别勋章-EQDT_odd_Get_GradeUp-89,拆除最后特殊炸弹并终结比赛-EQDT_Defusing_Special_BombsAnd_FinishGame-90,指定ID型任务-EQDT_Specific_ID-91,倒计时型任务-EQDT_Count_Down-92						客户端接取-None-0,服务器检测，自动接取-AutoAccept-1	手动提交，手动领取-None-0,手动提交，自动领奖-AutoAward-1,自动提交，自动领奖-AutoComplete -2	剩余时间戳（s）-TimeStamp-0,截至日期-Date-1						
任务ID		父任务ID	子任务组（判断是否父任务）	任务名		任务标题描述	任务详情描述1	前置任务组（|分割）	后续任务组（|分割）	任务完成模式（0:无，2:击杀玩家机甲，3.创建房间）	任务参数1	任务参数2	任务参数3	任务参数4	任务参数5			限定时间类型	限定时间	奖励ID（用,分割）	继承自任务ID	成就ID	任务评分	是否关联模式表
ID	CombinationType	FatherQuestID	ChildQuestIDs	QuestName	QuestType	QuestTitleDesc	QuestConditionDesc1	PreQuestIDs	FollowQuestIDs	EndQuestDemandType	EndQuestDemandParam1	EndQuestDemandParam2	EndQuestDemandParam3	EndQuestDemandParam4	EndQuestDemandParam5	AcceptType	CompleteType	TimeLimitType	LimitTime	Rewards	InheritQuest	AchievementId	PriorityScore	IsPasatternList
1			2,3,4	主线任务3-完成子任务后达成	2	父任务-对应子任务2 3 4	完成3个子任务	6	7	0	0	0	0	3	0		0		0	6				
2		1		子任务1-击杀敌人	4	子任务1-击杀任意机甲2次	击杀任意机甲2次			2	0	0	0	2	0		1		0	7				
3		1		子任务2-击杀敌人	4	子任务2-击杀任意机甲2次	击杀任意机甲2次			2	0	0	0	2	0		1		0	7				
4		1		子任务3-击杀敌人	4	子任务3-击杀任意机甲2次	击杀任意机甲2次			2	0	0	0	2	0		1		0	7				
5				主线任务1-击杀敌人	2	击杀任意敌人	击杀任意敌人 1次		6	2	0	0	0	1	0	1	0			6				
6				主线任务2-击杀敌人	2	击杀任意敌人	击杀任意敌人 1次	5	1	2	0	0	0	1	0	0	0			6				
7	0			主线任务4-击杀敌人	2	击杀任意敌人	击杀任意敌人 1次	1		2	0	0	0	1	0	0	0			6				
20		23		瞄准教学	5	转动镜头环顾四周环境	转动镜头环顾四周环境				0	0	0	1	0	1	2			-1				
21		23		WASD教学	5	操作机甲移动通过障碍区					0	0	0	1	0	0	2			-1				
22		23		shift教学	5	操作机甲通过长隧道区域					0	0	0	1	0	0	2			-1				
23			20,21,22,35,36,47,55,352,353,354,493	M4三角龙教学	5	前往标记点位，完成突围				0	0	0	0	11	0	0	1			-1				
31	0			与或条件2	2	击杀任意敌人	击杀任意敌人 1次			2	0	0	0	1	0	0	0			6				
32	1			主线任务-与或任务	2	与或任务	与或任务测试			0	33,31	34	0	1	0	0	0			6				
33	0			与或条件1	2	击杀任意敌人	击杀任意敌人 1次			2	0	0	0	1	0	0	0			6				
34	0			与或条件3	2	击杀任意敌人	击杀任意敌人 1次			2	0	0	0	1	0	0	0			6				
35		23		space教学	5	操作机甲飞上断崖					0	0	0	1	0	0	2			-1				
36		23		基础战斗教学	5	使用转管炮消灭3座炮台					0	0	0	3	0	0	2			-1				
37	0			单场击杀和助攻	2	单场击杀和助攻	单场击杀和助攻超过3次			14	0	0	3	1	0	0	0			1001				
38	0			累计击杀和助攻	2	累计击杀和助攻	多局累计击杀和助攻超过3次			10	0	0	0	5	0	0	0			-1				
39	0			单局达成连杀	2	单局达成连杀	单局达成三连杀一次（连杀中途不死亡）			15	0	0	3	1	0	0	0			-1				
40				密斯之眼运矿	2	密斯之眼运矿	完成一次密斯之眼运矿得分达到20分			16	0	0	20	1	0	0	0			-1				
41				密斯之眼累计运矿	2	密斯之眼累计运矿	完成在密斯之眼累计运矿分数达到50分			11	0	0	0	50	0	0	0			-1				
42				密斯之眼单场拦截	2	密斯之眼单场拦截	完成一次密斯之眼单场拦截2次			17	0	0	2	1	0	0	0			-1				
43				密斯之眼累计拦截	2	密斯之眼累计拦截	密斯之眼累计拦截分数达到4次			12	0	0	0	4	0	0	0			-1				
44				累计达成全场最佳或败场最佳	2	累计达成全场最佳或败场最佳	累计达成全场最佳或败场最佳达到2次			13	0	0	0	2	0	0	0			-1				
45				累计击杀和助攻（继承-父）	3	累计击杀和助攻（继承-父）	累计击杀或助攻两个敌人		46	10	0	0	0	2	0	0	0			-1				
46				累计击杀和助攻（继承-子）	3	累计击杀和助攻（继承-子） (46)	累计击杀或助攻四个敌人			10	0	0	0	4	0	0	0			-1	45			
47		23		进阶战斗教学	5	使用导弹消灭侦察敌人					0	0	0	3	0	0	2			-1				
48	0			单局击坠或被击坠比	2	单局击坠或被击坠比	完成一次单局击坠或被击坠比超过2			9	0	0	2	1	0	0	0			-1				
49	0			单局击杀数量	2	单局击杀	完成一次单局击杀数量超过5			8	0	0	5	1	0	0	0			-1				
50	0			单局造成伤害	2	单局造成伤害	完成一次单局造成伤害超过10w			7	0	0	100000	1	0	0	0			-1				
51	0			多局累计击杀	2	多局累计击杀	多局累计击杀达到10			2	0	0	0	10	0	0	0			-1				
52	0			多局累计造成伤害	2	多局累计造成伤害	多局累计造成伤害达到50w			4	0	0	0	500000	0	0	0			-1				
53	0			多局累计获得全场最佳	2	多局累计获得全场最佳	多局累计获得全场最佳达到3次			5	0	0	0	3	0	0	0			-1				
54	0			多局累计获得胜利	2	多局累计获得胜利	多局累计获得胜利2次			6	0	0	0	2	0	0	0			-1				
55		23		锁定敌人教学	5	锁定前方炮台					0	0	0	1	0	0	2			-1				
121				使用矛隼累计击坠或助攻	7	矛隼累计击坠或助攻				10	10001	0	0	5	0	0	2			37			10	
122				使用矛隼获得任意玩法胜利	7	矛隼获得任意玩法胜利				6	10001	0	0	1	0	0	2			37			10	
123				使用矛隼在任意玩法中获得全场最佳	7	矛隼在任意玩法中获得全场最佳				5	10001	0	0	1	0	0	2			37			10	
124				使用恩赫里亚累计击坠或助攻	7	恩赫里亚累计击坠或助攻				10	10002	0	0	5	0	0	2			37			10	
125				使用恩赫里亚获得任意玩法胜利	7	恩赫里亚获得任意玩法胜利				6	10002	0	0	1	0	0	2			37			10	
126				使用恩赫里亚在任意玩法中获得全场最佳	7	恩赫里亚在任意玩法中获得全场最佳				5	10002	0	0	1	0	0	2			37			10	
127				使用龙渊累计击坠或助攻	7	龙渊累计击坠或助攻				10	10003	0	0	5	0	0	2			37			10	
128				使用龙渊获得任意玩法胜利	7	龙渊获得任意玩法胜利				6	10003	0	0	1	0	0	2			37			10	
129				使用龙渊在任意玩法中获得全场最佳	7	龙渊在任意玩法中获得全场最佳				5	10003	0	0	1	0	0	2			37			10	
130				使用三角龙累计击坠或助攻	7	三角龙累计击坠或助攻				10	10004	0	0	5	0	0	2			37			10	
131				使用三角龙获得任意玩法胜利	7	三角龙获得任意玩法胜利				6	10004	0	0	1	0	0	2			37			10	
132				使用三角龙在任意玩法中获得全场最佳	7	三角龙在任意玩法中获得全场最佳				5	10004	0	0	1	0	0	2			37			10	
133				使用鸣神累计击坠或助攻	7	鸣神累计击坠或助攻				10	10005	0	0	5	0	0	2			37			10	
134				使用鸣神获得任意玩法胜利	7	鸣神获得任意玩法胜利				6	10005	0	0	1	0	0	2			37			10	
135				使用鸣神在任意玩法中获得全场最佳	7	鸣神在任意玩法中获得全场最佳				5	10005	0	0	1	0	0	2			37			10	
136				使用赤霄累计击坠或助攻	7	赤霄累计击坠或助攻				10	10012	0	0	5	0	0	2			37			10	
137				使用赤霄获得任意玩法胜利	7	赤霄获得任意玩法胜利				6	10012	0	0	1	0	0	2			37			10	
138				使用赤霄在任意玩法中获得全场最佳	7	赤霄在任意玩法中获得全场最佳				5	10012	0	0	1	0	0	2			37			10	
139				使用矛隼累计击坠或助攻	7	矛隼累计击坠或助攻				10	10001	0	0	10	0	0	2			37			5	
140				使用矛隼获得任意玩法胜利	7	矛隼获得任意玩法胜利				6	10001	0	0	5	0	0	2			37			5	
141				使用矛隼在任意玩法中获得全场最佳	7	矛隼在任意玩法中获得全场最佳				5	10001	0	0	3	0	0	2			37			5	
142				使用恩赫里亚累计击坠或助攻	7	恩赫里亚累计击坠或助攻				10	10002	0	0	10	0	0	2			37			5	
143				使用恩赫里亚获得任意玩法胜利	7	恩赫里亚获得任意玩法胜利				6	10002	0	0	5	0	0	2			37			5	
144				使用恩赫里亚在任意玩法中获得全场最佳	7	恩赫里亚在任意玩法中获得全场最佳				5	10002	0	0	3	0	0	2			37			5	
145				使用龙渊累计击坠或助攻	7	龙渊累计击坠或助攻				10	10003	0	0	10	0	0	2			37			5	
146				使用龙渊获得任意玩法胜利	7	龙渊获得任意玩法胜利				6	10003	0	0	5	0	0	2			37			5	
147				使用龙渊在任意玩法中获得全场最佳	7	龙渊在任意玩法中获得全场最佳				5	10003	0	0	3	0	0	2			37			5	
148				使用三角龙累计击坠或助攻	7	三角龙累计击坠或助攻				10	10004	0	0	10	0	0	2			37			5	
149				使用三角龙获得任意玩法胜利	7	三角龙获得任意玩法胜利				6	10004	0	0	5	0	0	2			37			5	
150				使用三角龙在任意玩法中获得全场最佳	7	三角龙在任意玩法中获得全场最佳				5	10004	0	0	3	0	0	2			37			5	
151				使用鸣神累计击坠或助攻	7	鸣神累计击坠或助攻				10	10005	0	0	10	0	0	2			37			5	
152				使用鸣神获得任意玩法胜利	7	鸣神获得任意玩法胜利				6	10005	0	0	5	0	0	2			37			5	
