string	string	int
PLIST		1
外文音译A	外文音译B	类别
NameA	NameB	Class
阿巴顿	土豆	1
阿柏怪	斩仙	1
阿柏蛇	麦克	1
阿勃梭鲁	雀	1
阿尔达	卡比	1
阿尔宙斯	海豹	1
阿珈希翁	瓦塔西	1
阿勒特	曼巴	1
阿里亚德涅	先生	1
阿利多斯	卷发	1
阿难陀	公爵	1
阿努比斯	奇迹	1
阿特罗波斯	誓约	1
阿提斯	眼泪	1
阿修罗王	幽灵	1
哎呀球菇	混音	1
埃里格	罗宾	1
艾路雷朵	凤凰X	1
艾姆利多	阴影	1
爱管侍	大块头	1
爱丽丝	小花	1
爱心鱼	小白	1
安德拉斯	魔剑	1
安瓢虫	小豌豆	1
安兹	鲍勃	1
鞍马天狗	蓝龙	1
傲骨燕	天龙	1
奥伯隆	狮子	1
奥丁	毛绒熊	1
奥里哈刚	激光	1
八岐大蛇	海伦	1
八爪武师	杰瑞	1
八咫乌	樱桃	1
巴大蝶	托尼	1
巴尔	杰西	1
巴风特	布鲁斯	1
巴古斯	南希	1
巴隆	所罗门	1
扒手猫	丹尼尔	1
芭瓢虫	海曼	1
霸王花	阿曼达	1
白海狮	威利	1
白虎	杰克	1
白蓬蓬	米歇尔	1
白骑士	迈拉	1
百臂巨人	帕克	1
百变怪	韦恩	1
百合根娃娃	大姐	1
百足蜈蚣	高达	1
败露球菇	爱干饭	1
拜亚基	baby	1
班基拉斯	rock	1
斑斑馬	berry	1
搬运小匠	basher	1
宝包茧	chief	1
宝宝暴龙	dog	1
宝贝龙	groovy	1
宝石海星	fish	1
保母曼波	rogue	1
保姆虫	bull	1
暴飞龙		1
暴鲤龙		1
暴噬龟		1
暴雪王		1
爆肌蚊		1
爆香猴		1
爆香猿		1
爆焰龜獸		1
爆音怪		1
爆炸头水牛		1
贝尔菲戈		1
贝利亚		1
背负怪		1
比比鸟		1
比克提尼		1
比列		1
毕力吉翁		1
毕舍遮		1
变涩蜥		1
变隐龙		1
别西卜		1
冰宝		1
冰鬼护		1
冰砌鹅		1
冰雪巨龍		1
冰雪龙		1
冰伊布		1
波波		1
波爾凱尼恩		1
波皇子		1
波加曼		1
波克基斯		1
波士可多拉		1
不良蛙		1
布里卡隆		1
布莉姆温		1
步哨鼠		1
怖思壶		1
彩粉蝶		1
苍白骑士		1
苍响		1
藏饱栗鼠		1
藏玛然特		1
藏王权现		1
草苗龟		1
叉字蝠		1
差不多娃娃		1
蟾蜍王		1
颤弦蝾螈		1
長尾火狐		1
超壞星		1
超甲狂犀		1
超梦		1
超能妙喵		1
超音波幼虫		1
超音蝠		1
朝北鼻		1
炒炒猪		1
车轮球		1
蚩尤		1
持国天		1
齿轮儿		1
齿轮怪		1
齿轮组		1
赤面龙		1
