int	int	int	int	int	int	int	int	int	int[]	int[][]
PKEY1										
匹配分	直接进入AI池所需净负场	前N场直接进入新手池	AI池候补时长	等待进入AI池时长	从单人池进入多人池等待时长	从多人池进入单人池等待时长	从老手池进入新手池等待时长	等待进入AI池AI强度	净负进入AI池敌我AI强度	等待时长与匹配分浮动区间
MatchRating	PureLoseToMatchAI	GameNumsToMatchNoob	AIPoolStandbyTime	WaitTimeToMatchAI	WaitTimeFromSingleToTeam	WaitTimeFromTeamToSingle	WaitTimeFromMaterToNoob	AILevelFromWait	AILevelFromLose	MatchRatingFloatInterval
2875	-1	-1	78	48	60	60	-1	19	17,19	60,25|180,50|300,100|600,150|900,200|1800,250
2750	8	-1	78	48	60	60	-1	19	17,19	60,25|180,50|300,100|600,150|900,200|1800,250
2625	6	-1	78	48	60	60	-1	18	16,18	60,25|180,50|300,100|600,150|900,200|1800,250
2500	6	-1	78	48	60	60	-1	17	15,17	60,25|180,50|300,100|600,150|900,200|1800,250
2375	6	-1	78	48	60	60	-1	16	14,16	60,25|180,50|300,100|600,150|900,200|1800,250
2250	6	-1	66	36	60	60	-1	15	14,16	60,25|180,50|300,100|600,150|900,200|1800,250
2125	6	-1	66	36	60	60	-1	14	14,16	60,25|180,50|300,100|600,150|900,200|1800,250
2000	6	-1	66	36	60	60	-1	13	13,15	60,25|180,50|300,100|600,150|900,200|1800,250
1875	6	-1	66	36	60	60	-1	12	12,14	60,25|180,50|300,100|600,150|900,200|1800,250
1750	6	-1	66	36	60	60	-1	11	11,13	60,25|180,50|300,100|600,150|900,200|1800,250
1625	6	-1	54	24	60	60	-1	7	10,12	60,25|180,50|300,100|600,150|900,200|1800,250
1575	6	-1	54	24	60	60	-1	7	9,11	60,25|180,50|300,100|600,150|900,200|1800,250
1525	6	-1	54	24	60	60	-1	6	8,10	60,25|180,50|300,100|600,150|900,200|1800,250
1475	6	-1	54	24	60	60	120	6	7,9	60,25|180,50|300,100|600,150|900,200|1800,250
1425	6	-1	54	24	60	60	120	5	6,8	60,25|180,50|300,100|600,150|900,200|1800,250
1375	6	-1	54	24	60	60	120	5	6,8	60,25|180,50|300,100|600,150|900,200|1800,250
1325	6	-1	54	24	60	60	120	5	6,8	60,25|180,50|300,100|600,150|900,200|1800,250
1275	6	5	54	24	60	60	120	4	6,8	60,25|180,50|300,100|600,150|900,200|1800,250
1225	6	5	54	24	60	60	120	4	6,8	60,25|180,50|300,100|600,150|900,200|1800,250
1175	6	5	54	24	60	60	120	4	5,7	60,25|180,50|300,100|600,150|900,200|1800,250
1150	6	5	54	24	60	60	120	4	5,7	60,25|180,50|300,100|600,150|900,200|1800,250
1125	6	5	54	24	60	60	120	3	5,7	60,25|180,50|300,100|600,150|900,200|1800,250
1100	6	5	54	24	60	60	120	3	4,6	60,25|180,50|300,100|600,150|900,200|1800,250
1075	6	10	54	24	60	60	120	3	4,6	60,25|180,50|300,100|600,150|900,200|1800,250
1050	6	10	54	24	60	60	120	2	3,5	60,25|180,50|300,100|600,150|900,200|1800,250
1025	4	10	54	24	60	60	120	2	3,5	60,25|180,50|300,100|600,150|900,200|1800,250
1000	4	10	54	24	60	60	120	1	1,2	60,25|180,50|300,100|600,150|900,200|1800,250
