int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int[]	float[]	float[]	float[]	int	bool	bool	int[][]	int[]	int[]
PKEY1																										
各段位唯一标识	大段位	小段位	当前段位最大星数	段位预设分	最低段位分	最高段位分	胜利获得星数	失败扣除星数	连胜额外获得星数	赛季重置段位	最低可组队段位	最高可组队段位	胜利MMR计算系数K	失败MMR计算系数K	平局MMR计算系数K	连胜MMR计算系数K	评分等级	胜利评价系数	失败评价系数	平局评价系数	不常用机甲失败MMR计算系数K	是否初始段位	是否允许掉段	低活跃掉段	胜利机甲能力分	失败机甲能力分
ID	FirstRank	SecondRank	Stars	PresetMMR	LowestMMR	HighestMMR	IncStarNumWhenWin	DecStarNumWhenLose	IncStarNumWhenContinueWin	SeasonResetRank	TeamLowestRank	TeamHighestRank	WinCalculateCoefficient	LoseCalculateCoefficient	DrawCalculateCoefficient	StraightWinCalculateCoefficient	Evaluate	WinEvaluateCoefficient	LoseEvaluateCoefficient	DrawEvaluateCoefficient	UnnormalMechaLoseCalculateConficience	IsOriginRank	EnableRankFall	InactiveRankDemote	WinMechaOutCome	LoseMechaOutCome
1	0	0	-1	2875	-1	-1	1	1	0	6	11	1	50	50	50	50	0,1,2,3,4	1,1,1,1,1	1,1,1,1,1	1,1,1,1,1	50	False	False	20,2,200|10,1,100	50,20,10,0,0	10,0,-10,-20,-30
2	1	1	5	2750	2475	3025	1	1	0	7	12	1	50	50	50	50	0,1,2,3,4	1,1,1,1,1	1,1,1,1,1	1,1,1,1,1	50	False	True	20,2,200|10,1,100	40,20,10,0,0	10,0,-10,-20,-30
3	1	2	5	2625	2363	2888	1	1	0	8	13	1	50	50	50	50	0,1,2,3,4	1,1,1,1,1	1,1,1,1,1	1,1,1,1,1	50	False	True	20,2,200|10,1,100	40,20,10,0,0	10,0,-10,-20,-30
4	1	3	5	2500	2250	2750	1	1	0	9	14	1	50	50	50	50	0,1,2,3,4	1,1,1,1,1	1,1,1,1,1	1,1,1,1,1	50	False	True	20,2,200|10,1,100	40,20,10,0,0	10,0,-10,-20,-30
5	1	4	5	2375	2138	2613	1	1	0	10	15	1	50	50	50	50	0,1,2,3,4	1,1,1,1,1	1,1,1,1,1	1,1,1,1,1	50	False	True	20,2,200|10,1,100	40,20,10,0,0	10,0,-10,-20,-30
6	1	5	5	2250	2025	2475	1	1	0	11	16	1	50	50	50	50	0,1,2,3,4	1,1,1,1,1	1,1,1,1,1	1,1,1,1,1	50	False	False	20,2,200|10,1,100	40,20,10,0,0	10,0,-10,-20,-30
7	2	1	5	2125	1913	2338	1	1	1	12	17	1	50	50	50	100	0,1,2,3,4	1.2,1.2,1,1,1	0.9,1,1,1,1	1,1,1,1,1	50	False	True		40,20,10,0,0	10,0,-10,-20,-30
8	2	2	5	2000	1800	2200	1	1	1	12	18	1	50	50	50	100	0,1,2,3,4	1.2,1.2,1,1,1	0.9,1,1,1,1	1,1,1,1,1	50	False	True		40,20,10,0,0	10,0,-10,-20,-30
9	2	3	5	1875	1688	2063	1	1	1	14	19	1	50	50	50	100	0,1,2,3,4	1.2,1.2,1,1,1	0.9,1,1,1,1	1,1,1,1,1	50	False	True		40,20,10,0,0	10,0,-10,-20,-30
10	2	4	5	1750	1575	1925	1	1	1	14	20	1	50	50	50	100	0,1,2,3,4	1.2,1.2,1,1,1	0.9,1,1,1,1	1,1,1,1,1	50	False	True		40,20,10,0,0	10,0,-10,-20,-30
11	2	5	5	1625	1463	1788	1	1	1	16	21	1	50	50	50	100	0,1,2,3,4	1.2,1.2,1,1,1	0.9,1,1,1,1	1,1,1,1,1	50	False	False		40,20,10,0,0	10,0,-10,-20,-30
12	3	1	4	1575	1300	1733	2	1	1	17	22	2	50	25	50	75	0,1,2,3,4	1.2,1.2,1,1,1	0.9,1,1,1,1	1,1,1,1,1	50	False	True		30,15,10,0,0	10,0,-10,-20,-30
13	3	2	4	1525	1300	1678	2	1	1	17	23	3	50	25	50	75	0,1,2,3,4	1.2,1.2,1,1,1	0.9,1,1,1,1	1,1,1,1,1	50	False	True		30,15,10,0,0	10,0,-10,-20,-30
14	3	3	4	1475	1300	1623	2	1	1	17	24	4	50	25	50	75	0,1,2,3,4	1.2,1.2,1,1,1	0.9,1,1,1,1	1,1,1,1,1	50	False	True		30,15,10,0,0	10,0,-10,-20,-30
15	3	4	4	1425	1300	1568	2	1	1	19	25	5	50	25	50	75	0,1,2,3,4	1.2,1.2,1,1,1	0.9,1,1,1,1	1,1,1,1,1	50	False	True		30,15,10,0,0	10,0,-10,-20,-30
16	3	5	4	1375	1300	1513	2	1	1	19	26	6	50	25	50	75	0,1,2,3,4	1.2,1.2,1,1,1	0.9,1,1,1,1	1,1,1,1,1	50	False	False		30,15,10,0,0	10,0,-10,-20,-30
17	4	1	4	1325	1100	1458	2	0	1	21	26	7	50	25	50	75	0,1,2,3,4	1.2,1.2,1,1,1	0.8,0.9,1,1,1	1,1,1,1,1	50	False	True		30,15,10,0,0	10,0,-10,-20,-30
