int	enum.RewardRandomType	enum.RewardAwardType	int	int[]	int[][]	int	int[][]
PKEY1	Unknown-0,Fixed-1,Random-2	Unknown-0,Direct-1,Mail-2					
奖励ID	产出方式（1：固定产出；2：随机产出）	奖励发放类型（1：直接发送；2：邮箱发送）	奖励数量\n\n【随机产出】：从随机内容中随机出指定数量个数的奖励，不重复，必填\n【固定产出】：默认为全部，当配置数量限制时，则需要玩家选择其中X项	随机权值\n\n道具概率=道具权重/所有权值值之和\n-1则为100%掉落随机权值\n（【随机产出】方式时有效）	奖励内容\n\n奖励内容为组合方式，包括配置道具/数值（如BP经验）ID和对应的数量	是否生效	货币奖励
Id	RandomType	AwardType	AwardCount	Weights	Content	Enable	IconReward
1	1	1	2		1001,1|100001,100	1	
2	2	1	2	-1,20,30,40,50,60	1001,1|1002,2|1001,3|1001,4|1001,5|1001,6	1	
3	1	1	2		1001,2	1	
4	1	1	2		1003,1	1	104,100
5	1	1	2		1004,1	1	104,500
6	1	1	1		1005,5	1	
7	2	1	1	10,10,10,10	1005,1|1005,2|1005,3|1005,4	1	
8	1	1	1		1006,1	1	
9	1	1	1		1006,2	1	
10	1	1	1		1006,3	1	
11	1	1	1		1006,4	1	
12	1	1	1		1006,5	1	
13	1	1	1		1006,6	1	
14	1	1	1		1006,7	1	
15	1	1	1		1006,8	1	
16	1	1	1		1006,9	1	
17	1	1	1		1006,10	1	
18	1	1	1		1007,1	1	
19	1	1	1		1007,8	1	
20	1	1	1		1007,3	1	
21	1	1	1		1007,4	1	
22	1	1	1		1007,5	1	
23	1	1	1		1007,6	1	
24	1	1	1		1007,7	1	
25	1	1	1		1007,8	1	
26	1	1	1		1007,9	1	
