string	string	int	enum.EEnableInMode	string	string	string	string	int	int	enum.ESceneAOIType	int
PKEY1			None-0,Editor-1,DevBuild-2,RelBuild-3							None-0,Grid-1	
关键字	名称	场景类型: 0 非战斗场景  1 战斗场景	运行生效方式	场景路径	灯光场景路径	逻辑场景路径	逻辑场景名	玩法主线	对象池容量基数倍率	AOI场景管理类型	AOI参数
Key	Name	SceneType	EnableInMode	Path	LightScenePath	LogicSceneDir	LogicSceneName	gameMissionType	ObjectPoolRate	SceneAOIType	AOIParam
main		1	2	Assets/Maps/WhiteBoxScenes/main.unity		Assets/Maps/LogicScenes	main_Logic	1	1		200
GKCS	虚拟对战3V3	1	3	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/Scene_Pvpdemo_4.unity	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/Scene_Virtual_Lighting.unity	Assets/Maps/LogicScenes	Scene_Pvpdemo_4_Logic	5	4		0
TrainingDemo	虚拟训练	1	3	Assets/Maps/WhiteBoxScenes/TrainingMap/TrainingMap_Demo.unity	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/Scene_Virtual_Lighting.unity	Assets/Maps/LogicScenes	TrainingMap_Demo_Logic	1	1		0
Artkailuo	密斯之眼争夺战(旧)	1	3	Assets/Maps/WhiteBoxScenes/Scene_Canyon_3.unity		Assets/Maps/LogicScenes	Area9_Logic	2	1		0
canyon	艾特纳烟谷(破碎专用)	1	2	Assets/Maps/WhiteBoxScenes/Scene_Canyon_1.unity		Assets/Maps/LogicScenes	Scene_Canyon_1_Logic	1	1		0
GarageTest	格纳库场景	0	3	Assets/Art/Maps/Map_Factory/Scene_Factory_1_Ex.unity	Assets/Art/Maps/Map_Factory/Scene_Factory_1_Lighting.unity			1	1		0
Zone3_island	海岛-测试白盒	1	1	Assets/Maps/WhiteBoxScenes/Zone3_island.unity		Assets/Maps/LogicScenes	Zone3_island_Logic	1	1		0
Test3V3	沙漠3V3-测试白盒1	1	1	Assets/Maps/WhiteBoxScenes/arena/Area3V3Demo.unity		Assets/Maps/LogicScenes	Area3V3Demo_Logic	1	1		0
3v3_test	沙漠3V3-测试白盒2	1	1	Assets/ArtTemp/Maps/3v3_test/3v3_test.unity		Assets/ArtTemp/Maps/3v3_test/	3v3_test_logic	1	1		0
IceBorne	冰原-测试白盒	1	1	Assets/ArtTemp/Maps/IceBorne/IceBorne.unity		Assets/ArtTemp/Maps/IceBorne/Logic_Scene	IceBorne_Logic	1	1		0
GrandCanyonDemo	埃尔文塔试验场	1	2	Assets/Maps/WhiteBoxScenes/arena/GrandCanyonDemo.unity		Assets/Maps/LogicScenes	GrandCanyonDemo_Logic	1	1		0
IceBorne_New	冰原_New-测试白盒	1	1	Assets/ArtTemp/Maps/IceBorne/IceBorne_New.unity		Assets/ArtTemp/Maps/IceBorne/Logic_Scene	IceBorne_New_Logic	1	1		0
GKCS_DG	虚拟对战3V3_灯光测试	1	1	Assets/Art/Maps/Map_Pvpdemo/Scene_Pvpdemo_5.unity		Assets/Maps/LogicScenes	Scene_Pvpdemo_5_Logic	1	1		0
XDXtest	虚拟对战1V1	1	1	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/XDXtest.unity		Assets/Maps/LogicScenes	XDXtest_Logic	1	1		0
LYJ1V1	测试1V1	1	1	Assets/ArtTemp/Maps/Test_LYJ/1V1.unity		Assets/ArtTemp/Maps/Test_LYJ	1V1_Logic	1	1		0
TestYu	战斗区测试	1	1	Assets/ArtTemp/Maps/TestYu/TestYu.unity		Assets/ArtTemp/Maps/TestYu	TestYu_Logic	1	1		0
PVPTest_New	基础战斗-验证白盒	1	1	Assets/Maps/WhiteBoxScenes/PVPTest_New.unity		Assets/Maps/LogicScenes	PVPTest_New_Logic	1	1		0
YGMtest	YGM白盒	1	1	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/YGMtest.unity	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/Scene_Virtual_Lighting.unity	Assets/Maps/LogicScenes	YGMtest_Logic	1	1		0
TajMahalTest	YGM白盒2	1	1	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/YGMtest2.unity		Assets/Maps/LogicScenes	YGMtest2_Logic	1	1		0
IceField	冰原能量	1	1	Assets/ArtTemp/Maps/IceField/Map_IceField.unity		Assets/Maps/LogicScenes	Map_IceField_Logic	1	1		0
Sortie	出击场景	0	3	Assets/Art/Maps/Map_Factory/Scene_Factory_3.unity	Assets/Art/Maps/Map_Factory/Scene_Factory_3_Lighting_1.unity			1	1		0
Loading	加载场景	0	3	Assets/Art/Maps/Map_Factory/Scene_Factory_4.unity	Assets/Art/Maps/Map_Factory/Scene_Factory_4_Lighting_1.unity			1	1		0
PS_Test	破碎性能测试地图	1	1	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/Scene_Pvpdemo_6.unity		Assets/Maps/LogicScenes	Scene_Pvpdemo_6_Logic	1	1		0
Test_3V3	破坏测试3V3	1	1	Assets/Art/Maps/Map_Pvp3v3_Cyber/Map_Pvp3v3_Cyber_All_2_Ex.unity		Assets/ArtTemp/Maps/Test_3V3	Test_3V3_Logic	1	1		0
Cyber3V3	3V3虚拟白盒实装地图	1	2	Assets/Art/Maps/Map_Pvp3v3_Cyber/Map_Pvp3v3_Cyber_All_2_Ex.unity		Assets/Maps/LogicScenes	Scene_Pvp3v3_Cyber_1_Logic	1	1		0
GKCS_2	3V3地形设计	1	2	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/Scene_Pvpdemo_7.unity	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/Scene_Virtual_Lighting.unity	Assets/Maps/LogicScenes	Scene_Pvpdemo_7_Logic	1	4		0
GKCS_HotSpot	3V3占点测试	1	2	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/Scene_Pvpdemo_4_HotSpot.unity	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/Scene_Virtual_Lighting.unity	Assets/Maps/LogicScenes	Scene_Pvpdemo_4_Logic_Hotspot	1	4		0
GKCS_HotSpot_2	3V3空投宝石测试	1	2	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/Scene_Pvpdemo_AirdropItem.unity	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/Scene_Virtual_Lighting.unity	Assets/Maps/LogicScenes	Scene_Pvpdemo_4_Logic_AirdropItem	1	4		0
GKCS_Mine	3V3宝石测试	1	2	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/Scene_Pvpdemo_7.unity	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/Scene_Virtual_Lighting.unity	Assets/Maps/LogicScenes	Scene_Pvpdemo_4_Logic_Mine	3	4		0
GKCS_30er	30人虚拟对战3V3	1	2	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/Scene_Pvpdemo_4_30er.unity	Assets/Maps/WhiteBoxScenes/arena/PvPDemo/Scene_Virtual_Lighting.unity	Assets/Maps/LogicScenes	Scene_Pvpdemo_4_Logic_30er	1	4		0
Artkailuo_30er	30人密斯之眼争夺战	1	2	Assets/Art/Maps/Map_Cairo/Scene_Cairo_1_Fix.unity		Assets/Maps/LogicScenes	Area9_Logic_30er	2	1		0
