int	int	int	float	float	float	float[]	float	int	int	bool	bool	float[]	float
PKEY1													
序号	玩法ID	结算货币	时间奖励系数	胜利分数	失败分数	评分分数	首胜分数	SVP分数	MVP分数	是否计入系统可获取上限	是否计入周上限	失败评分分数	投降分数
ID	GamePlayID	CurrencyID	TimeAdd	WinScore	LoseScore	EvaluationScore	FirstWinScore	svpScore	mvpScore	recordSystem	recordWeek	losingEvaluationScore	SurrenderScore
1	120	101	10	100	50	50,40,30,20,10	100	50	100	1	1	25,20,15,10,5	10
2	3	101	10	100	50	50,40,30,20,10	100	50	100	1	1	25,20,15,10,5	10
3	10	101	10	100	50	50,40,30,20,10	100	50	100	1	1	25,20,15,10,5	10
4	11	101	10	100	50	50,40,30,20,10	100	50	100	1	1	25,20,15,10,5	10
5	13	101	10	100	50	50,40,30,20,10	100	50	100	1	1	25,20,15,10,5	10
6	1116	101	10	100	50	50,40,30,20,10	100	50	100	1	1	25,20,15,10,5	10
7	15	101	10	100	50	50,40,30,20,10	100	50	100	1	1	25,20,15,10,5	10
23	728	104	0	100	50	0,0,0,0,0	100	50	100	1	1	0,0,0,0,0	10
24	728	103	0	100	50	0,0,0,0,0	100	50	100	1	1	0,0,0,0,0	10
