int	int	uint	bool	uint	string[]	string[]	int[]	uint	string
PKEY1									
ID	机甲ID	技能ID	是否显示在界面上	使用该技能数据替换自身数据	数据类型的名字	数据公式(数据枚举参照BattleStatisticsDef.cs)	数据显示类型(0-百分比,1-数值,2-时间)	同槽位技能子组	技能使用次数公式
vKey	mechaID	skillID	isShowInView	dataReplaceSkillID	dataDisplayName	dataFormula	dataDisplayType	dataSkillGroup	skillCountFormula
1	10001	10110101	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
2	10001	10120701	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
3	10001	10120706	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
4	10001	10120101	1		识别隐形数	SearchCount	1	0	
5	10001	10180201	1		形态总时长,形态输出比	MechaChangedDuration,MechaChangedDamage/Damage	2,0	0	
6	10001	10120801	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
7	10001	10110103	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
8	10001	10130201	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
9	10001	10120904	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
10	10001	10120901	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
11	10012	11210501	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
12	10012	11210401	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
13	10012	18220101	1		承伤值,承伤比	MechaSeparateShieldCost,MechaSeparateShieldCost/(Damaged+MechaSeparateShieldCost)	1,0	0	
14	10012	18230101	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
15	10012	18210101	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
16	10012	11210402	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
17	10012	11210403	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
18	10012	19980205	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
19	10012	19980201	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
20	10012	19980101	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
21	10012	19980206	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
22	10012	11210901	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
23	10012	11220901	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
24	10012	11220902	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
25	10012	11250901	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
26	10004	14410101	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
27	10004	10420111	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
28	10004	14410104	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
29	10004	14420201	1		承伤值,承伤比	MechaSeparateShieldCost,MechaSeparateShieldCost/(Damaged+MechaSeparateShieldCost)	1,0	0	
30	10004	10420221	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
31	10004	10420501	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
32	10004	10420505	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
33	10004	14480101	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
34	10004	14480201	1		形态输出比,形态承伤比	MechaChangedDamage/Damage,MechaChangedHurt/Damaged	0,0	0	
35	10004	14420102	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
36	10005	10510101	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
37	10005	10580101	1	10580103	命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
38	10005	10520101	1		迷彩时长,无人机承伤	MechaChangedDuration,UavHurt	2,1	0	
39	10005	10580307	1		悬挂时长,形态输出比	HookMoveDuration,HookMoveDamage/Damage	2,0	0	
40	10005	10580201	1		脱离锁定,迷彩时长	MechaChangedUnLockCount,MechaChangedDuration	1,2	0	
41	10005	10540101	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
42	10005	10580103	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
43	10005	10510201	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
44	10005	112	1	114	命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
45	10005	114	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
46	10002	10210101	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
47	10002	10210107	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
48	10002	10210108	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
49	10002	10280201	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
50	10002	10280202	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
51	10002	10280101	1		脱离锁定,躲避导弹	MechaChangedUnLockCount,MechaChangedMissileMiss	1,1	0	
52	10002	10220101	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
53	10002	10280401	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
54	10002	10280103	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
55	10002	10240901	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
56	10002	68	1		脱离锁定,迷彩时长	MechaChangedUnLockCount,MechaChangedDuration	1,2	0	
57	10003	10310101	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
58	10003	10320101	1		承伤值,承伤比	MechaSeparateShieldCost,MechaSeparateShieldCost/(Damaged+MechaSeparateShieldCost)	1,0	0	TempTypeID
59	10003	10340101	1		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	0	
60	10003	10380101	1		承伤值,承伤比	UavHurt,UavHurt/(Damaged+UavHurt)	1,0	0	
61	10003	10350101	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	3	
62	10003	10350102	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	3	
63	10003	10350103	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	3	
64	10003	10350104	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0	3	
65	10003	1014	0		命中率,伤害比	SingleSkillHitBulletCount/SingleSkillSpawnBulletCount,SingleSkillDamage/Damage	0,0		SingleSkillUseCount-TempTypeID
