uint	uint	int	int	int	int	int	bool	uint[]	int[]	uint[]	int[]	int	int	uint[]	int[]	uint[]	int[]	string	int	int	int	string	string	string	int	int
PKEY1	PKEY2																									
商品Id	商店ID	道具ID	槽位	随机权重	数量	限购次数	限制限购次数刷新	消耗货币	消耗货币数量	消耗物品Id	消耗物品数量	上架活动Id	折扣活动id	货币Id(折扣)	消耗货币数量(折扣)	消耗物品Id(折扣)	消耗物品数量(折扣)	折扣描述	商品排序优先级	商品图标级别(布局大小)	页面跳转	道具描述	预制路径	特效路径	商品图片ID	商品背景图ID
CommodityId	ShopId	ItemID	ShopCellId	Weight	Count	PurchaseCount	LimitResetPurchaseCount	CostCurrencyId	CostCurrencyCount	CostItemId	CostItemCount	ShelvesActivityId	DisCountActivityId	DisCountCostCurrencyId	DisCountCostCurrencyCount	DisCountCostItemId	DisCountCostItemCount	DisCountDescription	SortPriority	LayoutLength	JumpPageIndex	Describe	PrefabPath	EffectPath	ShopItemImageID	ShopBackgroundImageID
1	3	-1	0	1	1			102	1680			0	-1						1	4	1	获得补给合约			60002	
2	3	700005	0	1	1	1	1	102	500			0	4	102	400			活动折扣	3	2		矛隼整备套装			60004	60003
4	3	700001	0	1	1	10	0	102	200			0	-1						5	1		驾驶员礼包			60006	60005
5	3	700004	0	1	1			102	1000			0	-1						6	1		卡池抽奖礼包			60008	60007
6	3	700003	0	1	1	10	0	102	800			0	3	102	600			新手折扣	7	1		配件研发礼包			60006	60005
7	3	900001	0	1	1	1	1	102	2000			0	-1						8	1		赤霄测试研发核心			60008	60007
8	3	700002	0	1	1	10	0	102	1000			0	-1						9	2		武装研发礼包			60010	60009
9	3	200001	0	1	1	10	1	102	100			0	-1						10	1		强化枪管1型			60008	60007
10	3	200002	0	1	1	10	1	102	100			0	-1						11	1		强化枪管2型			60006	60005
13	2	100010101	1	50	1	1		101	100			0	-1													
14	2	100010201	1	50	1	1		101	100			0	-1													
15	2	100010202	1	50	1	1		101	100			0	-1													
16	2	100010301	1	50	1	1		101	100			0	-1													
17	2	100010401	1	50	1	1		101	100			0	-1													
18	2	100010501	1	50	1	1		101	100			0	-1													
19	2	100010502	1	50	1	1		101	100			0	-1													
20	2	100020101	2	50	1	1	1	101	100			0	-1													
21	2	100020102	2	50	1	1		101	100			0	-1													
22	2	100010101	3	10	1	1	1	101	100			0	-1													
23	2	100020301	0	10	1	10		101	100			0	-1													
24	2	100020502	0	10	1	10		101	100			0	-1													
25	2	100020401	0	10	1	10		101	100			0	-1													
26	2	100020402	0	10	1	10		101	100			0	-1													
27	2	100040101	0	10	1	10		101	100			0	-1													
28	2	100040201	0	10	1	10		101	100			0	-1													
29	2	100040301	0	10	1	10		101	100			0	-1													
30	2	100040302	0	10	1	10		101	100			0	-1													
31	3	700008	0	1	1		0	102	500			0	-1						3	1		信用币兑换			60008	60007
32	3	59	0	1	1		1	102	10			0	-1						4	1		舰长经验道具			60008	60007
33	4	6001001	1	10	1	1		105	100				-1						1			修理机器人				
34	4	6001002	2	10	1	1		105	100				-1						2			喷射助推器				
35	4	200040	3	10	1	1		105	200				-1									装备包				
36	4	78	4	10	1	1		105	400				-1									强化芯片·大攻击				
37	4	81	4	10	1	1		105	400				-1									强化芯片·大生命				
38	4	200013	4	10	1	1		105	400				-1									强化芯片·大移速				
39	4	200016	4	10	1	1		105	400				-1									强化芯片·大能量				
40	4	200019	4	10	1	1		105	400				-1									强化芯片·大护盾				
41	4	200022	4	10	1	1		105	400				-1									强化芯片·大回能				
42	4	200026	5	10	1	1		105	800				-1									稀有芯片·大攻击				
43	4	200028	5	10	1	1		105	800				-1									稀有芯片·生命				
44	4	200030	5	10	1	1		105	800				-1									稀有芯片·移速				
45	4	200032	5	10	1	1		105	800				-1									稀有芯片·能量				
46	4	200034	5	10	1	1		105	800				-1									稀有芯片·护盾				
47	4	200036	5	10	1	1		105	800				-1									稀有芯片·回能				
48	4	200027	6	10	1	1		105	1200				-1									史诗芯片·攻击				
49	4	200029	6	10	1	1		105	1200				-1									史诗芯片·生命				
50	4	200031	6	10	1	1		105	1200				-1									史诗芯片·移速				
51	4	200033	6	10	1	1		105	1200				-1									史诗芯片·能量				
52	4	200035	6	10	1	1		105	1200				-1									史诗芯片·护盾				
53	4	200037	6	10	1	1		105	1200				-1									史诗芯片·回能				
54	2	100120101	0	10	1	10		101	100			0	-1													
55	2	100120201	0	10	1	10		101	100			0	-1													
56	4	200047	7	10	1	1		105	500				-1									芯片扩展插槽				
57	4	200048	8	10	1	1		105	500				-1									芯片扩展插槽				
58	4	200041	3	10	1	1		105	200				-1									装备包				
59	4	200042	3	10	1	1		105	200				-1									装备包				
60	4	200043	3	10	1	1		105	200				-1									装备包				
61	4	200044	3	10	1	1		105	200				-1									装备包				
62	4	200045	3	10	1	1		105	200				-1									装备包				
63	4	200046	3	10	1	1		105	200				-1									装备包				
