uint	uint	int	int	int	int	int	bool	uint[]	int[]	uint[]	int[]	int	int	uint[]	int[]	uint[]	int[]
PKEY1	PKEY2																
商品Id	商店ID	道具ID	槽位	随机权重	数量	限购次数	限制限购次数刷新	消耗货币	消耗货币数量	消耗物品Id	消耗物品数量	上架活动Id	折扣活动id	货币Id(折扣)	消耗货币数量(折扣)	消耗物品Id(折扣)	消耗物品数量(折扣)
CommodityId	ShopId	ItemID	ShopCellId	Weight	Count	PurchaseCount	LimitResetPurchaseCount	CostCurrencyId	CostCurrencyCount	CostItemId	CostItemCount	ShelvesActivityId	DisCountActivityId	DisCountCostCurrencyId	DisCountCostCurrencyCount	DisCountCostItemId	DisCountCostItemCount
1	3	-1	0	1	1			102	1680			0	-1				
2	3	700005	0	1	1	1	1	102	500			0	4	102	400		
4	3	700001	0	1	1	10	0	102	200			0	-1				
5	3	700004	0	1	1			102	1000			0	-1				
6	3	700003	0	1	1	10	0	102	800			0	3	102	600		
7	3	900001	0	1	1	1	1	102	2000			0	-1				
8	3	700002	0	1	1	10	0	102	1000			0	-1				
9	3	200001	0	1	1	10	1	102	100			0	-1				
10	3	200002	0	1	1	10	1	102	100			0	-1				
13	2	100010101	1	50	1	1		101	100			0	-1				
14	2	100010201	1	50	1	1		101	100			0	-1				
15	2	100010202	1	50	1	1		101	100			0	-1				
16	2	100010301	1	50	1	1		101	100			0	-1				
17	2	100010401	1	50	1	1		101	100			0	-1				
18	2	100010501	1	50	1	1		101	100			0	-1				
19	2	100010502	1	50	1	1		101	100			0	-1				
20	2	100020101	2	50	1	1	1	101	100			0	-1				
21	2	100020102	2	50	1	1		101	100			0	-1				
22	2	100010101	3	10	1	1	1	101	100			0	-1				
23	2	100020301	0	10	1	10		101	100			0	-1				
24	2	100020502	0	10	1	10		101	100			0	-1				
25	2	100020401	0	10	1	10		101	100			0	-1				
26	2	100020402	0	10	1	10		101	100			0	-1				
27	2	100040101	0	10	1	10		101	100			0	-1				
28	2	100040201	0	10	1	10		101	100			0	-1				
29	2	100040301	0	10	1	10		101	100			0	-1				
30	2	100040302	0	10	1	10		101	100			0	-1				
31	3	700008	0	1	1		0	102	500			0	-1				
32	3	59	0	1	1		1	102	10			0	-1				
33	4	6001001	1	10	1	1		105	100				-1				
34	4	6001002	2	10	1	1		105	100				-1				
35	4	200040	3	10	1	1		105	200				-1				
36	4	78	4	10	1	1		105	400				-1				
37	4	81	4	10	1	1		105	400				-1				
38	4	200013	4	10	1	1		105	400				-1				
39	4	200016	4	10	1	1		105	400				-1				
40	4	200019	4	10	1	1		105	400				-1				
41	4	200022	4	10	1	1		105	400				-1				
42	4	200026	5	10	1	1		105	800				-1				
43	4	200028	5	10	1	1		105	800				-1				
44	4	200030	5	10	1	1		105	800				-1				
45	4	200032	5	10	1	1		105	800				-1				
46	4	200034	5	10	1	1		105	800				-1				
47	4	200036	5	10	1	1		105	800				-1				
48	4	200027	6	10	1	1		105	1200				-1				
49	4	200029	6	10	1	1		105	1200				-1				
50	4	200031	6	10	1	1		105	1200				-1				
51	4	200033	6	10	1	1		105	1200				-1				
52	4	200035	6	10	1	1		105	1200				-1				
53	4	200037	6	10	1	1		105	1200				-1				
54	2	100120101	0	10	1	10		101	100			0	-1				
55	2	100120201	0	10	1	10		101	100			0	-1				
56	4	200047	7	10	1	1		105	500				-1				
57	4	200048	8	10	1	1		105	500				-1				
58	4	200041	3	10	1	1		105	200				-1				
59	4	200042	3	10	1	1		105	200				-1				
60	4	200043	3	10	1	1		105	200				-1				
61	4	200044	3	10	1	1		105	200				-1				
62	4	200045	3	10	1	1		105	200				-1				
63	4	200046	3	10	1	1		105	200				-1				
