int	enum.TECHNOLOGY_BRANCH	int	int	int	int	enum.TECHNOLOGY_TERM_TYPE	int[]	string
PKEY1	UNKNOW-0,OFFENSIVE-1,OPERABILITY-2,DEFENSE-3,EFFICIENCY-4					DEFAULT_UNLOCK-0,SKILL_LEVEL_NEEDED-1,BRANCH_NUMBER_NEEDED-2,ACCOUNT_LEVEL_NEEDED-3		
唯一标识	所属分支	层数	顺序	技能id	等级上限	前置条件类型	前置条件数值	升级所需科技点公式
Id	Branch	Layer	Order	SkillId	LevelLimit	TermType	TermNumber	UpNumber
1	1	1	1	501	3	0	0	5x
2	1	1	2	502	3	0	0	5x
3	1	1	3	503	2	0	0	5x
4	1	2	2	504	0	1	1,3	x2
5	1	2	3	505	0	2	1,5	x2
6	1	3	1	506	0	3	10	y+x*2
7	2	1	1	501	3	0	0	5x
8	2	1	2	502	3	0	0	5x
9	2	1	3	503	2	0	0	5x
10	2	2	2	504	0	1	1,3	x2
11	2	2	3	505	0	2	1,5	x2
12	2	3	1	506	0	3	10	y+x*2
13	3	1	1	501	3	0	0	5x
14	3	1	2	502	3	0	0	5x
15	3	1	3	503	2	0	0	5x
16	3	2	2	504	0	1	1,3	x2
17	3	2	3	505	0	2	1,5	x2
18	3	3	1	506	0	3	10	y+x*2
19	4	1	1	501	3	0	0	5x
20	4	1	2	502	3	0	0	5x
21	4	1	3	503	2	0	0	5x
22	4	2	2	504	0	1	1,3	x2
23	4	2	3	505	0	2	1,5	x2
24	4	3	1	506	0	3	10	y+x*2
