int	uint	string	enum.ItemType	uint	uint	uint	uint	uint	uint	uint	uint	uint	uint	uint	uint	uint	uint	uint	uint	uint
PKEY1	PKEY2		External																	
道具ID	货币类型	道具名称	道具类型	最低价	最高价	步长	单次上架数目	上架稀释玩家数	最低在售数量	最低玩家等级	最低卖家数	最低上架准备时长	上架准备时长	上架出售时长	最大购买数量	每单件数	最大权重值	高优先级序列时间	低优先级序列时间	定价购买最大数量
ID	CurrencyID	Name	Type	MinPrice	MaxPrice	Step	CacheToShelfCnt	NewSalerCnt	MinCntToShow	MinLevelToShow	MinSalerToShow	MinPrepareTime	PrepareTime	OrderLastTime	MaxPurchaseNum	BuyUnitCount	MaxWeight	HighPriorityTime	LowPriorityTime	FixMaxPurchaseNum
100005	101	芯石原矿	4	10	100	10	10	10	5	1	1		1	1	99	10	10	10	10	99
910001	101	高能聚合装药	1	60	600	10	50	2	5	3	1		3	5	99	10	50	120	15	99
910002	101	电磁同步线圈	1	50	500	50	50	1	1	0	3		3	5	99	10	50	120	15	100
910003	101	超导压缩磁镜	1	50	500	50	50	5	1	0	1		5	4	99	10	50	120	15	99
910004	101	速燃火箭引擎	1	50	500	50	50	5	5	0	1		5	1440	99	10	50	120	15	99
910005	101	感应复合材料	1	50	500	50	50	5	5	0	1		5	1440	99	10	50	120	15	99
910006	101	护盾调谐回路	1	50	500	50	50	5	1	0	1		5	1440	99	10	50	120	15	99
930001	102	驾驶员手册	1	50	5000	1	9999	3	1	3	2		1	1440	99	1	0	99999	0	99
931001	102	驾驶员操作手册	1	50	5000	1	9999	3	1	0	1		1	1440	99	1	0	99999	0	99
100010101	101	“雨燕”速射炮	5	200	400	10	100	1	1	1	1		1	1440	99	1	10	1	1	10
100010101	102	“雨燕”速射炮	5	200	400	10	100	1	1	1	1		5	1440	99	1	10	1	1	10
100010601	102	头部1	5	1	10	1	5	5	1	1	5		1	5	10	1	10	5	5	10
100011111	101	精密身管“雨燕”	3	200	400	10	100	1	1	1	1		1	1440	99	1	10	1	1	10
100011111	102	精密身管“雨燕”	3	200	400	10	100	1	1	3	1		1	5	99	1	10	1	1	10
