int	string	enum.BattleTipsType	LangText	float	string[]	string[]	enum.BattleTipsColor	enum.CustomBattleTipsType	string[]
PKEY1		OneLevel-0,TowLevel-1,ThreeLevel-2,KillTip-3,AssistTip-4,SkillTip-5					Yellow-0,Blue-1,Red-2	空-None-0,密斯之眼拾矿-MiesPickMeneral-1,密斯之眼交矿-MiesSubmitMeneral-2,爆破模式拾取炸弹-SwampPickMineralTip-3,爆破模式安装炸弹-SwampSubmitMineralTip-4,进度组件-ProgressTip-5	
唯一标识	事件名	提示类型	提示内容	持续时间	语音	提示音	颜色配置	自定义提示	进度条音效
id	eventName	battleTipsType	content	duration	voiceNames	beepNames	battleTipsColor	customBattleTipsType	progressSoundNames
1	TestOneLevel	0	一级提示%s	3	Play_UI_EIC_Code_Submit		0	0	
2	TestTowLevel	1	二级提示%s	3	Play_UI_EIC_Code_Submit		0	0	
3	TestThreeLevel	2	三级提示%s	3	Play_UI_EIC_Code_Submit		0	0	
4	TestKillTip	3	%s	3	Play_Vox_Hostile_Unit_Destroyed	Play_UI_Battle_Elimination	0	0	
5	TestAssistTip	4	%s	3	Play_Vox_Assist_Confirmed	Play_UI_Battle_Assist	0	0	
6	TestSkillTip	5	技能%s	0	Play_Vox_Preparing	Play_UI_Skill_Cooldown	0	0	
7	MissileWarning	5		0		Play_UI_Missile_Warning	0	0	
8	HeatHight	5		0			0	0	
9	FailSkillAction	5		0		Play_UI_Skill_Cooldown	0	0	
10	SkillLockLost	5	需要锁定对象	0.9	Play_Vox_Target_Parameter_Required	Play_UI_Skill_Cooldown	0	0	
11	SpinerCountAdd1	5		0		Play_M5_Aim_Charge_1st	0	0	
12	SpinerCountAdd2	5		0		Play_M5_Aim_Charge_2nd	0	0	
13	SpinerCountAdd3	5		0		Play_M5_Aim_Charge_3rd	0	0	
14	SpinerCountAdd4	5		0		Play_M5_Aim_Charge_4th	0	0	
15	M1SkillDisable	5	需要飞行器形态	2	Play_Vox_Air_Vehicle		0	0	
16	ZoomMagnificationChange	5		0		Play_M5_Sniper_Rifle_Scope_Change	0	0	
18	OutOfLockDistance	5	目标不在武装的有效射程	1	Play_Vox_Out_Of_Weapon_Range		0	0	
19	CloserThanMinLockDistance	5	目标进入近距离锁定盲区	2	Play_Vox_Out_Of_Weapon_Range		0	0	
20	EnergyEmpty	5	能量耗尽保护	1	Play_Vox_Excess_Power_Exhausted		0	0	
21	EnergyRecover	5	能量回复中	1			0	0	
22	EnergyValueLow	5	低能量水平	1	Play_Vox_Low_Excess_Power		0	0	
23	EnergyEmpty2	5	能量回复中	1			0	0	
24	EnergyOverThreshold	5	能量供给正常	1	Play_UI_Energy_Reach_Threshold		0	0	
25	EnergyFull	5		0		Play_UI_Full_Energy	0	0	
26	EnergyEmptyToSkill	5	能量不足	1.5	Play_Vox_Not_Enough_Energy		0	0	
27	Dying	5		0		Play_UI_HP_Low	0	0	
28	StopDying	5		0		Break_UI_HP_Low	0	0	
29	HpLow	5		0			0	0	
30	HightDamage	5		0		Play_UI_Missile_Warning	0	0	
31	ShieldBreak	5	护盾离线	1	Play_Vox_Fluid_Defender_Offline	Play_UI_Shield_Break	0	0	
32	ShieldLow	5		0		Play_UI_Low_Shield	0	0	
33	ShieldFull	5		0		Play_UI_Shield_Full	0	0	
34	ShieldOverThreshold	5	护盾重启	1	Play_Vox_Fluid_Defender_Restarting	Play_UI_Shield_Charge	0	0	
35	EnemyShieldBreak	5		0		Play_UI_Battle_Enemy_Shield_Break	0	0	
36	Hit	5		0		Play_UI_Hitmarker_Mech	0	0	
37	HitShield	5		0		Play_UI_Hitmarker_Shield	0	0	
38	Kill	5		0		Play_UI_Battle_Elimination	0	0	
39	TeammateDie	5		0			0	0	
40	AssitanKill	5		0			0	0	
41	AssistTip	4	%s	2	Play_Vox_Assist_Confirmed	Play_UI_Battle_Assist	0	0	
42	BeHitByDamageSkill	5		0		Play_UI_Missile_Warning	0	0	
43	SelfBeKill	5		0		Play_UI_Battle_Death_Notice	0	0	
44	SelfBeKillTip	5		0		Play_Vox_Escape_Capsule_Activated	0	0	
45	KillTip	3	%s	3	Play_Vox_Hostile_Unit_Destroyed		0	0	
46	LockEnemy	5		0		Play_UI_Battle_Aim	0	0	
47	BeLocked	5		0		Play_UI_Locked_Warning	0	0	
48	MutiLockAdd	5		0		Play_UI_Battle_Aim_Multi	0	0	
49	LockChange	5		0		Play_UI_Battle_Aim_Shift	0	0	
50	IntoLockView	5		0		Play_UI_Enemy_Spotted	0	0	
51	LockOuting	5		0		Play_UI_Lock_Cancel	0	0	
52	AccurateLock	5		0		Play_UI_Battle_Aim	0	0	
53	InterferenceLock	5		0		Play_M5_Drone_Disturbance_Notice	0	0	
54	YellowBeLockShow	5		0		Play_UI_Missile_Warning_01	0	0	
55	FailReleaseSkill	5		0		Play_UI_Skill_Cooldown	0	0	
56	SkillFailOpenState	5		0		Play_UI_Skill_Cooldown	0	0	
57	SkillFailRigid	5		0		Play_UI_Skill_Cooldown	0	0	
58	NoBullet	5		0		Play_UI_Skill_Cooldown	0	0	
59	SkillCooling	5	武器未就绪	4	Play_Vox_Preparing	Play_UI_Skill_Cooldown	0	0	
60	NoCount	5	武器未就绪	2	Play_Vox_Preparing	Play_UI_Skill_Cooldown	0	0	
61	BeginReload	5	武器装填中	1	Play_Vox_Reloading		0	0	
62	EquipCooling	5		0			0	0	
63	OwnerTeamHalf	5		0		Play_UI_Battle_Skill_Ready	0	0	
64	M1ScanActivation	5		0		Play_UI_M1_Scan_Confirm	0	0	
65	M1ScanEnermy	5		0		Play_UI_M1_Scan_Confirm	0	0	
66	M5InSteath	5	光学迷彩已启用	2	Play_Vox_Optical_Camouflage_Enabled		0	0	
67	M5LeaveSteath	5	光学迷彩已关闭	2	Play_Vox_Optical_Camouflage_Closed		0	0	
68	CanExitSpawnFly	5		0		Play_Vox_Ready_To_Switch_To_Manual_Control	0	0	
69	StartMineralPick	2		0		Play_Vox_Key_Device_Securing_CN	0	0	
70	StopMineralPick	2		0		Stop_Vox_Key_Device_Securing_CN	0	0	
71	Event30001	2	任务目标：将中间能量方块推至敌方基地，占领尽可能多的区域	5			0	0	
72	Event30002	2	被击坠的次数越多，重返战场的时间越长	5			0	0	
73	Event30003	2	能量方块密钥已刷新，夺取并上交后可控制能量方块移动一段距离	5			0	0	
74	Event30004	2	成功击退敌方干扰机甲，方块能量获得15秒免疫干扰效果	15			0	0	
75	Event30005	0	我方运输车被<color=#ef2818>阻挡</color>，占领<color=#fbc944>据点</color>可立刻解除阻挡，敌方占领会延长阻挡时间	10			0	0	
76	Event30006	0	<color=#f74a59>敌方</color>运输车据点已激活，占领后可延长敌方运输车阻挡时间	10			0	0	
77	Event30007	2	成功占领我方据点，运输车阻挡被解除	10					
78	Event30008	2	<color=#cdfcff>我方据点</color>被敌方占领，我方运输车阻挡时间被延长	10			0	0	
79	Event30009	2	成功占领<color=#f74a59>敌方据点</color>，敌方运输车阻挡时间被延长	10					
80	Event300100	2	<color=#cdfcff>我方运输车</color>阻挡时间到，可以继续前进	10					
81	Event300101	0	<color=#cdfcff>据点A</color>已激活，<color=#fbc944>占领A点</color>以解除运输车束缚	10			0	0	
82	Event300102	2	据点A已<color=#fbc944>关闭</color>，运输车束缚已解除	10			0	0	
83	Event300103	2	<color=#cdfcff>我方</color>已占领据点A，运输车束缚<color=#fbc944>已解除</color>	10			0	0	
84	Event300104	2	<color=#cdfcff>据点A</color>被<color=#f74a59>敌方</color>占领，我方运输车束缚将在据点A关闭后解除	10					
85	Event300105	1	进入作战区域，即将开始争夺1号信号控制台	30	Play_Vox_Starting_Fight_For_Console_A		1	0	
86	Event300106	1	阶段目标：率先激活1号信号控制台	15	Play_Vox_Activate_First_Console_A,SetState_Interact_State_1_On		1	0	
87	Event300107	1	信号连通，主脑载具快速行进	3	Play_Vox_Signal_Connection_Drving_Fast,SetState_Interact_State_1_None,SetState_Interact_State_2_None	UI_Gemstone_Ally_Heat_Enter	1	0	
88	Event300108	1	阶段目标：靠近载具以中继信号，确保继续行进	15	Play_Vox_Relay_Signal_Keep_Travelling,SetState_Interact_State_1_None,SetState_Interact_State_2_None		1	0	
89	Event300109	1	阶段目标：率先激活2号信号控制台	15	Play_Vox_Activate_First_Console_B,SetState_Interact_State_1_On		1	0	
90	Event300110	1	阶段目标：率先激活3号信号控制台	15	Play_Vox_Activate_First_Console_C,SetState_Interact_State_2_On		1	0	
91	Event300111	1	即将开始争夺2号信号控制台	5	Play_Vox_Starting_Fight_For_Console_B		1	0	
92	Event300112	1	即将开始争夺3号信号控制台	5	Play_Vox_Starting_Fight_For_Console_C		1	0	
93	Event1	2		0			0	0	
94	Event2	2		0			0	0	
95	Event3	2		0			0	0	
96	Event4	2		0			0	0	
97	Event80080	2		0			0	0	
98	Event80081	2	<color=#04faf9>A点</color>密钥已发出，<color=#fddb8b>120秒</color>后投放	4	Play_Vox_EIC_Countdown120_A		0	0	
99	Event80082	2	<color=#04faf9>B点</color>密钥已发出，<color=#fddb8b>120秒</color>后投放	4	Play_Vox_EIC_Countdown120_B		0	0	
100	Event80083	2	<color=#04faf9>C点</color>密钥已发出，<color=#fddb8b>120秒</color>后投放	4	Play_Vox_EIC_Countdown120_C		0	0	
101	Event80086	2		0			0	0	
102	Event80087	2		0			0	0	
103	Event80088	2		0			0	0	
104	Event80100	2		0			0	0	
105	Event80101	2		0			0	0	
106	Event80102	2		0			0	0	
107	Event80091	2	矿石已被<color=#66FFF4>%sn</color>提交	6	Play_Vox_EIC_Teammate_Upload		0	0	
108	Event81000	2		0			0	0	
109	Event81001	2		0			0	0	
110	Event81002	2		0			0	0	
111	Event81003	2		0			0	0	
112	Event81004	2		0			0	0	
113	Event81005	2		0			0	0	
114	Event81006	2		0			0	0	
115	Event81007	2		0			0	0	
116	Event81008	2		0			0	0	
117	Event81009	2		0			0	0	
118	Event81010	2		0			0	0	
119	Event81011	2		0			0	0	
120	Event81012	2		0			0	0	
121	Event81013	2		0			0	0	
122	Event81030	2		0			0	0	
123	Event81031	2		0			0	0	
124	Event81032	2		0			0	0	
125	Event81033	2		0			0	0	
126	Event81034	2		0			0	0	
127	Event81035	2		0			0	0	
128	Event81036	2		0			0	0	
129	Event81037	2		0			0	0	
130	Event81038	2		0			0	0	
131	Event81039	2		0			0	0	
132	Event619001	2		0			0	0	
133	Event619002	2		0			0	0	
134	Event619003	2		0			0	0	
135	Event619004	2		0			0	0	
136	Event619005	2		0			0	0	
137	Event619006	2		0			0	0	
138	Event619007	2		0			0	0	
139	Event619008	2		0			0	0	
140	Event619009	2		0			0	0	
