int	string	int
PKEY1		
预制ID	路径	资源回收类型
id	prefabPath	despawnType
2005	Assets/Art/UI/Module/BattleBag/Prefabs/UIBattleItemCell.prefab	1
2502	Assets/Art/UI/Module/Hit/Prefabs/UIHitCell.prefab	1
2505	Assets/Art/UI/Module/Map/Prefabs/DynamicIconCell/UIMapPlayerIconCell.prefab	1
2506	Assets/Art/UI/Module/Map/Prefabs/DynamicIconCell/UIMapTeammateIconCell.prefab	1
2507	Assets/Art/UI/Module/Map/Prefabs/DynamicIconCell/UIMapEnemyIconCell.prefab	1
2508	Assets/Art/UI/Module/Map/Prefabs/StaticIconCell/UIMapAirdropCell.prefab	1
2509	Assets/Art/UI/Module/Map/Prefabs/StaticIconCell/UIMapMineralCell.prefab	1
2510	Assets/Art/UI/Module/Map/Prefabs/StaticIconCell/UIMapMineralSpawnCell.prefab	1
2511	Assets/Art/UI/Module/Map/Prefabs/StaticIconCell/UIMapMineralCommitCell.prefab	1
2512	Assets/Art/UI/Module/Interaction/Prefabs/UIInteractionCell.prefab	1
2513	Assets/Art/UI/Module/Map/Prefabs/DynamicIconCell/UIMapMineralOwnerCell.prefab	1
3102	Assets/Art/UI/Module/Gameplay/Prefabs/UIGameplayGeneratePointTopIconCell.prefab	1
3103	Assets/Art/UI/Module/Gameplay/Prefabs/UIGameplayGeneratePointSceneIconCell.prefab	1
3104	Assets/Art/UI/Module/Gameplay/Prefabs/UIGameplayAirdropGoodsIconCell.prefab	4
3105	Assets/Art/UI/Module/Gameplay/Prefabs/UIGameplayCommitPointIconCell.prefab	4
3106	Assets/Art/UI/Module/Gameplay/Prefabs/UIGameplayMineralOwnerIconCell.prefab	4
3107	Assets/Art/UI/Module/Gameplay/Prefabs/UIGameplayOccupyPointIconCell.prefab	1
3108	Assets/Art/UI/Module/Gameplay/Prefabs/UIGameplayGeneralPointDoublePushIconCell.prefab	1
3109	Assets/Art/UI/Module/Gameplay/Prefabs/UIGameplayOccupyPointTopIconCell.prefab	1
3110	Assets/Art/UI/Module/Gameplay/Prefabs/UIGameplayMineralIconCell.prefab	1
3111	Assets/Art/UI/Module/Gameplay/Prefabs/UIGameplayMineralTopIconCell.prefab	1
3112	Assets/Art/UI/Module/Gameplay/Prefabs/UIGameplayCommitPointTopIconCell.prefab	1
