int	LangText	enum.UIErrorCodeType
PKEY1		Tip-0,Dialog-1
Code	提示信息	提示类型
code	desc	type
0	系统[0-99]	
1	消息已发送	
2	消息太频繁	
3	未知错误	
4	参数错误	
5	操作失败	
6	主版本错误	
7	gm踢人了	
8	不匹配最小版本号	
9	修订版本错误	
101	未找到玩家	
102	没有数据	
103	数据错误	
104	状态错误	
105	没有找到token	
106	验证失败	
107	名字已存在	
108	创建玩家失败	
109	账户已存在角色	
110	玩家正在登陆中	
111	token过期（需重走登陆流程）	
112	账号正在其地方登陆（被踢）	
113	账号重复登陆，踢掉了自己	
114	玩家状态超时	
115	名字超长	
116	输入内容含有敏感词	
117	敏感词服务不可用	
118	对方玩家不在线	
119	数据不兼容，请用新号登录（开发期用）	
120	对方处于繁忙状态，无法邀请	
200	login server error code begin with 200	
201	登陆请求过期，重新登陆	
202	需要排队	
301	不能选择初始机甲	
1001	货币ID错误	
1002	{0}不足	
1003	当前已达到总获取上限	
1004	当前已达到周获取上限	
1005	该货币已达到可获得系统上限	
1006	无法在局外系统获取玩法货币	
1101	未找到对应的机甲	
1102	更换机甲部件失败	
1201	未找到对应的部件	
1202	该武器没有这个槽位	
1203	找不到道具	
1301	已经在好友列表	
1302	已发送申请，请勿重复发送	
1303	该玩家已不是您的好友，无法进行此操作	
1304	今天申请好友数量达到上限了	
1305	当前好友已达到数量上限	
1306	他/她的好友已满	
1307	对方把你拉黑了	
1308	对方最近拒绝过你	
1309	对方审核列表已满	
1310	对方没有申请好友	
1311	你把对方拉黑了	
1312	玩家没有被你拉黑	
1313	目标不能是自己	
1314	黑名单已满	
1315	对方没有公开在线状态	
1316	对方没有公开战绩数据	
2001	玩家不在队伍中！	
2002	玩家已在队伍中！	
2003	队员没有权限	
2004	邀请已失效！	
2005	队伍无效！	
2006	邀请组队冷却中！	
2007	申请入队冷却中！	
2011	找不到队伍！	
2012	找不到玩家	
2013	已在队伍中！	
2014	邀请组队冷却中！	
2015	邀请者已离开！	
2016	匹配玩法中无法进行该操作	
2017	没有权限！	
2018	转移队长失败，对方当前状态无法成为队长！	
2019	玩家人数已满！	
2020	不能踢自己！	
2021	玩家离线！	
2025	招募信息已存在	
2026	招募信息不存在	
2027	小队人数已满	
2028	需要选择机甲	
2029	不能选择该机甲	
2030	标题过长	
2031	输入内容含有敏感词	
2032	小队人数上限	
2033	没找到玩家申请信息	
2034	队长变更，撤销招募	
2035	队长退队，撤销招募	
2036	队长离线，撤销招募	
2037	玩家已经申请过了	
2039	段位差距过大	
2040	已经在匹配	
2041	不在匹配中	
2042	匹配无效	
2043	并非所有玩家都准备好了	
2044	并非所有玩家都在线	
2045	不支持的模式	
2046	队伍人数超过模式支持的人数！	
2047	对方玩家已经在队伍中	
2048	对方玩家已经在匹配中	
2049	对方玩家已经在战斗中	
2050	匹配黑名单满了	
2051	队伍仅有一位玩家	
2080	匹配黑名单满了	
2081	匹配中	
2082	等待房间中	
2083	再次等待房间	
2084	房间确认中	
2085	重新匹配中	
2086	玩家机甲数量不满足匹配模式需求	
2087	没有足够数量的机器人	
2090	有玩家机甲数量不达标	
2091	不支持的匹配模式	
2092	不支持的游戏玩法	
2093	已经在匹配	
2094	不在匹配中	
2095	匹配失败	
2096	等待房间超时	
2097	当前没有可参与的作战，请稍后再尝试	
2098	玩家不在战斗中	
2099	邀请者已经在集结中	
2100	受邀者已经在集结中	
2101	不在自定义房间中	
2102	玩家已在自定义房间中	
2103	没有权限	
2104	邀请失效	
2105	定义房间无效	
2106	不支持的gameplay	
2107	自己已在定义房间中，不能进行对应操作	
2111	找不到定义房间	
2112	找不到玩家	
2113	已在定义房间中	
2114	邀请者已离开	
2115	加入失败，该房间已开启	
2116	没有权限	
2117	设置房主失败	
2118	玩家人数已满	
2119	有人还未准备	
2120	不支持的gameplay	
2121	该座位已被占领	
2122	切换座位失败	
2123	不能踢自己	
2133	并非所有玩家都准备好	
2181	分配房间中	
2182	已经在分配房间	
2183	不在分配房间中	
2184	分配房间超时	
2185	房间数量已达上限，请稍后再尝试	
2186	您输入的密码错误，请确认后再尝试	
2187	找不到对应座位的机器人	
2188	指定小队已满	
2189	不允许观战	
2190	观战人数已满	
2191	对方当前处于不可以邀请状态	
2192	邀请超时	
2193	不允许换模式	
2194	有玩家机甲数量不达标	
2195	没有足够数量的机器人	
