int	int	enum.UIGameplayType	int	UIGameplaIconCellGroup[].int	UIGameplaIconCellGroup[].int	UIGameplaIconCellGroup[].int	UIGameplaIconCellGroup[].int	UIGameplaIconCellGroup[].int	UIGameplaIconCellGroup[].int	UIGameplaIconCellGroup[].int	UIGameplaIconCellGroup[].int	UIGameplaIconCellGroup[].int	int	bool	Vector3	Vector3
PKEY1	External	空-None-0,玩法点-GameplayPoint-1,Doodad-Doodad-2,Buff-Buff-3,Npc-Npc-4,标记-Mark-5														
关键字	UI场景类型	玩法图标类型	配置ID	场景图标-无阵营	场景图标-同阵营	场景图标-不同阵营	顶部图标-无阵营	顶部图标-同阵营	顶部图标-不同阵营	地图图标-无阵营	地图图标-同阵营	地图图标-不同阵营	顶部图标优先级	场景图标是否挂边	场景图标偏移	图标缩放
id	uiSceneType	uiGameplayType	configId	iconCellGroups.cellIdNonCamp	iconCellGroups.cellIdSameCamp	iconCellGroups.cellIdDiffCamp	iconCellGroups.cellIdNonCamp	iconCellGroups.cellIdSameCamp	iconCellGroups.cellIdDiffCamp	iconCellGroups.cellIdNonCamp	iconCellGroups.cellIdSameCamp	iconCellGroups.cellIdDiffCamp	topOrder	isHangingEdge	offset	scale
1	4	1	37	3103			3102						1	True	0_10_0	1_1_1
2	4	1	38	3103			3102						2	True	0_10_0	1_1_1
3	4	1	39	3103			3102						3	True	0_10_0	1_1_1
4	7	2	88039	3104						2508				False	0_10_0	1_1_1
5	4	1	16	3105										True	0_10_0	1_1_1
6	4	3	10120207	3106	3106	3106								True	0_5_0	1_1_1
7	2	1	18	3185										True	0_20_0	1_1_1
8	2	1	34	3185										True	0_25_0	1_1_1
9	2	1	35	3185										True	0_20_0	1_1_1
10	2	1	32	3182										True	0_25_0	1_1_1
11	2	1	33	3182										True	0_20_0	1_1_1
12	2	1	36	3182										True	0_20_0	1_1_1
13	9	1	2	3113	3113	3113	3112	3112	3112					True	0_10_0	1_1_1
14	9	1	3	3113	3113	3113	3112	3112	3112					True	0_10_0	1_1_1
15	9	1	7	3113	3113	3113	3112	3112	3112					True	0_10_0	1_1_1
16	9	1	8	3113	3113	3113	3112	3112	3112					True	0_10_0	1_1_1
17	9	1	4	3103	3103	3103	3102	3102	3102					True	0_10_0	1_1_1
18	9	1	5	3103	3103	3103	3102	3102	3102					True	0_10_0	1_1_1
19	9	1	1	3103	3103	3103								True	0_10_0	1_1_1
20	9	1	24	3103	3103	3103								True	0_10_0	1_1_1
21	9	1	6	3103	3103	3103								True	0_10_0	1_1_1
22	9	1	25	3103	3103	3103								True	0_10_0	1_1_1
23	9	1	23	3107										True	0_10_0	1_1_1
24	9	3	158		3106									True	0_5_0	1_1_1
25	9	3	165											True	0_5_0	1_1_1
26	10	1	23	3107	3107	3107	3109	3109	3109				1	True	0_10_0	1_1_1
27	10	1	24	3107	3107	3107	3109	3109	3109				3	True	0_10_0	1_1_1
28	10	1	10	3103	3103	3103	3102	3102	3102					True	0_10_0	1_1_1
29	10	1	25	3103	3103	3103	3102	3102	3102					True	0_10_0	1_1_1
30	10	1	26	3103	3103	3103	3102	3102	3102					True	0_10_0	1_1_1
31	10	1	27	3103	3103	3103	3102	3102	3102				1	True	0_10_0	1_1_1
32	10	1	28	3103	3103	3103	3102	3102	3102				3	True	0_10_0	1_1_1
33	10	1	29	3103	3103	3103	3102	3102	3102				5	True	0_10_0	1_1_1
34	10	1	30	3105	3105	3105								True	0_10_0	1_1_1
35	10	1	31	3105	3105	3105								True	0_10_0	1_1_1
36	8	1	29										2	True	0_10_0	1_1_1
37	8	1	30										1	True	0_10_0	1_1_1
38	8	1	31										3	True	0_10_0	1_1_1
39	10	3	10120207	3106	3106	3106								True	0_5_0	1_1_1
40	2	3	10120207	3106	3106	3106				3106	3106	3106		True	0_5_0	1_1_1
41	10	2	9											True	0_5_0	1_1_1
42	10	2	10											True	0_5_0	1_1_1
43	10	1	33	3108			3108						2	False	0_10_0	1.5_1.5_1.5
44	11	1	1179649	3138	3138	3138				3163	3163	3163		True		1_1_1
45	11	1	4325377	3137	3137	3137				3162	3162	3162		True		1_1_1
46	11	1	8323073	3124	3124	3124				3149	3149	3149		True		1_1_1
47	11	1	6225921	3125	3125	3125				3150	3150	3150		True		1_1_1
48	11	1	7143425	3126	3126	3126				3151	3151	3151		True		1_1_1
49	11	1	1835009	3127	3127	3127				3152	3152	3152		True		1_1_1
50	11	1	4915201	3128	3128	3128				3153	3153	3153		True		1_1_1
51	11	1	655361	3129	3129	3129				3154	3154	3154		True		1_1_1
52	11	1	3735553	3130	3130	3130				3155	3155	3155		True		1_1_1
