int	string
PKEY1	
图片ID	路径
ID	imagePath
7	Assets/Art/UI/Dynamic/MechaIcon/UIKillReport_M1.png
8	Assets/Art/UI/Dynamic/MechaIcon/UIKillReport_M2.png
9	Assets/Art/UI/Dynamic/MechaIcon/UIKillReport_M3.png
10	Assets/Art/UI/Dynamic/MechaIcon/UIKillReport_M4.png
11	Assets/Art/UI/Dynamic/MechaIcon/UIKillReport_M5.png
12	Assets/Art/UI/Dynamic/MechaIcon/UIKillReport_M12.png
13	Assets/Art/UI/Dynamic/MechaIcon/UIKillReport_M9.png
101	Assets/Art/UI/Dynamic/Mecha/BigHead/UIM1.png
102	Assets/Art/UI/Dynamic/Mecha/BigHead/UIM2.png
103	Assets/Art/UI/Dynamic/Mecha/BigHead/UIM3.png
104	Assets/Art/UI/Dynamic/Mecha/BigHead/UIM4.png
105	Assets/Art/UI/Dynamic/Mecha/BigHead/UIM5.png
107	Assets/Art/UI/Dynamic/Mecha/BigHead/UIM7.png
109	Assets/Art/UI/Dynamic/Mecha/BigHead/UIM9.png
112	Assets/Art/UI/Dynamic/Mecha/BigHead/UIM12.png
301	Assets/Art/UI/Dynamic/Mecha/SmallHead/UIM1.png
302	Assets/Art/UI/Dynamic/Mecha/SmallHead/UIM2.png
303	Assets/Art/UI/Dynamic/Mecha/SmallHead/UIM3.png
304	Assets/Art/UI/Dynamic/Mecha/SmallHead/UIM4.png
305	Assets/Art/UI/Dynamic/Mecha/SmallHead/UIM5.png
307	Assets/Art/UI/Dynamic/Mecha/SmallHead/UIM7.png
309	Assets/Art/UI/Dynamic/Mecha/SmallHead/UIM9.png
312	Assets/Art/UI/Dynamic/Mecha/SmallHead/UIM12.png
401	Assets/Art/UI/Dynamic/MechaTag/UIMechaFeature_M1.png
402	Assets/Art/UI/Dynamic/MechaTag/UIMechaFeature_M2.png
403	Assets/Art/UI/Dynamic/MechaTag/UIMechaFeature_M3.png
404	Assets/Art/UI/Dynamic/MechaTag/UIMechaFeature_M4.png
405	Assets/Art/UI/Dynamic/MechaTag/UIMechaFeature_M5.png
407	Assets/Art/UI/Dynamic/MechaTag/UIMechaFeature_M7.png
409	Assets/Art/UI/Dynamic/MechaTag/UIMechaFeature_M9.png
