int	string	string	string	string	string	string	string	bool	int	int	bool	float	string	string	uint	bool	int
PKEY1																	
ID	页签名	技能名	技能名(局内)	技能名-前缀	技能名-后缀	技能描述	标签	是否显示在装备预设界面	图标ID	锁定图标ID	是否显示在技能详情界面	CD冷却时间	技能名(局内)	技能描述(局内)	延伸技能ID	显示变形标签	图标ID(局内)
ID	tabName	skillName	simpleSkillName	skillPreName	skillSufName	skillDesc	tag	isShowInPresetView	iconId	lockIconID	isShowDetail	totalCD	skillNameBattle	skillDescBattle	extendSkillID	isShowDeformTag	iconIdBattle
15	页签名	“斯瓦林”强化型流体护盾	“斯瓦林”强化型流体护盾	斯瓦林	强化型流体护盾	为机体提供额外护盾防御。默认启用，耗尽时重新充能，充能达到阈值后方可重启。	护盾 | 能量	true	30025	0	1	0	“斯瓦林”强化型流体护盾	为机体提供额外护盾防御。默认启用，耗尽时重新充能，充能达到阈值后方可重启。	0	0	30025
40	页签名	“战车”战术变形系统	“战车”战术变形系统	战车	战术变形系统	转换为战车形态，可运载一台我方机体，并为其提供严密保护。	战术变形 | 器材	true	30048	0	1	0	“战车”战术变形系统	转换为战车形态，可运载一台我方机体，并为其提供严密保护。	0	1	30048
68	页签名	“斯库尔”光学迷彩	“斯库尔”光学迷彩	斯库尔	光学迷彩	展开全频谱光学迷彩，机体发动攻击时短暂失效。	电子战 | 能量	true	30026	0	1	21	“斯库尔”光学迷彩	展开全频谱光学迷彩，机体发动攻击时短暂失效。	0	0	30026
72	页签名	零一式 点防御无人机“朝露”	零一式 点防御无人机“朝露”	朝露	零一式 点防御无人机	释放伴随型点防御无人机，自主拦截来袭导弹，并张开护盾阵列。	无人机 | 能量	true	30056	0	1	0	零一式 点防御无人机“朝露”	释放伴随型点防御无人机，自主拦截来袭导弹，并张开护盾阵列。	0	0	30056
74										0	0	15	悬浮装置“浮水”	开启后可使鸣神悬浮于半空，不再消耗能量。	0	0	30100
91	页签名	“唱诗班”多管火箭发射器	“唱诗班”多管火箭发射器	唱诗班	多管火箭发射器	对锁定目标连续发射多枚重型高爆火箭弹，发射时无法移动。	火箭动力 | 爆破	true	30047	0	1	0	“唱诗班”多管火箭发射器	对锁定目标连续发射多枚重型高爆火箭弹，发射时无法移动。	0	0	30047
96										0	1	0	“唱诗班”多管火箭发射器	对锁定目标连续发射多枚重型高爆火箭弹，发射时无法移动。	0	0	30047
