int	int	LangText	float	string	bool
PKEY1					
ID	Tip类型（Info = 0，Error = 1）	内容	显示时间	音效	是否可重复
id	type	content	time	sound	isCanRepeat
1	1	无私聊对象	2		
2	0	已复制文本	2		
3	0	当前无加入小队	2		
1003	0	已向对方发送好友申请	2		
1004	0	删除好友成功	2		
1005	0	“{0}”已成为你的好友	2		1
1006	0	修改备注成功	2		
1007	0	已添加为特别关注	2		
1008	0	已取消特别关注	2		
1009	0	用户已被加入黑名单	2		
1010	0	“{0}”拒绝了你的好友申请	2		
1011	0	已成功将用户“{0}”移出黑名单	2		
1012	0	已拒绝该玩家的申请	2		
1013	0	搜索完成	2		
1014	0	搜索不到相关的舰长信息	2		
2002	0	已绑定 <color=#72f7ff>{0}</color>	4		
2003	1	<color=#72f7ff>{0}键</color> 为系统按键，不可绑定	4		
2004	0	<color=#72f7ff>{0}键</color> 已解绑	4		
2005	1	<color=#72f7ff>{0}键</color> 已绑定在<color=#72f7ff>{1}</color> ，该按键不可更改	4		
2006	1	 已绑定<color=#72f7ff>{0}</color> ，但与多个机甲的按键冲突	4		
2007	1	 已绑定<color=#72f7ff>{1}</color>，但与 <color=#72f7ff>{0}</color> 按键冲突	4		
2008	0	已恢复默认设置	4		
2009	1	无法绑定，组合键的按键个数不能超过2个	4		
2010	1	无法绑定，仅有功能键无法组合	4		
2011	1	无法绑定，仅有非功能键无法组合	4		
3002	0	已在队伍中	2		
3003	1	队伍已满无法接受组队	2		
3004	1	匹配中无法接受组队	2		
3005	1	战斗中无法接受组队	2		
3006	0	对方拒绝了您的组队请求	2		
3007	0	您已被移出队伍	2		
3008	0	队伍已解散！	2		
3009	0	有玩家尚未准备完成！	2		
3010	0	该模式正在维护中，请留意官方通告	2		
3014	0	已拒绝申请	2		
3015	0	入队申请已发送	2		
3016	0	发送组队邀请中	2		
3017	0	当前处于房间中，无法邀请组队	2		
3018	0	成功加入队伍	2		0
3019	0	玩家“{0}”加入队伍	2		1
3020	0	您成为了队长	2		
3021	0	组队邀请过于频繁, 请稍后再尝试	2		
3022	0	对方拒绝了您的组队邀请	2		
3023	0	当前队伍人数已满	2		
4002	1	移出房间失败！	2		
4003	1	玩法切换失败！	2		
4004	1	转让房主失败！	2		
4005	1	无法解散房间！	2		
4009	0	密码设置成功	2		
4010	0	房间名更改成功	2		
4011	0	<color=#7AECDB>“{0}”</color>取消了作战	2		
4012	0	所选势力人数已满，无法添加电脑	2		
4013	0	房间人数已满，无法添加电脑	2		
4014	1	当前不处于自定义房间系统开启时间段	2		
4015	1	自定义房间开启时间：每日{0}	2		
4016	0	自定义房间开启时间：每周{0}	2		
4017	0	自定义房间开启时间：每月{0}	2		
4018	0	重置成功	2		
4019	0	筛选成功	2		
4020	0	成功发起房间邀请	2		
4021	1	请至少选择一个玩法进行筛选	2		
4022	0	筛选信息不存在	2		
4023	0	自定义房间列表已刷新	2		
5002	2	检测机甲移动功能，按下<color=#04faf9>W,A,S,D</color>移动机甲	-1		
5003	2	检测机甲转向功能，<color=#04faf9>左右移动鼠标</color>控制机甲转向	-1		
5004	2	检测机甲冲刺功能，<color=#04faf9>按住Shift键</color>控制机甲向前冲刺	-1		
5005	2	机甲冲刺过程中会消耗<color=#04faf9>能量</color>，能量值位于战斗面板右侧	-1		
5006	2	检测机甲飞行功能，<color=#04faf9>长按住Space键</color>控制机甲向上攀升，机甲飞行过程中会消耗<color=#04faf9>能量</color>	-1		
5007	2	检测机甲常规作战能力，按住鼠标<color=#04faf9>左键</color>或<color=#04faf9>右键</color>控制机甲使用机枪进行攻击	-1		
5008	2	检测机甲常规作战能力，锁定目标后<color=#04faf9>按住鼠标右键</color>控制机甲发射导弹	-1		
5009	2	检测机甲常规作战能力，步行者形态下<color=#04faf9>按下2键</color>切换飞行器形态	-1		
5010	2	检测机甲常规作战能力，飞行器形态下<color=#04faf9>按下Shift键</color>冲刺	-1		
5011	2	检测机甲常规作战能力，飞行器形态下<color=#04faf9>按下3键</color>发射火箭弹	-1		
5012	2	检测机甲常规作战能力，飞行器形态下<color=#04faf9>按下2键</color>切回步行者形态	-1		
5013	2	检测机甲转向功能，<color=#04faf9>左右移动鼠标</color>控制机甲转向	-1		
5014	1	玩法教学暂未开放	2		
5015	2	当敌人存在于你的识别框内一段时间后会<color=#04faf9>自动完成锁定</color>	-1		
5016	0	按下<color=#04faf9>按键1</color>使用“守护者”模块化流体盾抵御伤害	-1		
5017	0	按下<color=#04faf9>按键2</color>切换为“堡垒”战术形态	-1		
5018	0	按下<color=#04faf9>按键3</color>使用“打击者”榴弹炮	-1		
7002	0	{0} 配装方案应用成功	2	Play_Vox_Customization_Solution_Change_Complete	
7003	0	配装方案保存成功	2		
7004	0	当前已是默认配装方案	2		
7005	0	研发功能暂未开启	2		
7006	1	数据不合法	4		
7007	1	背包容量不足	2		
7008	0	{0} 已安装	2	Play_Vox_Gear_Installed	
7009	0	{0} 已卸除	2	Play_Vox_Gear_Removed	
7010	0	当前选择的武装未获取，无法进行装配	2		
7011	0	当前选择的配件未获取，无法进行装配	2		
7012	0	{0} 已安装	2	Play_Vox_Gear_Change_Complete	
8009	0	已撤销本次修改	2		
8010	0	已恢复默认设置	2		
8011	0	需先选择样式	2		
8012	0	该部件当前没有修改	2		
8013	0	当前机甲没有修改	2		
8014	0	已有相同贴花，无法新增样式	2		
8015	0	已有相同迷彩，无法新增样式	2		
8016	0	已有相同颜色，无法新增样式	2		
8017	0	保存成功	2		
8019	0	预设数量已达上限	2		
8020	1	预设名字不能为空	2		
8021	1	预设名字不可重复	2		
8022	0	当前已是默认方案	2		
8023	0	颜色复制成功	2		
8024	0	颜色粘贴成功	2		
8025	0	已复制涂装数据{0}	2		
8026	0	已成功导入数据	2		
8027	0	{0} 涂装方案应用成功	1	Play_Vox_PaintJob_Solution_Change_Complete	
8028	0	已有相同做旧，无法新增样式	2		
8029	0	需先获得样式	2		
8030	0	导入成功，但部分DIY素材未获得，已剔除	2		
9002	0	发送成功	2		
9003	0	最多选择6个附件	2		
9004	0	最多可指定10名玩家	2		
9005	0	无法群发附件	2		
9006	0	删除成功	2		
9007	0	无法将黑名单玩家添加为收件人	2		
9008	0	该邮件存在未领取的附件，无法删除	2		
9009	0	已删除所有无附件的已读邮件	2		
10001	0	复制成功	2		
10002	1	该功能暂未开启	2		
10007	0	操作成功	2		
10008	1	即将进入战场，无法修改	2		
10009	0	不能切换未获取的机甲	2		
10010	0	装备成功	2		
10011	0	模块升级中，近期不可访问	2		
10012	1	我方投降认输，作战结束	2		
10013	0	敌方投降认输，作战结束	2		
20002	1	队员“{0}”取消了匹配	2		
20003	0	已取消匹配	2		
20004	1	已在匹配中	2		
20005	0	每日{0}开启	2		
20006	0	每周{0}开启	2		
20007	0	每月{0}开启	2		
20008	1	{0}暂未开启	2		
20009	1	只有队长才能发起匹配	2		
20010	0	等待房间中，不可取消匹配	2		
20011	0	{0} ~ {1} 开启	2		
20012	1	队长“{0}”取消了匹配	2		
20013	0	已取消出击	2		
21001	1	当前赛季未开启	2		
22002	0	您已在该招募队伍中	2		
22003	0	当前队伍人数已满足玩法需求	2		
22004	0	当前队伍人数超过了玩法需求人数	2		
22005	0	只有队长才能发布招募	2		
22006	0	确定结束招募？	2		
22007	0	玩家已在房间中，无法进入招募列表	2		
22008	1	需要至少选择一种模式	2		
22009	0	招募列表已刷新	2		
23002	1	商品购买次数不足	2		
23003	1	剩余刷新次数不足	2		
23004	0	已购买	2		
23005	0	暂无获取途径	2		
24002	0	仓库扩容成功	2		
24003	0	仓库扩容失败	2		
24004	0	仓库已满，部分物品已暂存邮件	2		
25002	0	暂无更多赛季可选择	2		
26002	0	“{0}”已加入研发队列	2		1
26003	0	“{0}”研发完成	2		1
26004	0	材料不足，无法研发	2		
27002	0	驾驶员尚未解锁，请先获得驾驶员	2		
27003	0	机体尚未解锁，请先获得机体	2		
27004	0	材料不足，无法升级	2		
27005	0	已在驾驶该机甲	2		
27006	0	成功更换驾驶员	2		
27007	0	“{0}”等级提升	2		1
27008	0	购买成功	2		
28002	0	已取消订单	2		
28003	0	领取成功	2		
28004	0	已下架物品	2		
28005	0	发布成功	2		
28006	0	发布成功	2		
28007	0	数量不足，已购得{0}件	2		
28008	0	来晚咯~物品已售罄	2		
28009	0	数量不足	2		
29001	0	已撤销本次修改	2		
29002	0	当前方案没有修改	2		
29003	0	该方案当前没有修改	2		
