int	string	string
PKEY1		
视图模板ID	描述	加载Key
ViewTemplateID	Desc	LoadKey
1	狗牌1	SceneItems/Temp/DogTag/DogTagTeam1.prefab
2	狗牌2	SceneItems/Temp/DogTag/DogTagTeam2.prefab
3	狗牌3	SceneItems/Temp/DogTag/DogTagTeam3.prefab
4	狗牌4	SceneItems/Temp/DogTag/DogTagTeam4.prefab
5	狗牌5	SceneItems/Temp/DogTag/DogTagTeam5.prefab
6	狗牌6	SceneItems/Temp/DogTag/DogTagTeam6.prefab
7	狗牌7	SceneItems/Temp/DogTag/DogTagTeam7.prefab
8	狗牌8	SceneItems/Temp/DogTag/DogTagTeam8.prefab
9	狗牌9	SceneItems/Temp/DogTag/DogTagTeam9.prefab
10	狗牌10	SceneItems/Temp/DogTag/DogTagTeam10.prefab
11	宝箱	SceneItems/Temp/DogTag/TaskBox.prefab
12	炮台	SceneTower/NPC/NT1_Prefab_SoTest_Graphic.prefab
13	普通空投信标	SceneItems/Temp/Airdrop/AirdropBeaconOrdinary.prefab
14	稀有空投信标	SceneItems/Temp/Airdrop/AirdropBeaconRare.prefab
110101	复活信标	SceneItems/Temp/Bag/Item_RespawnBeacon.prefab
110102	全图侦查	SceneItems/Temp/Bag/Item_ExploreMap.prefab
110103	补偿积分	SceneItems/Temp/Bag/Item_CompensateScore.prefab
110104	护盾充能	SceneItems/Temp/Bag/Item_ShieldRecharge.prefab
110105	雷达干扰	SceneItems/Temp/Bag/Item_RadarJamming.prefab
110106	地毯式轰炸	SceneItems/Temp/Bag/Item_CarpetBombing.prefab
110107	子母弹	SceneItems/Temp/Bag/Item_CanisterShot.prefab
110108	追踪照射	SceneItems/Temp/Bag/Item_ShineTracker.prefab
110109	战术核弹	SceneItems/Temp/Bag/Item_TacticalNuclear.prefab
110110	喷口干扰弹	SceneItems/Temp/Bag/Item_DisruptorAmmo.prefab
110111	强袭A	SceneItems/Temp/Bag/Item_AssaultA.prefab
110112	强袭B	SceneItems/Temp/Bag/Item_AssaultB.prefab
210101	补偿积分250	SceneItems/Temp/Bag/Item_CompensateScore_250.prefab
210102	补偿积分500	SceneItems/Temp/Bag/Item_CompensateScore_500.prefab
210103	补偿积分750	SceneItems/Temp/Bag/Item_CompensateScore_750.prefab
110201	复活设施1	SceneItems/Temp/Item/RespawnEquipment_1.prefab
110202	复活设施2	SceneItems/Temp/Item/RespawnEquipment_2.prefab
110113	战术飞弹	SceneItems/Temp/Bag/Item_TacticalNukes.prefab
110114	应急立场盾	SceneItems/Temp/Bag/Item_Energyshield.prefab
110115	精确导弹空袭	SceneItems/Temp/Bag/Item_SlightMissile.prefab
