int	int	string	string
PKEY1	EConvert(普通-1)		
条件ID	条件类型	条件定义	描述
Id	Type	Name	Desc
shit	1	标准击杀	玩家击杀玩家，敌对关系
1002	1	友方击杀	玩家击杀玩家，队友关系
1003	1	shit	玩家击杀自身
1004	1	被NPC击杀	NPC击杀玩家，敌对关系
1005	1	被友方NPC击杀	NPC击杀玩家，队友关系
1006	1	特殊死亡	系统击杀玩家
1007	1	场景互动被击杀	所有单位击杀场景互动
1008	1	标准击杀NPC	玩家击杀NPC,敌对关系
1009	1	友方击杀NPC	玩家击杀NPC，队友关系
1010	1	NPC自杀	NPC击杀自身
1011	1	NPC标准击杀	NPC击杀NPC，敌对关系
1012	1	NPC友方击杀	NPC击杀NPC，队友关系
1013	1	NPC特殊死亡	系统击杀NPC
1014	1	场景互动击杀	场景互动击杀，阵营关系追溯场景互动触发者
1015	1	击杀玩家	场景互动触发者 通过场景互动击杀玩家
1016	1	击杀NPC	场景互动触发者 通过场景互动击杀NPC
1017	1	终极技能击杀	使用终极技能完成标准击杀
1018	1	强袭装甲击杀	使用强袭装甲完成标准击杀
1019	1	战术道具击杀	使用战术道具完成标准击杀
1020	1	多杀	玩家单位在标准击杀后的8秒内，再次完成标准击杀
1021	1	连杀	玩家单位在不死亡的情况下，累计标准击杀的数量
1022	1	参与击杀	在一次标准击杀中，除击杀单位外，在8秒内对被击杀单位造成伤害或异常效果的单位被定义为击杀参与单位。
1023	1	击杀击杀排名玩家	击杀了当前击杀排名某个名次的玩家
1024	1	被标准击杀	玩家被玩家击杀，敌对关系
1025	1	完成最后一次标准击杀	游戏单局的最后一次标准击杀，敌对关系
1026	1	完成标准击杀时，目标带有某种标记	击杀敌方身上有某种标记的玩家，敌对关系
1027	1	完成标准击杀时，自身带有某种标记	完成标准击杀时，自身带有某种标记，敌对关系
1201	1	一条命中，承受伤害百分比	玩家在一条命中承受了伤害百分比
2001	1	终止连杀I	完成一次标准击杀，目标拥有连杀I状态
2002	1	终止连杀II	完成一次标准击杀，目标拥有连杀II状态
2003	1	终止连杀III	完成一次标准击杀，目标拥有连杀III状态
2004	1	终止连杀	完成一次标准击杀，目标拥有连杀状态
2101	1	终止双杀	完成一次标准击杀，目标拥有双杀状态
2102	1	终止三杀	完成一次标准击杀，目标拥有三杀状态
2103	1	终止狂暴	完成一次标准击杀，目标拥有狂暴状态
2104	1	终止多杀	完成一次标准击杀，目标拥有多杀状态
3001	1	单次连续上交狗牌	在单次连续上交狗牌的行为中，连续上交狗牌
3002	1	单次占领区域击杀	在单次占据（不离开区域）的行为中，击杀玩家
4001	1	死亡次数排名	死亡次数排名
4002	1	承受伤害排名	单局游戏承受伤害排名（实际承受伤害）
4003	1	造成伤害排名	单局游戏造成伤害排名（实际造成伤害）
4004	1	KD排名	全局KD比排名
4005	1		击杀排名
4006	1	个人积分排名	个人积分排名
5001	1	nocharacter plus blank space	自身当前血量少于指定百分比
6001	1	nocharacter plus blank space;	击杀敌方玩家每人1次
6002	1	被敌方玩家每+人击杀一次	被敌方玩家每人击杀1次
6003	1	一条命中，被敌方玩家每人击杀一;次	一条命中，被敌方玩家每人击杀1次
