int	string	int	int	enum.AchievementRewardType	enum.EAchievementType	string	int[]	int	int	int	int	bool
PKEY1				自动-Auto-1,手动-HandMovement-2	徽章-Badge-0,图案-Pattern-1,标签-Tittle-2							
成就ID	成就名称	成就任务ID	成就奖励ID	奖励领取类型	成就类型	成就描述	子成就ID	成就达成展示道具	成就图标ID	成就大图ID	成就中图ID	是否自动装备
achievementId	achievementName	questId	dropId	rewardType	achievementType	achievementDesc	subAchievementId	showItemId	achievementIconId	achievementBigIconId	achievementMiddleIconId	isAutoEquip
100001	长空徽章		-1	1	0	长空遨游的鹰隼，熟练驾驶矛隼的证明。	100008,100009,100010,100011,100012					False
100002	骑士徽章		-1	1	0	紧握大剑的骑士，熟练驾驶恩赫里亚的证明。	100013,100014,100015,100016,100017					False
100003	玄甲徽章		-1	1	0	身披玄甲的勇士，熟练驾驶龙渊的证明。	100018,100019,100020,100021,100022					False
100004	战车徽章		-1	1	0	坚守阵地的战车，熟练驾驶三角龙的证明。	100023,100024,100025,100026,100027					False
100005	梓弓徽章		-1	1	0	一箭退敌的梓弓，熟练驾驶鸣神的证明。	100028,100029,100030,100031,100032					False
100006	战鼓徽章		-1	1	0	轰击山海的战鼓，熟练驾驶德拉姆的证明。	100033,100034,100035,100036,100037					False
100007	烁金徽章		-1	1	0	烁金碎石的赤焰，熟练驾驶赤霄的证明。	100038,100039,100040,100041,100042					False
100008	长空徽章	20001	-1	1	0			611001	40004	40003	40002	False
100009	长空徽章	20002	-1	1	0			611001	40004	40003	40002	False
100010	长空徽章	20003	-1	1	0			611001	40004	40003	40002	False
100011	长空徽章	20004	-1	1	0			611001	40004	40003	40002	False
100012	长空徽章	20005	-1	1	0			611001	40004	40003	40002	False
100013	骑士徽章	20006	-1	1	0			611002	40007	40006	40005	False
100014	骑士徽章	20007	-1	1	0			611002	40007	40006	40005	False
100015	骑士徽章	20008	-1	1	0			611002	40007	40006	40005	False
100016	骑士徽章	20009	-1	1	0			611002	40007	40006	40005	False
100017	骑士徽章	20010	-1	1	0			611002	40007	40006	40005	False
100018	玄甲徽章	20011	-1	1	0			611003	40010	40009	40008	False
100019	玄甲徽章	20012	-1	1	0			611003	40010	40009	40008	False
100020	玄甲徽章	20013	-1	1	0			611003	40010	40009	40008	False
100021	玄甲徽章	20014	-1	1	0			611003	40010	40009	40008	False
100022	玄甲徽章	20015	-1	1	0			611003	40010	40009	40008	False
100023	战车徽章	20016	-1	1	0			611004	40013	40012	40011	False
100024	战车徽章	20017	-1	1	0			611004	40013	40012	40011	False
100025	战车徽章	20018	-1	1	0			611004	40013	40012	40011	False
100026	战车徽章	20019	-1	1	0			611004	40013	40012	40011	False
100027	战车徽章	20020	-1	1	0			611004	40013	40012	40011	False
100028	梓弓徽章	20021	-1	1	0			611005	40016	40015	40014	False
100029	梓弓徽章	20022	-1	1	0			611005	40016	40015	40014	False
100030	梓弓徽章	20023	-1	1	0			611005	40016	40015	40014	False
100031	梓弓徽章	20024	-1	1	0			611005	40016	40015	40014	False
100032	梓弓徽章	20025	-1	1	0			611005	40016	40015	40014	False
100033	战鼓徽章	20026	-1	1	0			611006	40019	40018	40017	False
100034	战鼓徽章	20027	-1	1	0			611006	40019	40018	40017	False
100035	战鼓徽章	20028	-1	1	0			611006	40019	40018	40017	False
100036	战鼓徽章	20029	-1	1	0			611006	40019	40018	40017	False
100037	战鼓徽章	20030	-1	1	0			611006	40019	40018	40017	False
100038	烁金徽章	20031	-1	1	0			611007	40022	40021	40020	False
100039	烁金徽章	20032	-1	1	0			611007	40022	40021	40020	False
100040	烁金徽章	20033	-1	1	0			611007	40022	40021	40020	False
100041	烁金徽章	20034	-1	1	0			611007	40022	40021	40020	False
100042	烁金徽章	20035	-1	1	0			611007	40022	40021	40020	False
110001	薪火纪念章		-1	1	0	无国界机甲生产商——薪火重工。	110002					False
110002	薪火纪念章	493	-1	1	0			200051	40025	40024	40023	True
200001	密斯之眼	21001	-1	1	1	荒漠中的“密斯之眼”是边境的一道缩影，曾经的繁荣已难以寻觅，围绕着芯石的战火却始终未能熄灭。月虹号接受了来自月面民商同盟的委托，在战争的痕迹上又新添了浓重的一笔。		612001	40027	40026		False
