int	string	int	int	enum.AchievementRewardType	enum.EAchievementType	int[]	bool
PKEY1				自动-Auto-1,手动-HandMovement-2	徽章-Badge-0,图案-Pattern-1,标签-Tittle-2		
成就ID	成就名称	成就任务ID	成就奖励ID	奖励领取类型	成就类型	子成就ID	是否自动装备
achievementId	achievementName	questId	dropId	rewardType	achievementType	subAchievementId	isAutoEquip
100001	长空徽章		-1	1	0	100008,100009,100010,100011,100012	False
100002	骑士徽章		-1	1	0	100013,100014,100015,100016,100017	False
100003	玄甲徽章		-1	1	0	100018,100019,100020,100021,100022	False
100004	战车徽章		-1	1	0	100023,100024,100025,100026,100027	False
100005	梓弓徽章		-1	1	0	100028,100029,100030,100031,100032	False
100006	战鼓徽章		-1	1	0	100033,100034,100035,100036,100037	False
100007	烁金徽章		-1	1	0	100038,100039,100040,100041,100042	False
100008	长空徽章	20001	-1	1	0		False
100009	长空徽章	20002	-1	1	0		False
100010	长空徽章	20003	-1	1	0		False
100011	长空徽章	20004	-1	1	0		False
100012	长空徽章	20005	-1	1	0		False
100013	骑士徽章	20006	-1	1	0		False
100014	骑士徽章	20007	-1	1	0		False
100015	骑士徽章	20008	-1	1	0		False
100016	骑士徽章	20009	-1	1	0		False
100017	骑士徽章	20010	-1	1	0		False
100018	玄甲徽章	20011	-1	1	0		False
100019	玄甲徽章	20012	-1	1	0		False
100020	玄甲徽章	20013	-1	1	0		False
100021	玄甲徽章	20014	-1	1	0		False
100022	玄甲徽章	20015	-1	1	0		False
100023	战车徽章	20016	-1	1	0		False
100024	战车徽章	20017	-1	1	0		False
100025	战车徽章	20018	-1	1	0		False
100026	战车徽章	20019	-1	1	0		False
100027	战车徽章	20020	-1	1	0		False
100028	梓弓徽章	20021	-1	1	0		False
100029	梓弓徽章	20022	-1	1	0		False
100030	梓弓徽章	20023	-1	1	0		False
100031	梓弓徽章	20024	-1	1	0		False
100032	梓弓徽章	20025	-1	1	0		False
100033	战鼓徽章	20026	-1	1	0		False
100034	战鼓徽章	20027	-1	1	0		False
100035	战鼓徽章	20028	-1	1	0		False
100036	战鼓徽章	20029	-1	1	0		False
100037	战鼓徽章	20030	-1	1	0		False
100038	烁金徽章	20031	-1	1	0		False
100039	烁金徽章	20032	-1	1	0		False
100040	烁金徽章	20033	-1	1	0		False
100041	烁金徽章	20034	-1	1	0		False
100042	烁金徽章	20035	-1	1	0		False
110001	薪火纪念章		-1	1	0	110002	False
110002	薪火纪念章	493	-1	1	0		True
200001	密斯之眼	21001	-1	1	1		False
200002	日落尘沙	21004	-1	1	1		False
200003	边境山脉	21007	-1	1	1		False
200004	芯石之争	21010	-1	1	1		False
200005	复苏纪元	21013	-1	1	1		False
200006	启航时刻	21000	-1	1	1		True
300001	新人舰长	22000	-1	1	2		True
300002	奇迹之子	22001	-1	1	2		False
300003	王牌机师	22002	-1	1	2		False
300004	破局者	22003	-1	1	2		False
300005	孤胆英雄	22004	-1	1	2		False
300006	命定克星	22005	-1	1	2		False
300007	幻影对阵师	22006	-1	1	2		False
300008	钢铁咆哮	22007	-1	1	2		False
300009	战术格挡家	22008	-1	1	2		False
300010	格斗家	22009	-1	1	2		False
300011	精英僚机	22010	-1	1	2		False
300012	战场主宰	22011	-1	1	2		False
300013	哀悼者	22012	-1	1	2		False
300014	驱逐王	22013	-1	1	2		False
300015	战局终结者	22014	-1	1	2		False
300016	终局胜者	22015	-1	1	2		False
300017	决胜先锋	22016	-1	1	2		False
300018	雷霆之师	22017	-1	1	2		False
300019	求生大师	22018	-1	1	2		False
300020	完美收割者	22019	-1	1	2		False
300021	不屈勇者	22020	-1	1	2		False
300022	必胜先手	22021	-1	1	2		False
300023	无尽怒涛	22022	-1	1	2		False
300024	无尽雷霆	22023	-1	1	2		False
300025	战争机器	22024	-1	1	2		False
300026	战场清理者	22025	-1	1	2		False
300027	传奇机师	22026	-1	1	2		False
300028	最强僚机	22027	-1	1	2		False
300029	胜利之星	22028	-1	1	2		False
300030	胜仗专员	22029	-1	1	2		False
300031	超级驾驶员	22030	-1	1	2		False
300032	战术执行官	22031	-1	1	2		False
300033	战地双子星	22032	-1	1	2		False
300034	战斗信使	22033	-1	1	2		False
300035	拦截者	22034	-1	1	2		False
300036	最终赢家	22035	-1	1	2		False
300037	沙色三连星	22036	-1	1	2		False
300038	天降之师	22037	-1	1	2		False
300039	征服者	22038	-1	1	2		False
300040	不动之军	22039	-1	1	2		False
300041	战阵之主	22040	-1	1	2		False
300042	绝对掌控者	22041	-1	1	2		False
300043	游击者	22042	-1	1	2		False
300044	拯救者	22043	-1	1	2		False
300045	机动战术家	22044	-1	1	2		False
300046	拆卸专家	22045	-1	1	2		False
300047	尘屑清除者	22046	-1	1	2		False
300048	阵地守备者	22047	-1	1	2		False
300049	路网掌控者	22048	-1	1	2		False
300050	列车长	22049	-1	1	2		False
300051	苍穹猎手	22050	-1	1	2		False
300052	侦查先锋	22051	-1	1	2		False
300053	维修专家	22052	-1	1	2		False
300054	神之手	22053	-1	1	2		False
300055	外场游击手	22054	-1	1	2		False
300056	魔弹射手	22055	-1	1	2		False
300057	轻骑兵	22056	-1	1	2		False
